"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"11","GT3P","Sean McAlister","1","2:12.646","2:12.646","Green","Track","409.273","11.478","16.065","4.318","0.580","16.149","23.644","15.500","19.307","6.433","3.545","141.654"
"3","GT3P","Jeff Kingsley","1","2:14.069","2:14.069","Green","Track","415.078","14.245","17.157","4.406","0.563","17.173","25.135","15.466","19.499","6.511","3.540","145.931"
"79","GT3P","Roman DeAngelis","1","2:15.180","2:15.180","Green","Track","407.773","10.503","16.382","4.683","0.688","17.002","24.230","15.379","19.206","6.399","3.516","119.417"
"9","GT3P","Mark Kvamme","1","2:16.779","2:16.779","Green","Track","409.846","13.784","17.088","5.016","0.698","17.283","25.459","15.679","19.569","6.424","3.589","117.706"
"7","GT3P","Maxwell Root","1","2:18.198","2:18.198","Green","Track","397.247","10.449","15.472","4.357","0.566","16.140","24.900","15.312","19.299","6.293","3.500","145.157"
"69","GT3P","Dan Hardee","1","2:20.694","2:20.694","Green","Track","408.469","13.090","17.571","5.170","0.731","18.374","25.556","16.339","20.271","6.643","3.585","112.393"
"15","GT3G","Randal Bryant","1","2:22.818","2:22.818","Green","Track","397.939","12.321","15.790","5.035","0.704","17.927","25.568","15.817","19.965","6.383","3.610","116.703"
"36","GT3P","Vernon McClure","1","2:25.624","2:25.624","Green","Track","393.314","11.983","15.679","4.330","0.569","17.374","25.317","15.710","19.853","6.575","3.553","144.392"
"27","GT3G","Sebastian Carazo","1","2:33.801","2:33.801","Green","Track","392.829","12.732","17.452","5.223","0.732","18.717","25.585","16.518","20.383","6.588","3.626","112.239"
"17","GT3G","Curt Swearingin","1","2:36.714","2:36.714","Green","Track","391.435","11.760","16.338","4.537","0.646","18.002","26.159","16.082","20.519","6.608","3.699","127.181"
"20","GT3P","Fred Poordad","1","2:39.147","2:39.147","Green","Track","389.915","11.294","17.680","5.942","0.667","18.562","28.805","16.057","21.001","6.937","3.573","123.177"
"22","GT3G","Bart Collins","1","2:40.787","2:40.787","Green","Track","393.640","11.067","16.195","4.693","0.646","18.647","26.041","16.469","20.274","6.913","3.735","127.181"
"92","GT3P","Joseph Lombardo","1","2:44.875","2:44.875","Green","Track","393.876","12.384","17.630","4.757","0.696","18.349","25.766","16.059","20.749","6.752","3.556","118.045"
"99","GT3P","Alan Metni","1","2:49.979","2:49.979","Green","Track","383.516","14.117","18.070","4.460","0.558","17.363","25.248","15.288","19.506","6.416","3.554","147.239"
"18","GT3G","Richard Edge","1","2:54.424","2:54.424","Green","Track","390.047","14.860","16.947","4.680","0.637","18.946","27.843","16.339","21.122","6.852","3.747","128.978"
"53","GT3P","Riley Dickinson","1","2:56.692","2:56.692","Green","Track","384.506","12.216","19.287","4.941","0.613","17.846","25.891","15.760","20.072","6.494","3.521","134.028"
"65","GT3G","Efrin Castro","1","2:59.476","2:59.476","Green","Track","382.082","12.019","18.224","4.886","0.667","18.615","26.448","16.143","20.516","6.547","3.636","123.177"
"42","GT3P","Bill Smith","1","3:01.789","3:01.789","Green","Track","388.703","15.548","19.246","5.168","0.717","18.481","27.143","19.849","21.516","6.699","3.599","114.587"
"45","GT3P","Charlie Luck","1","3:08.794","3:08.794","Green","Track","390.051","16.286","24.628","6.935","0.832","20.835","28.399","17.104","21.796","6.950","3.669","98.749"
"68","GT3P","Jeff Mosing","1","3:11.722","3:11.722","Green","Track","378.558","12.368","18.543","6.226","0.932","18.900","27.416","18.009","20.449","6.588","3.535","88.154"
"25","GT3P","Victor Gomez IV","1","3:13.311","3:13.311","Green","Track","289.277","12.483","17.658","5.505","0.817","19.680","27.137","17.416","20.245","6.514","3.534","100.562"
