"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"79","GT3P","Roman DeAngelis","1","2:28.566","2:28.566","Green","Track","377.279","12.682","21.414","6.887","0.904","20.722","30.303","18.499","19.173","6.110","3.462","90.884"
"53","GT3P","Riley Dickinson","1","2:31.211","2:31.211","Green","Track","376.361","12.525","19.486","6.536","0.692","20.638","28.496","17.466","21.238","6.451","3.504","118.727"
"7","GT3P","Maxwell Root","1","2:33.040","2:33.040","Green","Track","376.836","12.455","22.209","6.837","0.791","20.874","29.347","18.320","22.816","6.190","3.444","103.867"
"99","GT3P","Alan Metni","1","2:34.112","2:34.112","Green","Track","373.901","12.832","18.924","6.526","0.727","19.653","28.686","17.638","23.587","6.242","3.488","113.011"
"3","GT3P","Jeff Kingsley","1","2:35.296","2:35.296","Green","Track","369.134","11.960","16.988","5.244","0.717","18.162","27.841","17.197","24.602","6.329","3.476","114.587"
"25","GT3P","Victor Gomez IV","1","2:36.984","2:36.984","Green","Track","360.710","11.336","16.842","6.559","0.801","19.496","28.764","18.371","24.819","6.853","3.515","102.571"
"11","GT3P","Sean McAlister","1","2:37.786","2:37.786","Green","Track","370.259","10.926","15.517","5.438","0.895","17.738","28.849","19.652","22.788","6.552","3.493","91.798"
"20","GT3P","Fred Poordad","1","2:47.939","2:47.939","Green","Track","364.803","12.042","18.554","6.074","0.673","18.861","25.527","18.485","27.792","6.589","3.548","122.079"
"68","GT3P","Jeff Mosing","1","2:48.991","2:48.991","Green","Track","363.126","16.295","16.685","4.852","0.649","18.106","24.903","18.878","27.149","6.480","3.666","126.593"
"52","GT3G","Kurt Fazekas","1","2:50.326","2:50.326","Green","Track","364.607","12.971","16.339","5.355","0.709","17.771","26.396","17.339","27.023","6.757","3.651","115.880"
"27","GT3G","Sebastian Carazo","1","2:51.149","2:51.149","Green","Track","363.290","13.454","16.762","5.296","0.774","19.115","27.517","17.040","23.814","6.483","3.584","106.149"
"36","GT3P","Vernon McClure","1","2:55.286","2:55.286","Green","Track","361.678","13.052","17.832","5.526","0.762","18.589","26.534","16.996","22.476","6.591","3.571","107.820"
"9","GT3P","Mark Kvamme","1","2:59.987","2:59.987","Green","Track","362.896","14.003","18.131","5.616","0.713","18.351","30.110","18.647","23.066","6.652","3.539","115.230"
"56","GT3P","David Baker","1","3:05.641","3:05.641","Green","Track","359.632","13.697","20.036","6.000","0.740","20.040","27.292","19.461","22.646","6.865","3.591","111.026"
"42","GT3P","Bill Smith","1","3:07.280","3:07.280","Green","Track","356.958","13.419","19.958","5.382","0.723","19.321","27.131","19.067","23.400","6.827","3.581","113.636"
"61","GT3P","Scott Welham","1","3:07.929","3:07.929","Green","Track","356.498","12.325","18.712","5.678","0.727","19.150","26.934","18.885","23.562","6.927","3.611","113.011"
"92","GT3P","Joseph Lombardo","1","3:08.589","3:08.589","Green","Track","331.160","13.071","16.420","4.504","0.673","17.300","25.843","17.518","21.534","6.578","3.504","122.079"
"5","GT3G","Rob Ferriol","1","3:12.068","3:12.068","Green","Track","359.318","14.272","20.490","6.463","1.014","21.944","27.830","17.866","24.022","7.528","3.804","81.025"
"15","GT3G","Randal Bryant","1","3:15.196","3:15.196","Green","Track","340.204","13.701","16.414","4.431","0.593","17.203","26.542","18.164","25.889","8.040","3.889","138.548"
"18","GT3G","Richard Edge","1","3:15.781","3:15.781","Green","Track","326.793","12.717","16.330","4.560","0.661","17.926","27.474","19.447","23.412","6.745","3.831","124.295"
"17","GT3G","Curt Swearingin","1","3:17.874","3:17.874","Green","Track","318.777","12.236","16.174","5.031","0.726","18.351","29.733","18.776","22.585","6.568","3.896","113.167"
"4","GT3P","Michael Mennella","1","3:24.833","3:24.833","Green","Track","313.823","12.450","19.428","6.743","0.755","20.556","27.339","17.193","21.053","6.877","3.598","108.820"
"48","GT3P","David Brule","1","3:27.354","3:27.354","Green","Track","309.458","13.051","19.125","6.458","0.893","19.383","27.651","17.436","21.809","7.225","3.753","92.003"
"22","GT3G","Bart Collins","1","3:29.886","3:29.886","Green","Track","279.931","11.942","18.997","6.023","0.886","19.980","27.758","17.593","23.099","7.197","3.747","92.730"
"69","GT3P","Dan Hardee","1","3:58.522","3:58.522","Green","Pit","277.911","11.232","19.632","5.130","0.791","21.366","31.606","22.260","22.471","10.441","17.739","103.867"
"65","GT3G","Efrin Castro","1","4:00.686","4:00.686","Green","Pit","20.193","12.417","18.679","5.248","0.945","21.533","34.092","19.611","22.863","11.856","16.360","86.941"
"45","GT3P","Charlie Luck","1","4:14.871","4:14.871","Green","Track","401.761","13.823","22.289","5.366","0.700","22.219","32.928","15.915","20.412","6.589","3.552","117.370"
"79","GT3P","Roman DeAngelis","2","1:50.312","4:18.878","Green","Track","3.329","9.245","12.825","4.004","0.512","14.633","22.870","14.880","18.443","6.130","3.441","160.467"
"53","GT3P","Riley Dickinson","2","1:51.683","4:22.894","Green","Track","3.376","9.442","12.962","3.971","0.508","15.095","23.122","14.886","18.671","6.197","3.453","161.730"
"7","GT3P","Maxwell Root","2","1:50.329","4:23.369","Green","Track","3.310","9.261","12.804","3.953","0.505","14.688","22.858","14.815","18.550","6.146","3.439","162.691"
"99","GT3P","Alan Metni","2","1:51.736","4:25.848","Green","Track","3.295","9.317","12.793","3.929","0.501","15.501","23.152","14.854","18.660","6.259","3.475","163.990"
"3","GT3P","Jeff Kingsley","2","1:51.476","4:26.772","Green","Track","3.383","9.352","13.079","3.980","0.507","14.901","22.907","14.728","18.930","6.260","3.449","162.049"
"11","GT3P","Sean McAlister","2","1:53.131","4:30.917","Green","Track","3.322","9.376","12.975","3.956","0.506","15.217","23.326","15.860","18.802","6.323","3.468","162.370"
"25","GT3P","Victor Gomez IV","2","1:57.229","4:34.213","Green","Track","3.412","9.516","13.000","3.953","0.519","15.564","23.320","17.866","20.230","6.365","3.484","158.303"
"20","GT3P","Fred Poordad","2","1:53.087","4:41.026","Green","Track","3.356","9.453","13.009","4.011","0.512","15.716","23.296","14.960","18.984","6.297","3.493","160.467"
"68","GT3P","Jeff Mosing","2","1:55.180","4:44.171","Green","Track","3.557","9.568","13.117","4.008","0.522","15.836","24.393","15.463","18.957","6.281","3.478","157.393"
"52","GT3G","Kurt Fazekas","2","1:55.552","4:45.878","Green","Track","3.516","9.862","13.319","4.072","0.521","15.602","24.095","15.404","19.211","6.373","3.577","157.695"
"27","GT3G","Sebastian Carazo","2","1:58.404","4:49.553","Green","Track","3.812","10.075","14.016","4.223","0.561","16.865","24.646","15.574","18.881","6.232","3.519","146.451"
"36","GT3P","Vernon McClure","2","1:56.299","4:51.585","Green","Track","3.410","9.873","13.752","4.087","0.527","16.847","23.866","15.257","19.007","6.201","3.472","155.900"
"9","GT3P","Mark Kvamme","2","1:57.621","4:57.608","Green","Track","3.438","9.571","13.166","4.009","0.519","15.515","25.252","17.170","18.943","6.466","3.572","158.303"
"56","GT3P","David Baker","2","1:54.169","4:59.810","Green","Track","3.405","9.787","13.139","4.008","0.513","15.809","23.617","15.057","18.923","6.403","3.508","160.154"
"42","GT3P","Bill Smith","2","1:54.757","5:02.037","Green","Track","3.395","9.564","13.288","3.989","0.513","15.970","23.791","15.254","19.327","6.201","3.465","160.154"
"61","GT3P","Scott Welham","2","1:56.676","5:04.605","Green","Track","3.447","9.936","13.483","4.016","0.517","16.501","24.210","15.317","19.385","6.345","3.519","158.915"
"92","GT3P","Joseph Lombardo","2","1:56.744","5:05.333","Green","Track","3.445","9.725","13.433","4.001","0.533","16.371","24.283","15.524","19.535","6.434","3.460","154.145"
"5","GT3G","Rob Ferriol","2","1:57.739","5:09.807","Green","Track","3.647","10.010","13.510","4.128","0.534","16.025","24.263","15.604","19.796","6.617","3.605","153.856"
"15","GT3G","Randal Bryant","2","1:55.892","5:11.088","Green","Track","3.655","9.736","13.721","4.176","0.536","15.527","23.779","15.492","19.462","6.237","3.571","153.282"
"18","GT3G","Richard Edge","2","1:57.302","5:13.083","Green","Track","3.724","10.139","13.498","4.137","0.544","16.344","24.337","15.542","19.097","6.337","3.603","151.028"
"4","GT3P","Michael Mennella","2","1:58.107","5:22.940","Green","Track","3.414","9.796","14.251","4.360","0.578","17.055","23.847","15.581","19.273","6.423","3.529","142.144"
"48","GT3P","David Brule","2","1:56.724","5:24.078","Green","Track","3.494","9.971","13.490","4.046","0.515","15.796","24.371","15.539","19.596","6.392","3.514","159.532"
"22","GT3G","Bart Collins","2","2:02.469","5:32.355","Green","Track","3.594","9.906","14.237","4.240","0.601","18.098","25.377","16.106","20.038","6.595","3.677","136.704"
