"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"79","GT3P","Roman DeAngelis","1","1:55.063","1:55.063","Green","Track","3.886","9.930","13.220","4.037","0.520","15.932","23.806","15.062","18.913","6.253","3.503","157.998"
"7","GT3P","Maxwell Root","1","1:55.655","1:55.655","Green","Track","3.932","10.113","13.341","4.005","0.534","15.947","23.742","15.208","18.927","6.300","3.499","153.856"
"25","GT3P","Victor Gomez IV","1","1:58.457","1:58.457","Green","Track","3.961","10.228","13.479","4.002","0.546","16.962","24.004","15.505","19.553","6.349","3.501","150.475"
"11","GT3P","Sean McAlister","1","1:58.776","1:58.776","Green","Track","4.016","10.643","13.400","3.987","0.528","16.800","24.259","15.571","19.299","6.401","3.502","155.604"
"53","GT3P","Riley Dickinson","1","2:01.201","2:01.201","Green","Track","4.128","10.786","14.252","4.084","0.534","16.693","24.430","15.929","19.681","6.515","3.533","153.856"
"3","GT3P","Jeff Kingsley","1","2:01.293","2:01.293","Green","Track","4.082","10.572","14.140","4.062","0.573","16.675","24.436","15.857","19.743","6.463","3.513","143.384"
"68","GT3P","Jeff Mosing","1","2:01.644","2:01.644","Green","Track","4.086","11.119","14.398","4.122","0.563","16.285","24.456","15.963","19.750","6.476","3.502","145.931"
"20","GT3P","Fred Poordad","1","2:02.868","2:02.868","Green","Track","4.106","11.354","14.877","4.142","0.556","16.571","24.267","15.866","19.986","6.847","3.620","147.768"
"99","GT3P","Alan Metni","1","2:03.209","2:03.209","Green","Track","4.190","11.564","15.223","4.199","0.532","16.585","24.549","15.446","19.968","6.417","3.513","154.434"
"27","GT3G","Sebastian Carazo","1","2:03.890","2:03.890","Green","Track","4.179","11.291","15.257","4.212","0.551","16.604","24.749","15.906","19.704","6.417","3.561","149.109"
"9","GT3P","Mark Kvamme","1","2:05.431","2:05.431","Green","Track","4.117","11.263","14.978","4.192","0.557","16.672","24.751","17.040","20.275","6.723","3.635","147.503"
"56","GT3P","David Baker","1","2:06.184","2:06.184","Green","Track","4.188","11.496","15.126","4.220","0.604","17.504","24.905","15.977","20.120","6.801","3.600","136.025"
"52","GT3G","Kurt Fazekas","1","2:11.299","2:11.299","Green","Track","4.122","11.390","15.760","4.636","0.646","18.125","26.049","16.342","21.218","7.143","3.738","127.181"
"61","GT3P","Scott Welham","1","2:11.862","2:11.862","Green","Track","4.280","12.041","15.961","4.383","0.639","18.103","26.053","16.567","21.146","7.055","3.682","128.574"
"36","GT3P","Vernon McClure","1","2:11.937","2:11.937","Green","Track","4.377","12.038","15.776","4.523","0.675","17.954","26.184","16.723","20.928","6.886","3.658","121.717"
"5","GT3G","Rob Ferriol","1","2:12.342","2:12.342","Green","Track","4.405","11.882","15.811","4.432","0.651","18.091","26.093","16.867","21.034","6.939","3.650","126.204"
"45","GT3P","Charlie Luck","1","2:12.830","2:12.830","Green","Track","4.527","12.000","16.028","4.412","0.665","18.778","25.550","16.491","20.918","7.204","3.646","123.548"
"65","GT3G","Efrin Castro","1","2:13.330","2:13.330","Green","Track","4.469","12.250","16.259","4.333","0.648","19.022","25.711","16.255","21.088","6.481","3.584","126.789"
"17","GT3G","Curt Swearingin","1","2:14.146","2:14.146","Green","Track","4.480","12.198","16.117","4.460","0.665","18.778","26.120","16.421","21.400","7.039","3.705","123.548"
"48","GT3P","David Brule","1","2:14.406","2:14.406","Green","Track","4.356","12.101","16.087","4.423","0.654","18.894","26.222","16.668","21.181","6.990","3.614","125.626"
"92","GT3P","Joseph Lombardo","1","2:14.542","2:14.542","Green","Track","4.563","12.182","16.348","4.424","0.662","18.902","26.243","16.533","21.252","6.914","3.578","124.107"
"69","GT3P","Dan Hardee","1","2:15.520","2:15.520","Green","Track","4.431","12.605","16.234","4.362","0.662","18.824","26.321","16.607","21.266","7.169","3.663","124.107"
"18","GT3G","Richard Edge","1","2:16.120","2:16.120","Green","Track","4.638","12.762","16.027","4.484","0.696","18.783","26.162","16.666","21.353","7.117","3.751","118.045"
"4","GT3P","Michael Mennella","1","2:26.441","2:26.441","Green","Track","4.836","13.418","17.822","4.778","0.635","19.770","28.205","17.775","23.536","8.077","3.779","129.384"
"22","GT3G","Bart Collins","1","2:27.200","2:27.200","Green","Track","5.129","12.430","17.666","4.963","0.713","20.009","28.350","17.973","22.962","7.792","3.872","115.230"
"79","GT3P","Roman DeAngelis","2","1:52.000","3:47.063","Green","Track","3.374","9.308","12.878","3.989","0.510","15.231","23.211","14.953","18.815","6.239","3.492","161.096"
"7","GT3P","Maxwell Root","2","1:51.916","3:47.571","Green","Track","3.375","9.354","12.728","3.932","0.503","15.221","23.274","15.104","18.718","6.231","3.476","163.338"
"25","GT3P","Victor Gomez IV","2","1:56.564","3:55.021","Green","Track","3.512","9.830","13.177","3.982","0.555","16.557","24.011","15.563","19.376","6.490","3.511","148.034"
"11","GT3P","Sean McAlister","2","1:56.375","3:55.151","Green","Track","3.486","9.731","13.176","3.954","0.562","16.626","24.043","15.534","19.365","6.414","3.484","146.191"
"3","GT3P","Jeff Kingsley","2","1:54.586","3:55.879","Green","Track","3.473","9.728","13.282","4.022","0.520","15.524","23.773","15.337","19.085","6.338","3.504","157.998"
"68","GT3P","Jeff Mosing","2","1:54.791","3:56.435","Green","Track","3.444","10.103","13.118","3.974","0.529","15.529","23.829","15.390","19.054","6.311","3.510","155.310"
"53","GT3P","Riley Dickinson","2","1:56.998","3:58.199","Green","Track","3.514","10.664","13.667","3.991","0.550","16.156","23.797","15.406","19.396","6.354","3.503","149.380"
"20","GT3P","Fred Poordad","2","1:56.021","3:58.889","Green","Track","3.487","9.795","13.535","4.011","0.523","16.114","23.887","15.404","19.344","6.407","3.514","157.092"
"99","GT3P","Alan Metni","2","1:56.169","3:59.378","Green","Track","3.475","9.793","13.742","4.037","0.515","15.990","24.077","15.317","19.252","6.437","3.534","159.532"
