"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"46","GS","Owen Trinkler","1","1:49.913","1:49.913","Green","Track","0.000","12.112","5.976","11.381","9.095","2.263","0.626","9.633","18.893","19.258","6.864","5.201","130.700"
"7","GS","Alan Brynjolfsson","1","1:51.983","1:51.983","Green","Track","0.000","12.106","6.265","11.730","8.968","2.221","0.640","9.776","19.808","19.012","6.776","5.321","127.841"
"81","TCR","Marco Cirone","1","2:01.469","2:01.469","Green","Track","0.000","13.134","7.144","13.392","9.385","2.358","0.681","10.317","19.689","19.470","7.179","5.842","120.144"
"61","TCR","Gavin Ernstone","1","2:10.624","2:10.624","Green","Track","0.000","14.133","7.046","13.899","10.841","2.809","0.835","11.311","21.925","22.267","7.980","6.414","97.986"
"8","GS","Rodrigo Sales","1","2:11.448","2:11.448","Green","Track","0.000","15.674","6.951","13.106","10.541","2.970","0.742","10.715","21.251","20.815","7.652","5.834","110.267"
"69","GS","Jesse Lazare","1","2:16.425","2:16.425","Green","Track","0.000","13.423","7.896","12.437","9.118","2.569","0.813","10.751","24.818","21.989","7.073","5.201","100.637"
"97","GS","Rob Ecklin Jr.","1","2:21.221","2:21.221","Green","Track","0.000","15.268","7.740","13.678","10.270","2.853","0.879","11.744","24.458","23.492","7.929","6.230","93.081"
"56","GS","Jeff Mosing","1","2:21.718","2:21.718","Green","Track","0.000","15.069","9.638","12.607","11.756","3.426","0.998","11.070","19.847","19.199","6.741","5.299","81.982"
"39","GS","Tyler McQuarrie","1","2:25.356","2:25.356","Green","Track","0.000","15.841","8.945","0.000","0.000","3.057","0.951","11.453","20.370","20.242","7.524","5.899","86.034"
"88","GS","Greg Liefooghe","1","2:25.412","2:25.412","Green","Track","0.000","14.667","7.931","13.765","12.039","3.159","0.992","11.945","22.859","22.266","7.659","6.355","82.478"
"21","TCR","Mason Filippi","1","2:26.747","2:26.747","Green","Track","0.000","15.172","10.157","12.897","11.381","3.374","0.928","11.751","21.604","22.404","7.822","5.966","88.166"
"82","GS","James Clay","1","2:26.954","2:26.954","Green","Track","0.000","14.771","8.986","12.391","9.921","3.253","0.952","11.563","21.468","19.866","7.618","5.823","85.943"
"71","GS","Frank DePew","1","2:29.581","2:29.581","Green","Track","0.000","15.665","9.551","12.539","11.345","3.588","0.934","11.845","23.260","22.173","7.617","6.326","87.600"
"40","GS","James Pesek","1","2:30.004","2:30.004","Green","Track","0.000","15.206","9.490","13.314","11.471","3.481","1.182","11.725","21.413","21.449","7.774","6.096","69.220"
"60","GS","Nate Stacy","1","2:30.047","2:30.047","Green","Track","443.183","12.892","6.316","12.639","9.612","2.576","0.773","11.207","19.986","19.348","7.490","5.793","105.845"
"5","TCR","Roy Block","1","2:38.120","2:38.120","Green","Track","0.000","14.564","7.727","14.043","10.533","3.191","1.033","12.695","22.545","22.479","8.246","6.327","79.204"
"65","GS","Brent Mosing","1","2:38.487","2:38.487","Green","Track","483.514","13.149","7.989","13.709","10.646","3.164","1.031","12.684","22.545","22.757","7.958","6.013","79.358"
"3","TCR","Mark Kvamme","1","2:39.874","2:39.874","Green","Track","447.429","13.894","7.433","13.245","11.138","2.877","0.852","10.892","21.595","22.539","8.376","6.236","96.031"
"13","GS","Orey Fidani","1","2:41.137","2:41.137","Green","Track","413.341","12.885","7.286","13.234","11.043","3.220","0.908","10.735","21.495","22.762","8.427","6.273","90.108"
"57","GS","Bryce Ward","1","2:42.020","2:42.020","Green","Track","401.091","12.823","7.239","13.172","11.890","3.584","0.870","10.542","22.317","21.473","7.625","6.135","94.044"
"96","GS","Robby Foley","1","2:44.615","2:44.615","Green","Track","363.649","13.991","7.392","11.990","13.055","2.805","1.109","11.599","20.938","22.103","7.871","5.274","73.777"
"84","TCR","Brian Henderson","1","2:46.581","2:46.581","Green","Track","212.520","13.818","8.217","12.012","12.102","2.786","1.021","11.788","21.195","21.066","8.248","5.941","80.135"
"98","TCR","Mark Wilkins","1","2:46.713","2:46.713","Green","Track","0.000","12.527","7.021","12.425","9.231","2.382","0.731","10.170","19.958","20.632","7.658","5.679","111.926"
"33","GS","Russell Ward","1","2:51.441","2:51.441","Green","Track","425.937","12.473","6.111","12.488","9.559","2.321","0.616","9.959","20.554","19.511","7.177","5.640","132.822"
"2","GS","Kenton Koch","1","2:54.121","2:54.121","Green","Track","13.852","12.706","6.696","0.000","0.000","2.250","0.688","10.022","19.348","19.665","6.823","5.353","118.922"
"37","TCR","Shelby Blackstock","1","2:55.821","2:55.821","Green","Track","0.000","12.562","6.785","13.084","9.418","2.351","0.679","10.643","20.376","21.008","7.420","5.480","120.498"
"73","TCR","Mat Pombo","1","2:56.943","2:56.943","Green","Track","0.000","13.163","7.330","12.660","9.977","2.606","0.689","10.338","19.653","20.672","7.332","5.306","118.749"
"52","TCR","Colin Mullan","1","2:57.882","2:57.882","Green","Track","0.000","13.234","7.564","13.010","9.500","2.519","0.735","10.741","20.698","23.185","7.715","5.372","111.317"
"59","GS","Rod Randall","1","3:04.998","3:04.998","Green","Track","14.309","14.918","8.643","13.114","11.112","3.119","0.808","11.015","20.949","20.153","7.103","5.669","101.260"
"75","GS","Paul Holton","1","3:10.817","3:10.817","Green","Track","14.060","12.385","6.741","11.756","9.057","2.244","0.622","9.659","19.195","18.519","6.517","5.506","131.540"
"31","GS","Jeff Courtney","1","3:13.955","3:13.955","Green","Track","13.996","12.852","7.263","12.820","10.079","2.661","0.706","10.112","20.289","20.655","7.334","5.877","115.890"
"89","TCR","Chad Gilsinger","1","3:15.483","3:15.483","Green","Track","15.010","14.565","7.996","13.455","12.145","3.024","0.802","11.050","19.716","20.398","7.545","5.928","102.018"
"54","TCR","Michael Johnson","1","3:22.606","3:22.606","Green","Track","13.999","13.576","7.595","13.227","10.440","2.674","0.751","11.635","22.209","22.164","7.928","5.936","108.946"
"46","GS","Owen Trinkler","2","1:34.931","3:24.844","Green","Track","4.934","8.548","5.125","10.410","8.791","2.173","0.579","8.387","16.980","17.586","6.322","5.096","141.309"
"7","GS","Alan Brynjolfsson","2","1:38.768","3:30.751","Green","Track","5.063","9.141","5.226","10.931","8.856","2.198","0.586","8.620","18.497","18.056","6.453","5.141","139.621"
"23","TCR","Nick Galante","1","3:36.816","3:36.816","Green","Track","14.183","14.263","8.613","13.387","12.773","3.125","1.131","13.134","21.173","21.646","8.257","6.973","72.341"
"35","GS","James Cox","1","3:36.972","3:36.972","Green","Track","0.000","16.400","7.671","0.000","0.000","2.409","0.659","10.143","21.039","19.717","7.503","6.595","124.155"
"81","TCR","Marco Cirone","2","1:39.242","3:40.711","Green","Track","5.591","9.128","5.392","10.300","8.857","2.282","0.610","8.827","18.219","18.175","6.575","5.286","134.128"
