"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"37","TCR","Shelby Blackstock","1","2:01.823","2:01.823","Green","Track","0.000","12.448","6.153","11.643","9.262","2.338","0.627","10.086","20.405","19.788","6.972","5.414","130.492"
"84","TCR","Brian Henderson","1","2:04.900","2:04.900","Green","Track","0.000","12.046","6.321","11.236","9.099","2.349","0.698","10.450","20.418","19.397","7.330","5.518","117.218"
"52","TCR","Max Faulkner","1","2:07.717","2:07.717","Green","Track","0.000","12.482","6.260","11.682","9.170","2.326","0.643","10.549","22.205","20.742","7.713","5.714","127.244"
"89","TCR","Chad Gilsinger","1","2:08.759","2:08.759","Green","Track","17.934","14.351","6.400","10.945","9.069","2.316","0.647","10.025","19.781","18.974","7.058","5.496","126.458"
"3","TCR","Mark Kvamme","1","2:14.056","2:14.056","Green","Track","17.673","14.109","7.050","11.778","10.655","2.810","0.721","9.544","19.544","20.024","7.086","5.809","113.479"
"73","TCR","Mike LaMarra","1","2:14.989","2:14.989","Green","Track","0.000","12.940","7.016","12.463","9.662","2.527","0.749","11.868","22.470","21.826","8.039","6.010","109.237"
"54","TCR","Michael Johnson","1","2:23.543","2:23.543","Green","Track","0.000","14.798","6.931","14.175","10.411","2.843","0.768","11.118","22.918","22.735","8.130","5.989","106.534"
"5","TCR","Roy Block","1","2:27.462","2:27.462","Green","Track","18.708","13.680","7.446","13.234","11.402","3.025","0.893","10.234","22.253","21.122","7.831","5.671","91.622"
"23","TCR","Nick Galante","1","2:27.826","2:27.826","Green","Track","0.000","12.953","7.093","11.704","11.262","2.881","0.884","12.065","21.555","19.757","6.960","5.361","92.555"
"98","TCR","Mark Wilkins","1","2:39.296","2:39.296","Green","Track","0.000","14.282","7.910","12.529","12.696","3.420","0.991","10.873","21.105","20.752","7.191","5.559","82.561"
"81","TCR","Marco Cirone","1","2:47.609","2:47.609","Green","Track","21.369","14.493","6.935","12.153","9.484","2.381","0.676","10.326","20.761","20.422","7.452","5.853","121.033"
"61","TCR","Gavin Ernstone","1","2:48.639","2:48.639","Green","Track","15.033","14.368","6.911","11.791","9.644","2.509","0.734","10.898","21.105","20.115","6.962","5.731","111.469"
"12","TCR","Ryan Nash","1","3:05.197","3:05.197","Green","Track","14.150","15.990","8.188","12.127","9.238","2.364","0.635","10.603","21.250","20.815","7.712","5.586","128.848"
"21","TCR","Mason Filippi","1","3:21.557","3:21.557","Green","Track","0.000","13.791","9.877","12.367","11.459","3.363","0.892","11.954","21.912","21.084","7.737","5.853","91.724"
"37","TCR","Shelby Blackstock","2","1:45.047","3:46.870","Green","Track","5.266","9.172","5.435","10.579","9.028","2.311","0.620","9.365","20.443","20.015","7.199","5.614","131.965"
