"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"2","GS","Kenton Koch","1","2:04.919","2:04.919","Green","Track","10.903","16.924","13.007","13.916","14.037","2.490","0.655","8.324","16.758","16.794","6.017","5.092","124.913"
"69","GS","Jesse Lazare","1","2:05.444","2:05.444","Green","Track","11.055","16.911","12.915","13.744","14.210","2.468","0.646","8.400","16.996","16.877","6.083","5.015","126.654"
"75","GS","Paul Holton","1","2:05.680","2:05.680","Green","Track","10.437","17.009","13.014","13.742","13.927","2.445","0.639","8.441","16.726","16.894","6.118","4.973","128.041"
"33","GS","Russell Ward","1","2:07.324","2:07.324","Green","Track","11.055","16.872","13.110","13.779","14.078","2.435","0.637","8.846","17.572","17.143","6.227","5.074","128.443"
"96","GS","Robby Foley","1","2:07.661","2:07.661","Green","Track","9.900","16.934","13.023","13.640","13.496","2.440","0.638","8.739","17.713","17.130","6.258","5.114","128.242"
"56","GS","Jeff Mosing","1","2:07.927","2:07.927","Green","Track","9.429","16.788","13.103","13.445","13.235","2.465","0.656","8.889","17.894","16.877","6.241","5.031","124.723"
"82","GS","James Clay","1","2:08.999","2:08.999","Green","Track","10.154","16.707","13.035","13.627","14.178","2.550","0.655","8.904","18.364","17.466","6.129","5.128","124.913"
"8","GS","Rodrigo Sales","1","2:09.673","2:09.673","Green","Track","10.753","16.830","13.050","13.635","14.437","2.547","0.656","8.730","18.698","17.965","6.243","5.227","124.723"
"60","GS","Nate Stacy","1","2:09.786","2:09.786","Green","Track","9.184","16.613","13.125","13.444","13.474","2.512","0.653","9.071","18.350","17.838","6.262","5.078","125.296"
"7","GS","Alan Brynjolfsson","1","2:10.304","2:10.304","Green","Track","9.232","16.851","12.967","13.390","13.209","2.472","0.645","8.932","18.443","18.071","6.434","5.155","126.850"
"13","GS","Orey Fidani","1","2:10.656","2:10.656","Green","Track","9.684","16.685","13.133","13.537","13.900","2.612","0.669","9.171","18.525","17.991","6.551","5.078","122.299"
"31","GS","Jeff Courtney","1","2:11.718","2:11.718","Green","Track","8.970","16.746","12.999","13.366","13.279","2.492","0.645","9.212","18.791","18.365","6.582","5.251","126.850"
"35","GS","James Cox","1","2:12.181","2:12.181","Green","Track","8.893","16.975","13.184","12.963","12.904","2.457","0.649","9.366","18.970","18.355","6.468","5.477","126.068"
"97","GS","Rob Ecklin Jr.","1","2:12.370","2:12.370","Green","Track","8.779","16.830","13.299","12.916","12.609","2.478","0.660","9.528","18.898","18.354","6.603","5.161","123.967"
"59","GS","Rod Randall","1","2:12.927","2:12.927","Green","Track","8.720","16.292","12.961","13.322","12.987","2.560","0.661","9.740","19.084","18.412","6.659","5.122","123.779"
"65","GS","Brent Mosing","1","2:13.517","2:13.517","Green","Track","8.763","15.903","13.131","12.999","12.743","2.506","0.672","9.811","19.081","18.467","6.622","5.224","121.753"
"39","GS","Tyler McQuarrie","1","2:13.572","2:13.572","Green","Track","8.803","15.863","12.950","13.105","11.628","2.630","0.672","9.797","19.058","18.474","6.598","5.123","121.753"
"40","GS","James Pesek","1","2:14.822","2:14.822","Green","Track","8.990","15.839","13.055","13.208","12.296","2.549","0.668","10.153","19.729","18.596","6.465","5.321","122.482"
"88","GS","Henry Schmitt","1","2:15.202","2:15.202","Green","Track","9.183","15.215","12.987","12.833","11.657","2.518","0.667","10.186","19.737","18.887","6.314","5.293","122.666"
"84","TCR","Brian Henderson","1","2:15.642","2:15.642","Green","Track","8.262","15.811","12.881","12.020","10.298","2.509","0.655","10.235","19.772","18.906","6.540","5.183","124.913"
"89","TCR","Chad Gilsinger","1","2:16.098","2:16.098","Green","Track","8.626","16.329","12.805","12.058","10.297","2.501","0.672","10.058","20.137","18.997","6.615","5.250","121.753"
"37","TCR","Shelby Blackstock","1","2:16.594","2:16.594","Green","Track","7.866","14.964","12.875","12.119","9.967","2.406","0.648","10.324","19.916","18.951","6.785","5.324","126.263"
"98","TCR","Mark Wilkins","1","2:17.090","2:17.090","Green","Track","7.777","15.196","12.750","11.917","9.834","2.476","0.670","10.306","19.897","18.960","6.911","5.461","122.117"
"46","GS","Owen Trinkler","1","2:18.423","2:18.423","Green","Track","9.062","15.855","13.032","12.830","11.302","2.474","0.688","10.115","21.589","18.391","7.268","6.329","118.922"
"81","TCR","Marco Cirone","1","2:18.492","2:18.492","Green","Track","6.512","14.446","12.194","11.778","9.117","2.384","0.656","10.059","20.077","18.964","7.007","5.847","124.723"
"4","GS","Ted Giovanis","1","2:18.652","2:18.652","Green","Track","8.998","16.034","13.131","13.011","11.941","2.521","0.659","9.984","20.034","19.733","7.815","6.869","124.155"
"21","TCR","Mason Filippi","1","2:18.687","2:18.687","Green","Track","7.004","14.582","12.153","11.958","9.119","2.375","0.695","10.584","20.063","19.275","6.759","5.613","117.724"
"52","TCR","Max Faulkner","1","2:18.831","2:18.831","Green","Track","7.040","14.375","12.466","12.116","9.272","2.305","0.637","10.091","19.827","19.150","7.007","6.535","128.443"
"23","TCR","Nick Galante","1","2:18.875","2:18.875","Green","Track","8.180","15.728","12.869","12.043","10.000","2.507","0.670","10.233","21.206","20.191","6.676","5.309","122.117"
"57","GS","Bryce Ward","1","2:19.409","2:19.409","Green","Track","8.996","15.646","13.094","12.441","11.104","2.483","0.690","10.421","21.590","20.240","6.790","5.428","118.577"
"71","GS","Frank DePew","1","2:19.899","2:19.899","Green","Track","9.200","15.842","13.130","12.889","11.817","2.528","0.666","9.946","21.783","20.603","7.162","5.796","122.850"
"61","TCR","Gavin Ernstone","1","2:20.109","2:20.109","Green","Track","7.350","14.924","12.478","12.015","9.292","2.396","0.653","10.444","21.345","20.322","6.940","5.529","125.296"
"12","TCR","Ryan Nash","1","2:20.306","2:20.306","Green","Track","7.889","14.990","12.931","11.943","9.444","2.457","0.674","10.529","21.404","20.299","6.991","5.322","121.392"
"5","TCR","Roy Block","1","2:20.974","2:20.974","Green","Track","7.382","14.860","12.377","12.256","9.230","2.384","0.656","10.593","21.421","20.463","6.945","5.443","124.723"
"54","TCR","Michael Johnson","1","2:21.127","2:21.127","Green","Track","6.170","14.166","11.889","11.867","8.795","2.339","0.699","10.480","21.007","20.392","7.042","5.349","117.050"
"73","TCR","Mike LaMarra","1","2:21.719","2:21.719","Green","Track","6.318","14.290","12.087","11.918","9.225","2.291","0.659","10.296","21.198","20.275","7.044","5.812","124.155"
"3","TCR","Mark Kvamme","1","2:22.126","2:22.126","Green","Track","5.500","10.971","9.414","11.571","8.954","2.329","0.671","10.376","21.185","20.237","7.018","5.833","121.935"
"2","GS","Kenton Koch","2","1:29.923","3:34.842","Green","Track","4.706","8.018","4.781","9.101","8.403","2.170","0.584","7.872","16.417","16.708","6.065","5.098","140.100"
"69","GS","Jesse Lazare","2","1:30.107","3:35.551","Green","Track","4.741","8.089","4.809","9.211","8.467","2.148","0.572","7.904","16.452","16.678","6.040","4.996","143.039"
"75","GS","Paul Holton","2","1:30.274","3:35.954","Green","Track","4.715","8.219","4.850","9.133","8.482","2.154","0.573","7.896","16.433","16.759","5.983","5.077","142.789"
"33","GS","Russell Ward","2","1:32.112","3:39.436","Green","Track","4.770","8.233","4.793","9.435","8.497","2.138","0.574","7.877","16.689","17.666","6.304","5.136","142.540"
"96","GS","Robby Foley","2","1:32.288","3:39.949","Green","Track","4.767","8.126","4.791","9.566","8.478","2.133","0.572","7.886","16.597","17.604","6.455","5.313","143.039"
"82","GS","James Clay","2","1:31.515","3:40.514","Green","Track","4.789","8.019","4.785","9.203","8.514","2.136","0.570","7.793","16.633","17.018","6.611","5.444","143.541"
"56","GS","Jeff Mosing","2","1:32.639","3:40.566","Green","Track","4.782","8.109","4.801","9.640","8.474","2.133","0.569","7.885","16.586","17.379","6.454","5.827","143.793"
"60","GS","Nate Stacy","2","1:30.848","3:40.634","Green","Track","4.700","8.368","4.893","9.354","8.462","2.165","0.580","7.995","16.336","16.585","6.248","5.162","141.066"
"8","GS","Rodrigo Sales","2","1:33.494","3:43.167","Green","Track","4.857","8.837","4.878","9.277","8.407","2.145","0.575","8.066","17.343","17.490","6.351","5.268","142.292"
"7","GS","Alan Brynjolfsson","2","1:33.002","3:43.306","Green","Track","4.850","8.642","4.830","9.475","8.581","2.153","0.574","7.863","17.296","17.289","6.289","5.160","142.540"
"13","GS","Orey Fidani","2","1:33.027","3:43.683","Green","Track","4.808","8.467","4.930","9.559","8.412","2.142","0.573","8.166","17.272","17.137","6.433","5.128","142.789"
"35","GS","James Cox","2","1:32.375","3:44.556","Green","Track","4.915","8.380","4.838","9.703","8.414","2.132","0.568","8.109","17.060","17.014","6.063","5.179","144.046"
"31","GS","Jeff Courtney","2","1:33.890","3:45.608","Green","Track","4.913","8.392","4.934","9.796","8.603","2.171","0.580","8.383","17.352","17.287","6.359","5.120","141.066"
