"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"33","GS","Indy Dontje","1","4:24.116","4:24.116","Green","Track","0.000","22.826","14.825","28.206","10.128","7.792","7.267","13.917","8.467","7.188","6.055","0.554","3.644","147.686"
"57","GS","Christian Hohenadel","1","4:49.529","4:49.529","Green","Track","0.000","23.210","15.400","26.953","9.212","7.226","7.694","14.617","8.232","7.053","5.898","0.552","3.605","148.221"
"33","GS","Indy Dontje","2","2:12.359","6:36.475","Green","Track","15.369","17.681","12.837","25.393","9.164","7.133","6.849","13.154","8.139","6.968","5.794","0.522","3.356","156.740"
"57","GS","Christian Hohenadel","2","2:09.534","6:59.063","Green","Track","14.915","16.666","12.125","24.819","8.925","7.106","6.878","13.363","8.057","6.961","5.836","0.527","3.356","155.253"
"96","GS","Robby Foley","1","7:35.504","7:35.504","Green","Track","0.000","22.723","14.289","26.021","9.204","7.179","6.667","14.422","8.286","7.017","5.861","0.530","3.381","154.374"
"33","GS","Indy Dontje","3","2:07.716","8:44.191","Green","Track","14.407","16.798","12.431","24.480","8.877","7.067","6.666","12.472","8.031","6.906","5.748","0.519","3.314","157.646"
"57","GS","Christian Hohenadel","3","2:06.504","9:05.567","Green","Track","14.293","16.331","11.916","24.505","8.853","7.070","6.592","12.493","7.929","6.891","5.776","0.522","3.333","156.740"
"96","GS","Robby Foley","2","2:09.489","9:44.993","Green","Track","13.992","17.457","12.300","24.747","8.932","7.091","6.690","13.445","8.145","6.966","5.830","0.528","3.366","154.959"
"33","GS","Indy Dontje","4","2:05.098","10:49.289","Green","Track","13.429","16.222","12.213","24.113","8.878","7.057","6.525","12.201","8.014","6.895","5.725","0.516","3.310","158.562"
"57","GS","Christian Hohenadel","4","2:05.886","11:11.453","Green","Track","13.297","16.371","11.675","24.393","8.867","7.081","6.501","13.178","7.998","6.911","5.771","0.521","3.322","157.041"
"96","GS","Robby Foley","3","2:06.793","11:51.786","Green","Track","13.366","16.706","11.973","24.696","8.942","7.089","6.572","12.871","8.015","6.906","5.794","0.524","3.339","156.142"
"84","TCR","Todd Lamb","1","12:36.482","12:36.482","Green","Pit","0.000","29.924","25.092","30.294","10.109","8.290","9.505","15.127","9.347","8.220","12.752","0.000","0.000","0.000"
"33","GS","Indy Dontje","5","2:06.867","12:56.156","Green","Track","13.298","16.626","12.637","24.502","8.938","7.063","6.666","12.381","8.035","7.052","5.816","0.522","3.331","156.740"
"57","GS","Christian Hohenadel","5","2:04.969","13:16.422","Green","Track","13.466","16.141","11.503","24.326","8.846","7.062","6.771","12.497","7.885","6.873","5.760","0.519","3.320","157.646"
"96","GS","Robby Foley","4","2:06.939","13:58.725","Green","Track","13.493","16.515","11.871","24.773","8.988","7.071","6.685","12.996","7.957","6.891","5.815","0.527","3.357","155.253"
"33","GS","Indy Dontje","6","2:23.358","15:19.514","Green","Pit","13.668","16.670","12.688","24.440","8.881","7.038","6.848","12.832","8.023","6.930","11.799","0.000","0.000","0.000"
"84","TCR","Todd Lamb","2","2:43.921","15:20.403","Green","Track","32.488","19.899","13.982","27.190","10.302","8.398","8.618","14.214","9.108","8.117","6.928","0.634","4.043","129.051"
"57","GS","Christian Hohenadel","6","2:25.751","15:42.173","Green","Pit","13.560","16.343","12.044","25.891","9.061","7.058","7.171","12.492","7.943","7.478","13.249","0.000","0.000","0.000"
"96","GS","Robby Foley","5","2:06.335","16:05.060","Green","Track","13.479","16.589","11.875","24.685","8.922","7.075","6.652","12.528","7.960","6.894","5.800","0.526","3.350","155.548"
"23","TCR","James Vance","1","17:02.323","17:02.323","Green","Track","0.000","22.970","14.020","27.168","9.801","7.858","7.662","13.969","8.712","7.546","6.291","0.569","3.645","143.793"
"84","TCR","Todd Lamb","3","2:21.215","17:41.618","Green","Track","15.169","18.457","13.324","25.715","10.252","8.374","7.898","13.147","9.075","8.165","6.950","0.635","4.054","128.848"
"96","GS","Robby Foley","6","2:23.264","18:28.324","Green","Pit","13.615","16.693","11.924","25.161","9.098","7.081","6.902","13.123","8.131","6.950","11.024","0.000","0.000","0.000"
"23","TCR","James Vance","2","2:14.446","19:16.769","Green","Track","14.979","17.546","12.884","25.212","9.576","7.608","7.147","13.082","8.563","7.450","6.242","0.563","3.594","145.325"
"84","TCR","Todd Lamb","4","2:21.074","20:02.692","Green","Track","14.882","17.937","12.930","26.451","10.410","8.488","7.865","13.046","9.134","8.205","6.999","0.640","4.087","127.841"
"7","GS","Trent Hindman","1","20:18.737","20:18.737","Green","Pit","0.000","23.340","15.046","26.839","8.930","7.020","6.825","12.837","7.977","6.936","11.538","0.000","0.000","0.000"
"23","TCR","James Vance","3","2:27.551","21:44.320","Green","Pit","14.370","17.186","12.429","25.440","9.630","7.626","7.146","12.714","8.465","7.437","11.664","0.000","0.000","0.000"
"24","GS","Drew Staveley","1","21:53.836","21:53.836","Green","Track","0.000","23.243","14.182","27.144","9.526","7.623","7.297","15.311","8.895","8.024","6.542","0.581","3.903","140.823"
"96","GS","Robby Foley","7","5:04.687","23:33.011","Green","Track","187.198","20.120","12.472","24.916","8.900","7.075","6.597","12.701","8.035","6.954","5.834","0.527","3.358","155.253"
"24","GS","Drew Staveley","2","2:17.624","24:11.460","Green","Track","15.691","17.553","13.086","25.085","9.446","7.826","7.393","14.883","8.568","7.583","6.298","0.559","3.653","146.365"
"84","TCR","Todd Lamb","5","4:37.176","24:39.868","Green","Pit","14.716","17.834","12.972","25.860","10.385","8.438","7.793","12.732","9.075","8.218","11.826","0.000","0.000","0.000"
"40","GS","James Pesek","2","2:25.505","25:22.535","Green","Track","0.000","19.509","13.452","28.801","9.710","7.530","7.780","14.906","8.500","7.591","6.251","0.555","3.528","147.420"
"33","GS","Indy Dontje","7","10:05.071","25:24.585","Green","Track","487.170","20.533","12.956","24.756","8.921","7.096","6.560","12.461","8.028","6.945","5.783","0.521","3.341","157.041"
"96","GS","Robby Foley","8","2:06.553","25:39.564","Green","Track","13.553","16.611","12.052","24.794","8.839","7.024","6.600","12.444","8.007","6.920","5.828","0.527","3.354","155.253"
"7","GS","Trent Hindman","2","5:28.927","25:47.664","Green","Track","214.166","19.512","11.751","24.319","8.785","6.974","6.675","12.420","7.914","6.832","5.761","0.519","3.299","157.646"
"23","TCR","James Vance","4","4:27.857","26:12.177","Green","Pit","129.171","20.382","12.595","25.406","9.532","7.565","7.069","12.808","8.443","7.510","13.432","0.000","0.000","0.000"
"24","GS","Drew Staveley","3","2:12.954","26:24.414","Green","Track","15.132","16.905","12.901","25.226","9.212","7.332","6.933","13.466","8.296","7.252","6.149","0.551","3.599","148.490"
"84","TCR","Brian Henderson","6","2:47.370","27:27.238","Green","Track","32.054","20.438","13.824","27.191","10.391","8.420","9.291","15.891","9.618","8.372","7.086","0.646","4.148","126.654"
"21","TCR","Harry Gottsacker","1","27:28.910","27:28.910","Green","Track","0.000","26.869","18.029","30.233","9.777","7.769","9.780","17.063","10.475","9.159","7.353","0.655","4.273","124.913"
"33","GS","Indy Dontje","8","2:06.835","27:31.420","Green","Track","14.073","17.293","12.261","24.096","8.854","7.049","6.594","12.115","7.978","6.914","5.774","0.518","3.316","157.950"
"40","GS","James Pesek","3","2:19.519","27:42.063","Green","Track","15.799","19.287","13.167","27.778","9.386","7.220","7.248","14.296","8.392","7.109","5.921","0.534","3.391","153.218"
"96","GS","Robby Foley","9","2:05.162","27:44.726","Green","Track","13.344","16.726","11.764","24.346","8.842","7.017","6.447","12.211","7.932","6.895","5.784","0.523","3.331","156.440"
"7","GS","Trent Hindman","3","2:06.030","27:53.694","Green","Track","13.877","16.743","11.867","24.558","8.820","6.986","6.654","12.257","7.924","6.835","5.710","0.515","3.284","158.870"
"24","GS","Drew Staveley","4","2:10.142","28:34.556","Green","Track","14.531","16.365","12.521","24.652","9.116","7.274","6.789","13.363","8.306","7.161","6.012","0.542","3.510","150.956"
"23","TCR","James Vance","5","2:33.248","28:45.425","Green","Track","32.565","19.656","12.446","25.501","9.488","7.576","7.170","12.693","8.459","7.401","6.186","0.557","3.550","146.891"
"33","GS","Indy Dontje","9","2:06.209","29:37.629","Green","Track","14.042","16.341","12.530","24.429","8.857","7.052","6.568","11.952","7.969","6.883","5.754","0.518","3.314","157.950"
"84","TCR","Brian Henderson","7","2:25.027","29:52.265","Green","Track","15.794","17.680","13.141","27.864","10.490","8.412","8.126","14.123","9.287","8.297","7.046","0.642","4.125","127.443"
"96","GS","Robby Foley","10","2:10.094","29:54.820","Green","Track","13.868","17.623","12.628","25.125","8.866","7.005","6.857","13.147","8.304","6.985","5.817","0.526","3.343","155.548"
"7","GS","Trent Hindman","4","2:05.146","29:58.840","Green","Track","13.616","16.330","11.578","24.588","8.836","6.975","6.618","12.319","7.947","6.872","5.694","0.511","3.262","160.114"
"40","GS","Jade Buford","4","2:17.589","29:59.652","Green","Track","15.486","18.210","13.844","27.001","9.176","7.152","6.997","14.123","8.263","7.198","6.143","0.546","3.450","149.850"
"57","GS","Christian Hohenadel","7","14:34.878","30:17.051","Green","Track","758.075","19.187","12.451","24.842","8.848","7.110","6.969","12.874","7.910","6.933","5.817","0.524","3.338","156.142"
"24","GS","Drew Staveley","5","2:11.615","30:46.171","Green","Track","14.849","16.689","13.056","24.878","9.107","7.258","6.920","13.466","8.293","7.127","5.981","0.538","3.453","152.078"
"69","GS","Corey Fergus","1","30:46.670","30:46.670","Green","Track","0.000","24.423","15.666","27.845","9.119","6.866","6.775","13.375","7.803","6.674","5.619","0.519","3.360","157.646"
"23","TCR","James Vance","6","2:11.898","30:57.323","Green","Track","13.968","17.293","12.315","25.450","9.536","7.552","7.136","12.515","8.432","7.413","6.186","0.557","3.545","146.891"
"33","GS","Indy Dontje","10","2:04.261","31:41.890","Green","Track","13.261","16.386","11.872","24.073","8.870","7.037","6.507","11.871","7.942","6.884","5.741","0.518","3.299","157.950"
"7","GS","Trent Hindman","5","2:05.421","32:04.261","Green","Track","13.705","16.353","11.590","25.093","8.901","6.982","6.537","12.137","7.892","6.778","5.682","0.512","3.259","159.801"
"40","GS","Jade Buford","5","2:14.258","32:13.910","Green","Track","15.085","18.061","12.661","26.661","9.063","7.139","6.984","13.638","8.232","7.049","5.809","0.527","3.349","155.253"
"96","GS","Robby Foley","11","2:22.966","32:17.786","Green","Pit","14.216","17.152","12.472","25.000","8.897","7.047","6.658","12.419","7.995","6.906","10.698","0.000","0.000","0.000"
"57","GS","Christian Hohenadel","8","2:04.481","32:21.532","Green","Track","13.409","16.184","11.526","24.198","8.807","7.036","6.665","12.330","7.862","6.880","5.750","0.519","3.315","157.646"
"69","GS","Corey Fergus","2","2:07.421","32:54.091","Green","Track","14.064","17.025","12.563","24.928","8.750","6.809","6.476","12.560","7.800","6.830","5.724","0.520","3.372","157.343"
"24","GS","Drew Staveley","6","2:07.926","32:54.097","Green","Track","13.761","16.457","12.298","24.659","9.031","7.164","6.694","12.722","8.192","7.041","5.873","0.532","3.502","153.794"
"23","TCR","James Vance","7","2:11.333","33:08.656","Green","Track","13.619","17.163","12.276","25.665","9.575","7.578","6.930","12.358","8.486","7.407","6.176","0.557","3.543","146.891"
"33","GS","Indy Dontje","11","2:18.392","34:00.282","Green","Pit","13.394","16.416","11.931","24.193","8.881","7.044","6.577","11.898","7.917","6.884","9.805","0.000","0.000","0.000"
