"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"5","TCR","Roy Block","1","2:32.349","2:32.349","Green","Track","0.000","20.493","13.057","25.551","9.348","7.605","7.127","12.201","8.423","7.509","6.312","0.571","3.637","143.289"
"54","TCR","Michael Johnson","1","2:36.135","2:36.135","Green","Track","0.000","20.930","13.711","24.869","9.038","7.303","6.724","12.391","8.230","7.251","6.032","0.542","3.450","150.956"
"3","TCR","Alex Popow","1","2:36.568","2:36.568","Green","Track","0.000","21.832","13.606","24.715","9.086","7.482","7.145","12.513","8.167","7.306","6.106","0.550","3.499","148.760"
"10","TCR","Lee Carpentier","1","2:40.408","2:40.408","Green","Track","0.000","21.431","13.263","25.258","9.152","7.346","6.890","11.857","8.015","7.132","5.937","0.533","3.410","153.505"
"12","TCR","Ryan Nash","1","2:43.118","2:43.118","Green","Track","0.000","21.820","13.864","26.760","9.093","7.309","6.833","12.873","8.267","7.218","5.978","0.538","3.433","152.078"
"23","TCR","Jared Salinsky","1","2:46.155","2:46.155","Green","Track","0.000","22.669","14.039","28.570","9.722","7.680","7.193","12.630","8.430","7.334","6.057","0.546","3.713","149.850"
"52","TCR","Max Faulkner","1","2:46.247","2:46.247","Green","Track","32.930","21.273","13.133","25.373","9.306","7.541","7.013","11.957","8.233","7.289","6.053","0.545","3.495","150.125"
"84","TCR","Brian Henderson","1","2:48.444","2:48.444","Green","Track","33.729","21.408","13.058","23.895","9.150","7.418","6.900","11.245","8.139","7.264","6.070","0.548","3.506","149.303"
"73","TCR","Mike LaMarra","1","2:52.945","2:52.945","Green","Track","33.793","22.212","13.857","26.230","9.277","7.511","7.216","12.675","8.298","7.407","6.137","0.555","3.546","147.420"
"37","TCR","Shelby Blackstock","1","2:53.319","2:53.319","Green","Track","33.809","22.028","13.973","25.801","9.258","7.461","7.172","12.701","8.320","7.363","6.086","0.548","3.490","149.303"
"89","TCR","Ryan Eversley","1","3:00.288","3:00.288","Green","Track","0.000","19.702","13.377","26.586","9.519","7.729","7.131","11.884","8.373","7.542","6.305","0.571","3.642","143.289"
"98","TCR","Mark Wilkins","1","3:24.742","3:24.742","Green","Track","34.135","24.354","16.983","28.370","10.388","8.496","7.764","13.147","8.444","7.471","6.222","0.561","3.572","145.843"
"21","TCR","Mason Filippi","1","3:55.895","3:55.895","Green","Track","34.000","21.494","14.238","25.489","9.243","7.477","7.259","12.491","8.225","7.362","6.157","0.556","3.537","147.155"
"61","TCR","Gavin Ernstone","1","4:17.020","4:17.020","Green","Track","0.000","21.272","14.957","24.656","9.330","7.454","6.844","12.017","8.211","7.218","6.045","0.551","3.544","148.490"
"54","TCR","Michael Johnson","2","2:02.157","4:38.292","Green","Track","13.228","15.937","11.425","22.500","8.986","7.272","6.629","11.285","7.984","7.068","5.882","0.534","3.427","153.218"
"5","TCR","Roy Block","2","2:06.164","4:38.513","Green","Track","13.603","16.648","11.966","22.929","9.004","7.414","6.881","11.709","8.233","7.396","6.224","0.565","3.592","144.811"
"3","TCR","Alex Popow","2","2:03.792","4:40.360","Green","Track","13.414","16.233","11.336","22.871","8.890","7.341","6.756","11.403","8.090","7.288","6.103","0.551","3.516","148.490"
"10","TCR","Lee Carpentier","2","2:00.579","4:40.987","Green","Track","12.727","15.975","11.156","22.215","8.917","7.191","6.551","11.059","7.979","7.070","5.828","0.525","3.386","155.844"
"12","TCR","Ryan Nash","2","2:03.338","4:46.456","Green","Track","12.908","16.080","11.366","23.238","9.029","7.291","6.652","11.632","8.065","7.154","5.956","0.539","3.428","151.796"
"84","TCR","Brian Henderson","2","2:03.216","4:51.660","Green","Track","13.112","16.330","11.338","22.424","8.967","7.317","6.726","11.255","8.222","7.342","6.095","0.552","3.536","148.221"
"23","TCR","Jared Salinsky","2","2:09.111","4:55.266","Green","Track","15.097","17.636","12.012","23.953","9.152","7.372","6.764","11.544","8.260","7.258","6.028","0.545","3.490","150.125"
"73","TCR","Mike LaMarra","2","2:07.081","5:00.026","Green","Track","13.402","16.740","11.969","23.760","9.121","7.461","7.064","11.831","8.187","7.354","6.106","0.553","3.533","147.953"
"37","TCR","Shelby Blackstock","2","2:09.572","5:02.891","Green","Track","13.700","17.032","12.165","24.539","9.285","7.487","6.931","12.392","8.411","7.406","6.138","0.555","3.531","147.420"
"89","TCR","Chad Gilsinger","2","2:06.831","5:07.119","Green","Track","12.960","15.925","11.560","24.519","10.086","7.830","7.043","11.022","8.158","7.387","6.184","0.562","3.595","145.584"
"52","TCR","Max Faulkner","2","2:33.572","5:19.819","Green","Track","13.260","16.214","11.347","22.785","9.080","7.428","6.806","0.000","0.000","10.772","7.696","0.646","4.022","126.654"
"98","TCR","Mark Wilkins","2","2:04.533","5:29.275","Green","Track","13.487","16.128","11.465","22.441","9.058","7.440","6.862","11.814","8.221","7.366","6.149","0.557","3.545","146.891"
"21","TCR","Mason Filippi","2","2:06.470","6:02.365","Green","Track","14.085","16.472","11.864","23.166","8.982","7.384","6.792","12.098","8.129","7.305","6.121","0.554","3.518","147.686"
"61","TCR","Gavin Ernstone","2","2:04.100","6:21.120","Green","Track","13.859","16.081","11.795","22.914","9.053","7.332","6.711","11.203","8.009","7.151","5.988","0.540","3.464","151.515"
"54","TCR","Michael Johnson","3","2:00.117","6:38.409","Green","Track","12.534","15.751","11.169","22.044","8.960","7.243","6.624","10.863","7.924","7.095","5.946","0.536","3.428","152.646"
