"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"75","GS","Paul Holton","1","1:56.427","1:56.427","Green","Track","13.686","15.577","11.006","21.733","8.128","6.588","6.257","10.676","7.402","6.484","5.371","0.479","3.039","170.810"
"15","GS","Ty Majeski","1","1:56.835","1:56.835","Green","Track","13.218","15.183","10.861","21.138","8.413","6.891","6.345","10.334","7.697","6.767","5.597","0.504","3.201","162.338"
"7","GS","Trent Hindman","1","1:58.005","1:58.005","Green","Track","13.435","15.351","10.892","21.817","8.408","6.658","6.138","10.817","7.684","6.655","5.489","0.490","3.104","166.976"
"39","GS","Tyler McQuarrie","1","1:58.144","1:58.144","Green","Track","13.482","15.601","10.818","21.793","8.364","6.739","6.205","10.978","7.638","6.566","5.324","0.476","3.051","171.887"
"57","GS","Christian Hohenadel","1","1:58.171","1:58.171","Green","Track","13.284","15.171","11.144","21.729","8.429","6.794","6.339","11.166","7.669","6.573","5.360","0.483","3.085","169.396"
"66","GS","Spencer Pumpelly","1","1:58.272","1:58.272","Green","Track","13.306","15.650","11.142","21.504","8.428","6.690","6.174","10.837","7.606","6.518","5.321","0.475","3.015","172.249"
"31","GS","Marc Miller","1","1:59.303","1:59.303","Green","Track","13.466","15.896","10.982","21.910","8.456","6.705","6.188","11.053","7.658","6.555","5.352","0.475","3.035","172.249"
"33","GS","Indy Dontje","1","1:59.399","1:59.399","Green","Track","13.364","15.812","11.092","21.816","8.497","6.795","6.205","10.849","7.716","6.687","5.451","0.490","3.117","166.976"
"46","GS","Owen Trinkler","1","2:01.013","2:01.013","Green","Track","13.474","16.059","11.029","22.140","8.480","6.888","6.306","11.459","7.713","6.687","5.449","0.486","3.085","168.350"
"2","GS","Kenton Koch","1","2:01.432","2:01.432","Green","Track","13.358","16.036","11.095","22.297","8.451","6.798","6.290","11.581","7.782","6.745","5.420","0.487","3.103","168.004"
