"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"46","GS","Owen Trinkler","1","2:23.946","2:23.946","Green","Track","0.000","11.313","28.672","17.075","29.468","10.125","20.461","0.581","11.642","1.626","3.025","145.908","106.228"
"98","TCR","Michael Lewis","1","2:26.094","2:26.094","Green","Track","0.000","10.966","29.528","18.004","31.134","10.689","21.092","0.641","12.132","1.699","3.188","132.251","101.664"
"15","GS","Myatt Snider","1","2:26.550","2:26.550","Green","Track","437.387","11.088","28.801","17.170","30.230","9.950","20.729","0.590","11.805","1.624","3.033","143.683","106.359"
"4","GS","Guy Cosmo","1","2:31.516","2:31.516","Green","Track","426.490","12.445","30.105","17.624","29.999","10.087","20.367","0.596","12.065","1.624","3.031","142.236","106.359"
"96","GS","Robby Foley","1","2:33.827","2:33.827","Green","Track","399.008","10.883","29.768","17.114","29.985","10.215","20.716","0.593","12.301","1.622","3.011","142.956","106.490"
"22","GS","Matt Crafton","1","2:34.747","2:34.747","Green","Track","421.946","11.223","31.410","17.513","29.933","10.212","20.657","0.591","12.159","1.648","3.068","143.439","104.810"
"93","GS","Tom Dyer","1","2:39.443","2:39.443","Green","Track","388.960","11.686","31.595","17.840","30.940","10.286","20.908","0.605","11.919","1.618","3.044","140.120","106.754"
"8","GS","Gunnar Jeannette","1","2:41.133","2:41.133","Green","Track","301.842","10.764","29.951","17.959","31.289","10.419","21.004","0.600","12.155","1.637","3.055","141.288","105.515"
"60","GS","Nate Stacy","1","2:44.102","2:44.102","Green","Track","303.535","11.663","34.679","18.071","31.419","10.535","20.230","0.590","11.928","1.629","3.046","143.683","106.033"
"7","GS","Alan Brynjolfsson","1","2:47.872","2:47.872","Green","Track","298.413","12.446","31.046","19.103","31.920","10.862","21.000","0.593","11.899","1.677","3.102","142.956","102.998"
"57","GS","Christian Hohenadel","1","2:49.571","2:49.571","Green","Track","162.439","10.117","28.950","17.486","30.012","10.240","20.694","0.583","11.858","1.653","3.065","145.408","104.493"
"40","GS","James Pesek","1","2:50.285","2:50.285","Green","Track","251.538","13.238","30.969","18.568","31.384","11.181","21.407","0.596","12.351","1.643","3.048","142.236","105.129"
"59","GS","Rod Randall","1","2:53.404","2:53.404","Green","Track","222.593","11.833","30.368","18.532","31.432","10.852","21.050","0.587","12.348","1.650","3.063","144.417","104.683"
"10","TCR","Lee Carpentier","1","2:54.379","2:54.379","Green","Track","243.626","11.953","30.669","18.648","31.624","11.213","22.396","0.692","12.177","1.680","3.145","122.504","102.814"
"54","TCR","Stephen Simpson","1","2:59.717","2:59.717","Green","Track","144.200","11.215","29.951","17.526","31.232","10.964","21.350","0.618","12.366","1.703","3.183","137.173","101.425"
"37","TCR","Shelby Blackstock","1","3:04.777","3:04.777","Green","Track","157.819","12.953","31.855","18.741","32.835","10.780","21.351","0.635","12.148","1.690","3.194","133.500","102.205"
"3","TCR","Alex Popow","1","3:08.867","3:08.867","Green","Track","146.298","11.135","30.496","19.032","32.400","10.983","21.770","0.674","13.074","1.724","3.219","125.776","100.190"
"2","GS","Tyler Cooke","1","3:20.911","3:20.911","Green","Track","0.000","12.452","31.752","18.187","31.050","10.354","20.913","0.596","11.752","1.636","3.055","142.236","105.579"
"17","TCR","Mikey Taylor","1","3:23.920","3:23.920","Green","Track","201.752","10.828","29.966","18.240","30.968","10.407","21.027","0.635","12.154","1.685","3.165","133.500","102.509"
"35","GS","James Cox","1","3:27.146","3:27.146","Green","Track","419.336","11.071","30.282","18.952","32.034","10.652","20.481","0.582","11.944","1.638","3.018","145.658","105.450"
"71","GS","Robin Liddell","1","3:34.057","3:34.057","Green","Track","22.868","11.016","29.715","16.962","29.392","9.983","24.348","0.807","12.091","1.609","3.012","105.047","107.351"
"12","TCR","Russell McDonough","1","3:35.787","3:35.787","Green","Pit","237.913","12.625","33.502","20.075","34.299","12.500","24.440","0.686","14.606","4.303","10.425","123.575","40.141"
"21","TCR","Harry Gottsacker","1","3:37.360","3:37.360","Green","Track","0.000","12.068","31.553","18.637","32.672","11.220","21.707","0.634","13.431","1.806","3.324","133.711","95.641"
"58","GS","Alec Udell","1","3:38.077","3:38.077","Green","Track","22.785","10.968","30.213","17.996","30.746","10.806","20.807","0.585","11.968","1.630","3.032","144.911","105.968"
"65","GS","Justin Piscitell","1","3:40.922","3:40.922","Green","Track","23.183","10.696","29.399","17.746","30.658","10.646","20.671","0.585","12.070","1.646","3.054","144.911","104.938"
