"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"10","TCR","Kieron O'Rourke","1","2:32.937","2:32.937","Green","Track","0.000","9.687","30.350","18.373","30.871","10.639","20.951","0.620","12.318","1.690","3.168","136.730","102.205"
"37","TCR","Shelby Blackstock","1","2:38.130","2:38.130","Green","Track","0.000","11.658","30.678","18.335","31.215","10.907","21.865","0.629","12.164","1.662","3.158","134.774","103.927"
"73","TCR","Mike LaMarra","1","2:40.650","2:40.650","Green","Track","0.000","11.959","30.862","18.187","31.760","10.793","21.739","0.628","12.842","1.691","3.196","134.988","102.145"
"84","TCR","Brian Henderson","1","2:41.671","2:41.671","Green","Track","0.000","12.441","29.699","17.568","30.568","10.406","20.723","0.616","12.149","1.656","3.136","137.618","104.304"
"52","TCR","Max Faulkner","1","2:43.455","2:43.455","Green","Track","0.000","12.001","30.995","18.288","31.722","11.258","21.956","0.744","13.612","1.719","3.214","113.942","100.481"
"17","TCR","Britt Casey Jr","1","2:51.098","2:51.098","Green","Track","0.000","11.973","33.255","18.080","31.802","10.860","22.393","0.693","12.247","1.731","3.239","122.327","99.785"
"3","TCR","Alexandre Papadopulos","1","2:53.414","2:53.414","Green","Track","0.000","13.537","33.180","18.871","33.050","11.587","22.227","0.707","13.245","1.694","3.183","119.905","101.964"
"23","TCR","Nick Galante","1","3:01.330","3:01.330","Green","Track","23.102","11.243","29.640","18.817","31.461","10.998","20.953","0.620","12.119","1.724","3.232","136.730","100.190"
"12","TCR","Russell McDonough","1","3:03.908","3:03.908","Green","Track","0.000","11.610","30.228","18.601","33.483","12.127","21.914","0.713","12.574","1.708","3.199","118.896","101.128"
"89","TCR","Chad Gilsinger","1","3:20.364","3:20.364","Green","Track","22.713","12.150","33.088","18.193","36.114","14.732","24.678","0.680","12.198","1.699","3.215","124.666","101.664"
"61","TCR","Gavin Ernstone","1","3:27.436","3:27.436","Green","Track","0.000","13.985","38.002","22.363","40.764","14.312","35.341","1.176","15.615","1.823","3.376","72.086","94.749"
"54","TCR","Michael Johnson","1","3:40.701","3:40.701","Green","Track","0.000","11.851","31.249","18.381","31.926","11.130","21.696","0.621","12.911","1.699","3.177","136.510","101.664"
"98","TCR","Mark Wilkins","1","4:26.096","4:26.096","Green","Track","0.000","11.425","31.013","18.584","32.748","10.999","21.501","0.637","12.603","1.734","3.249","133.081","99.612"
"37","TCR","Shelby Blackstock","2","2:15.312","4:53.442","Green","Track","6.727","6.207","27.612","17.071","29.663","10.123","20.691","0.621","11.777","1.666","3.154","136.510","103.678"
"21","TCR","Harry Gottsacker","1","4:56.277","4:56.277","Green","Track","0.000","11.958","30.156","18.812","32.933","10.932","21.134","0.629","12.506","1.730","3.240","134.774","99.842"
"84","TCR","Brian Henderson","2","2:16.935","4:58.606","Green","Track","6.721","6.313","28.022","17.208","30.237","10.284","20.757","0.622","11.962","1.667","3.142","136.291","103.616"
"73","TCR","Mike LaMarra","2","2:19.189","4:59.839","Green","Track","6.818","6.521","29.066","17.448","30.279","10.387","21.250","0.642","11.933","1.676","3.169","132.045","103.059"
"52","TCR","Max Faulkner","2","2:18.500","5:01.955","Green","Track","6.959","6.886","28.103","17.509","30.135","10.243","21.039","0.630","12.125","1.692","3.179","134.560","102.085"
"10","TCR","Kieron O'Rourke","2","2:31.095","5:04.032","Green","Pit","6.693","6.966","29.072","17.434","30.309","10.432","20.852","0.611","13.801","3.569","11.356","138.744","48.397"
"17","TCR","Britt Casey Jr","2","2:22.070","5:13.168","Green","Track","7.095","6.612","28.632","17.845","32.010","11.193","21.345","0.636","11.875","1.674","3.153","133.290","103.182"
"3","TCR","Alexandre Papadopulos","2","2:22.774","5:16.188","Green","Track","6.966","6.740","28.834","18.221","31.638","10.589","21.351","0.636","12.907","1.699","3.193","133.290","101.664"
"23","TCR","Nick Galante","2","2:17.431","5:18.761","Green","Track","6.669","6.524","28.353","17.134","30.383","10.225","20.838","0.617","11.777","1.710","3.201","137.395","101.010"
"12","TCR","Russell McDonough","2","2:17.430","5:21.338","Green","Track","6.761","6.399","28.297","17.324","30.244","10.334","20.807","0.612","11.799","1.690","3.163","138.518","102.205"
"89","TCR","Chad Gilsinger","2","2:17.422","5:37.786","Green","Track","6.847","6.435","28.103","17.362","30.217","10.357","20.801","0.631","11.807","1.682","3.180","134.347","102.692"
"61","TCR","Gavin Ernstone","2","2:20.950","5:48.386","Green","Track","7.075","7.195","29.096","17.517","31.011","10.324","21.187","0.619","12.035","1.705","3.186","136.951","101.306"
