"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"39","GS","Tyler McQuarrie","1","2:15.606","2:15.606","Yellow","Track","7.071","6.614","27.249","16.711","29.263","9.931","20.413","0.594","11.931","1.751","3.912","142.715","98.645"
"46","GS","Owen Trinkler","1","2:16.076","2:16.076","Yellow","Track","7.050","6.482","27.278","17.026","29.710","9.997","20.344","0.581","12.116","1.734","3.757","145.908","99.612"
"75","GS","Kuno Wittmer","1","2:17.534","2:17.534","Yellow","Track","7.230","6.985","27.772","16.824","29.611","10.159","20.555","0.582","12.317","1.818","3.580","145.658","95.010"
"2","GS","Tyler Cooke","1","2:19.728","2:19.728","Yellow","Track","0.000","0.000","28.462","16.968","29.815","10.253","20.561","0.590","12.770","1.876","3.844","143.683","92.072"
"96","GS","Robby Foley","1","2:20.704","2:20.704","Yellow","Track","7.159","6.814","28.425","17.087","29.917","10.307","20.387","0.584","13.725","1.915","3.740","145.159","90.197"
"82","GS","James Clay","1","2:21.053","2:21.053","Yellow","Track","7.131","6.615","28.446","17.203","29.813","10.452","20.228","0.602","13.887","1.928","3.775","140.818","89.589"
"69","GS","Corey Fergus","1","2:21.725","2:21.725","Yellow","Track","7.113","6.881","28.517","17.244","30.062","10.254","20.179","0.576","13.742","2.049","3.931","147.175","84.298"
"60","GS","Nate Stacy","1","2:22.675","2:22.675","Yellow","Track","7.220","6.942","28.650","16.949","30.089","10.209","20.702","0.594","14.054","2.066","4.326","142.715","83.605"
"15","GS","Myatt Snider","1","2:23.380","2:23.380","Yellow","Track","7.149","6.641","28.666","17.130","30.403","10.127","20.522","0.591","14.028","2.156","4.461","143.439","80.115"
"56","GS","Jeff Mosing","1","2:23.949","2:23.949","Yellow","Track","7.153","6.711","28.795","17.153","30.292","10.204","20.412","0.633","14.163","2.182","4.426","133.922","79.160"
"35","GS","James Cox","1","2:24.583","2:24.583","Yellow","Track","7.252","7.022","28.955","17.677","30.400","10.273","20.557","0.589","13.756","2.171","4.428","143.927","79.561"
"22","GS","Matt Crafton","1","2:25.127","2:25.127","Yellow","Track","7.281","6.727","29.031","17.602","30.574","10.233","20.801","0.592","13.881","2.132","4.370","143.197","81.017"
"57","GS","Bryce Ward","1","2:25.675","2:25.675","Yellow","Track","7.321","7.053","28.861","18.067","30.396","10.272","20.646","0.587","13.904","2.042","4.388","144.417","84.587"
"88","GS","Henry Schmitt","1","2:26.126","2:26.126","Yellow","Track","7.186","6.947","28.920","18.242","30.670","10.297","20.710","0.580","14.025","1.985","4.336","146.160","87.016"
"58","GS","DJ Randall","1","2:26.696","2:26.696","Yellow","Track","7.421","6.942","29.071","17.923","30.870","10.319","20.943","0.591","13.751","2.043","4.414","143.439","84.546"
"13","GS","Orey Fidani","1","2:27.453","2:27.453","Yellow","Track","7.245","7.051","29.525","17.873","31.115","10.237","20.707","0.590","14.023","2.097","4.453","143.683","82.369"
"8","GS","Rodrigo Sales","1","2:28.065","2:28.065","Yellow","Track","7.333","7.339","29.058","18.144","31.254","10.358","21.067","0.588","13.624","2.239","4.434","144.171","77.145"
"59","GS","Rod Randall","1","2:28.603","2:28.603","Yellow","Track","7.511","7.756","29.591","17.687","31.032","10.315","21.005","0.645","13.812","2.089","4.347","131.431","82.684"
"40","GS","James Pesek","1","2:29.294","2:29.294","Yellow","Track","7.413","7.418","28.868","18.562","31.500","10.529","20.838","0.661","14.420","1.996","4.246","128.249","86.537"
"71","GS","Frank DePew","1","2:30.034","2:30.034","Yellow","Track","7.408","7.674","29.638","18.156","31.450","10.349","20.797","0.630","14.556","1.931","4.080","134.560","89.450"
"7","GS","Alan Brynjolfsson","1","2:30.657","2:30.657","Yellow","Track","7.610","7.816","30.598","17.846","31.611","10.415","20.887","0.594","14.227","2.068","3.961","142.715","83.524"
"65","GS","Brent Mosing","1","2:31.417","2:31.417","Yellow","Track","7.759","7.698","30.433","17.750","32.234","10.580","21.027","0.597","13.750","2.062","4.080","141.998","83.767"
"97","GS","Ramin Abdolvahabi","1","2:33.085","2:33.085","Yellow","Track","7.489","7.506","28.816","19.773","33.164","10.723","20.725","0.598","14.423","2.579","4.314","141.760","66.975"
"84","TCR","Brian Henderson","1","2:33.883","2:33.883","Yellow","Track","7.471","7.320","30.365","17.692","32.797","10.724","21.105","0.619","14.127","2.807","4.417","136.951","61.534"
"17","TCR","Britt Casey Jr","1","2:34.930","2:34.930","Yellow","Track","7.660","7.659","31.058","17.436","31.874","10.772","21.624","0.674","13.848","2.771","4.943","125.776","62.334"
"37","TCR","Shelby Blackstock","1","2:35.701","2:35.701","Yellow","Track","7.520","7.609","30.774","17.745","31.903","11.102","22.059","0.741","14.045","2.647","4.889","114.403","65.254"
"98","TCR","Mark Wilkins","1","2:36.599","2:36.599","Yellow","Track","7.635","7.685","31.345","17.606","31.500","10.964","22.870","0.790","13.692","2.549","5.157","107.307","67.763"
"54","TCR","Michael Johnson","1","2:37.633","2:37.633","Yellow","Track","7.682","7.670","31.472","17.447","31.578","10.993","22.987","0.815","14.054","2.480","5.345","104.016","69.648"
"21","TCR","Harry Gottsacker","1","2:38.627","2:38.627","Yellow","Track","7.368","7.764","31.787","18.155","31.009","10.828","23.284","0.862","14.286","2.652","5.446","98.344","65.131"
"4","GS","Ted Giovanis","1","2:39.463","2:39.463","Yellow","Track","7.412","8.137","33.529","17.743","31.386","10.632","23.142","0.870","14.525","2.490","5.435","97.440","69.368"
"89","TCR","Chad Gilsinger","1","2:40.229","2:40.229","Yellow","Track","7.705","7.526","32.863","17.874","31.099","10.707","23.383","0.917","14.601","2.549","5.401","92.446","67.763"
"52","TCR","Max Faulkner","1","2:40.954","2:40.954","Yellow","Track","7.481","7.687","33.459","19.004","31.119","10.536","23.234","0.943","14.608","2.515","5.459","89.897","68.679"
"93","GS","Mark Siegel","1","2:41.678","2:41.678","Yellow","Track","7.466","7.702","33.974","20.029","32.296","10.590","22.276","0.865","14.634","2.454","5.468","98.003","70.386"
"23","TCR","Nick Galante","1","2:42.395","2:42.395","Yellow","Track","7.677","7.764","32.934","19.561","32.487","10.581","22.384","0.839","14.493","2.472","5.518","101.040","69.873"
"12","TCR","Russell McDonough","1","2:42.919","2:42.919","Yellow","Track","7.556","7.891","32.905","19.680","32.527","10.564","22.975","0.839","14.816","2.437","5.362","101.040","70.877"
"3","TCR","Alexandre Papadopulos","1","2:43.362","2:43.362","Yellow","Track","7.390","7.787","33.371","19.978","31.919","10.647","22.529","0.820","14.915","2.470","5.271","103.381","69.930"
"10","TCR","Kieron O'Rourke","1","2:43.813","2:43.813","Yellow","Track","7.951","7.534","32.687","19.846","33.041","10.591","22.607","0.874","14.669","2.530","5.256","96.994","68.272"
"61","TCR","Gavin Ernstone","1","2:45.057","2:45.057","Yellow","Track","7.415","7.923","33.096","20.502","33.168","10.546","21.511","0.781","16.626","2.317","5.133","108.544","74.548"
"73","TCR","Mike LaMarra","1","5:24.414","5:24.414","Yellow","Pit","7.266","7.631","33.419","19.335","136.905","27.298","44.892","1.660","24.766","4.844","10.722","51.068","35.658"
"5","TCR","Roy Block","1","5:28.359","5:28.359","Yellow","Pit","7.349","7.647","32.754","19.619","162.089","16.723","31.653","1.105","24.105","5.227","13.549","76.717","33.045"
"39","GS","Tyler McQuarrie","2","3:39.226","5:54.832","Yellow","Track","9.036","7.564","41.677","27.307","49.541","18.176","36.965","1.434","18.438","2.886","6.202","59.116","59.850"
"46","GS","Owen Trinkler","2","3:40.129","5:56.205","Yellow","Track","9.964","8.061","40.897","27.220","49.838","17.998","36.857","1.470","18.639","2.760","6.425","57.669","62.582"
"75","GS","Kuno Wittmer","2","3:39.338","5:56.872","Yellow","Track","9.274","7.892","40.800","27.519","49.702","17.927","36.874","1.392","18.668","2.711","6.579","60.900","63.713"
"2","GS","Tyler Cooke","2","3:38.547","5:58.275","Yellow","Track","9.142","8.303","39.222","27.588","50.207","18.062","36.317","1.375","19.054","3.052","6.225","61.653","56.595"
"96","GS","Robby Foley","2","3:38.437","5:59.141","Yellow","Track","8.887","8.081","39.430","27.514","50.251","18.162","36.114","1.460","19.080","3.115","6.343","58.064","55.450"
