"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"13","GS","Scott Hargrove","1","2:10.267","2:10.267","Green","Track","505.608","11.066","14.744","4.368","0.560","16.015","25.157","16.018","20.117","6.793","3.815","146.713"
"8","GS","Gunnar Jeannette","1","2:11.084","2:11.084","Green","Track","514.360","10.909","15.674","4.717","0.606","17.536","26.162","17.040","20.914","7.347","4.074","135.576"
"2","GS","Kenton Koch","1","2:11.747","2:11.747","Green","Track","514.125","10.440","15.728","4.572","0.663","17.734","26.021","18.048","20.281","6.606","3.799","123.920"
"82","GS","James Clay","1","2:14.126","2:14.126","Green","Track","508.168","11.908","16.168","4.615","0.633","17.352","25.992","16.320","20.223","6.661","3.752","129.793"
"97","GS","Rob Ecklin Jr.","1","2:18.949","2:18.949","Green","Track","436.454","11.499","16.372","4.563","0.634","18.740","26.476","16.430","20.769","6.821","3.773","129.588"
"57","GS","Christian Hohenadel","1","2:25.246","2:25.246","Green","Track","433.215","15.526","15.953","4.533","0.624","18.239","25.339","16.087","19.833","6.507","3.734","131.665"
"39","GS","Tyler McQuarrie","1","2:28.145","2:28.145","Green","Track","392.209","12.452","15.115","4.378","0.553","16.602","24.209","15.928","20.093","6.464","3.735","148.570"
"11","GS","Spencer Pumpelly","1","2:30.095","2:30.095","Green","Track","430.134","15.214","15.416","4.507","0.651","17.921","25.363","16.742","23.108","6.722","3.800","126.204"
"5","TCR","Tim Lewis Jr","1","2:35.729","2:35.729","Green","Track","398.264","12.417","17.301","5.001","0.718","19.970","26.047","16.597","20.824","6.893","3.893","114.428"
"3","TCR","Alex Popow","1","2:39.640","2:39.640","Green","Track","431.813","15.659","19.152","5.408","0.736","19.969","28.037","17.736","21.640","7.347","4.007","111.629"
"35","GS","James Cox","1","2:40.671","2:40.671","Green","Track","393.378","13.235","18.319","4.819","0.603","19.933","27.694","16.547","20.851","7.134","3.852","136.251"
"46","GS","Hugh Plumb","1","2:42.383","2:42.383","Green","Track","347.655","12.031","17.567","4.720","0.617","17.674","26.897","16.292","20.203","6.507","3.741","133.159"
"40","GS","James Pesek","1","2:44.847","2:44.847","Green","Track","405.663","15.338","18.165","4.963","0.685","21.322","30.630","17.826","22.904","7.083","3.858","119.940"
"88","GS","Henry Schmitt","1","2:45.282","2:45.282","Green","Track","353.000","12.741","17.221","5.372","0.725","19.810","28.900","17.237","21.084","6.880","3.792","113.323"
"89","TCR","Chad Gilsinger","1","2:45.772","2:45.772","Green","Track","349.727","13.681","19.488","5.040","0.646","18.611","26.433","16.695","20.909","6.886","3.917","127.181"
"21","TCR","Harry Gottsacker","1","2:46.765","2:46.765","Green","Track","349.137","13.511","19.885","5.208","0.660","18.252","26.086","17.102","20.613","6.871","3.929","124.483"
"59","GS","Kenny Wilden","1","2:49.494","2:49.494","Green","Track","338.660","13.375","17.367","5.080","0.747","19.108","26.041","16.782","20.144","6.574","3.755","109.985"
"60","GS","Nate Stacy","1","2:51.663","2:51.663","Green","Track","317.568","12.407","19.226","4.976","0.675","19.096","25.286","15.992","19.888","6.653","3.750","121.717"
"56","GS","Jeff Mosing","1","2:55.307","2:55.307","Green","Track","257.067","11.698","16.399","4.707","0.666","18.747","25.551","16.542","19.979","6.597","3.784","123.362"
"71","GS","Frank DePew","1","2:59.995","2:59.995","Green","Track","318.512","12.515","20.071","5.482","0.682","19.529","27.052","17.844","22.646","7.291","3.909","120.468"
"84","TCR","Brian Henderson","1","3:00.397","3:00.397","Green","Track","271.947","12.211","18.473","5.890","0.813","20.038","27.149","17.874","20.623","6.682","3.909","101.057"
"96","GS","Vin Barletta","1","3:06.355","3:06.355","Green","Track","240.572","12.277","17.601","4.723","0.687","18.653","29.317","17.568","22.039","7.322","3.959","119.591"
"73","TCR","Mike LaMarra","1","3:08.904","3:08.904","Green","Track","235.924","12.604","18.071","4.899","0.735","19.346","27.579","17.514","22.647","7.419","4.021","111.781"
"23","TCR","Jared Salinsky","1","3:09.007","3:09.007","Green","Track","340.749","14.940","21.093","6.536","0.858","21.972","30.499","18.853","23.026","7.751","4.206","95.757"
"12","TCR","Ryan Nash","1","3:09.446","3:09.446","Green","Track","215.374","13.242","18.369","5.476","0.686","19.290","27.112","17.011","21.199","7.124","3.911","119.765"
"37","TCR","Shelby Blackstock","1","3:10.946","3:10.946","Green","Track","17.342","12.679","17.522","4.827","0.708","19.750","26.436","16.534","21.082","6.454","3.834","116.044"
"52","TCR","Colin Mullan","1","3:11.615","3:11.615","Green","Track","17.623","11.528","18.133","4.984","0.734","19.393","26.310","16.523","20.736","6.573","3.839","111.933"
"65","GS","Tim Probert","1","3:12.759","3:12.759","Green","Track","15.998","12.614","17.542","4.707","0.602","18.029","26.808","16.428","20.429","6.680","3.821","136.477"
