"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"98","TCR","Michael Lewis","1","2:22.595","2:22.595","Green","Track","0.000","10.492","15.002","4.631","0.606","16.231","30.724","20.301","19.662","6.585","3.890","135.576"
"37","TCR","Shelby Blackstock","1","2:24.362","2:24.362","Green","Track","16.379","10.914","16.021","4.749","0.686","18.158","25.663","16.717","19.861","6.493","3.856","119.765"
"23","TCR","Jared Salinsky","1","2:26.837","2:26.837","Green","Track","0.000","11.778","17.692","5.197","0.697","19.102","26.944","17.290","20.681","6.993","3.946","117.875"
"73","TCR","Mike LaMarra","1","2:27.685","2:27.685","Green","Track","16.042","11.122","16.142","4.987","0.712","17.923","25.809","16.875","20.960","6.864","3.951","115.392"
"52","TCR","Colin Mullan","1","2:29.840","2:29.840","Green","Track","16.858","12.326","15.852","4.709","0.703","18.507","26.997","16.177","19.573","6.389","3.817","116.869"
"84","TCR","Brian Henderson","1","2:32.371","2:32.371","Green","Pit","0.000","11.192","15.600","4.709","0.605","17.137","25.170","17.010","20.849","9.357","18.793","135.800"
"5","TCR","Tim Lewis Jr","1","2:37.696","2:37.696","Green","Track","15.948","12.199","17.497","4.965","0.689","18.554","26.007","16.605","20.925","6.750","3.839","119.244"
"89","TCR","Ryan Eversley","1","2:48.318","2:48.318","Green","Track","0.000","14.920","19.377","5.246","0.663","18.472","27.046","18.051","21.097","6.931","3.991","123.920"
"3","TCR","Alex Popow","1","2:59.281","2:59.281","Green","Track","20.710","15.604","18.200","5.531","0.715","17.298","25.432","23.119","21.605","6.555","3.830","114.908"
"61","TCR","Gavin Ernstone","1","3:05.673","3:05.673","Green","Track","14.634","11.238","17.033","5.046","0.651","16.409","25.456","16.564","20.371","7.103","4.012","126.204"
"12","TCR","Ryan Nash","1","3:16.720","3:16.720","Green","Track","14.629","13.462","17.120","4.724","0.618","18.549","25.945","16.730","20.589","7.183","3.934","132.944"
"54","TCR","Michael Johnson","1","3:31.269","3:31.269","Green","Track","0.000","15.042","24.929","7.969","1.037","21.567","27.156","16.735","20.311","7.058","4.014","79.228"
"98","TCR","Michael Lewis","2","2:27.513","4:50.108","Red","Pit","3.728","9.753","14.529","4.555","0.591","15.687","24.017","19.185","29.327","10.467","15.674","139.017"
"23","TCR","Jared Salinsky","2","2:26.786","4:53.623","Red","Pit","3.768","9.784","14.373","4.466","0.573","15.426","24.382","19.098","26.603","12.486","15.827","143.384"
"73","TCR","Mike LaMarra","2","2:29.882","4:57.567","Red","Pit","3.763","10.255","14.517","4.509","0.580","15.410","24.683","19.019","26.773","12.195","18.178","141.654"
"52","TCR","Colin Mullan","2","2:30.072","4:59.912","Red","Pit","3.723","10.037","14.480","5.359","0.908","17.851","24.482","17.580","24.315","11.965","19.372","90.484"
"5","TCR","Tim Lewis Jr","2","2:26.980","5:04.676","Red","Pit","3.771","10.377","14.648","4.511","0.581","16.146","25.097","17.000","21.857","11.304","21.688","141.410"
"84","TCR","Brian Henderson","2","2:36.090","5:08.461","Red","Pit","14.625","10.481","15.149","4.638","0.597","15.651","26.326","18.484","22.737","9.100","18.302","137.620"
"89","TCR","Chad Gilsinger","2","2:21.584","5:09.902","Red","Pit","3.857","10.753","15.049","4.584","0.587","16.568","25.289","16.219","21.087","9.612","17.979","139.964"
"3","TCR","Alex Popow","2","2:26.540","5:25.821","Red","Pit","3.733","9.915","14.377","4.510","0.583","17.607","28.511","19.164","22.869","9.013","16.258","140.925"
"54","TCR","Michael Johnson","2","2:31.117","6:02.386","Red","Pit","3.791","11.165","18.019","5.554","0.691","19.199","25.183","19.448","23.159","8.818","16.090","118.899"
"12","TCR","Ryan Nash","2","4:40.530","7:57.250","Green","Pit","3.742","10.055","15.317","6.470","0.861","20.513","30.625","19.328","22.180","10.172","141.267","95.423"
"61","TCR","Gavin Ernstone","2","4:53.958","7:59.631","Green","Track","3.779","10.073","14.633","4.724","0.709","18.959","26.670","17.195","21.426","10.088","0.000","115.880"
"73","TCR","Mike LaMarra","3","4:36.904","9:34.471","Green","Track","157.748","11.453","15.441","4.673","0.599","15.925","24.823","16.079","19.663","6.627","3.873","137.160"
"52","TCR","Colin Mullan","3","4:38.180","9:38.092","Green","Track","158.587","10.171","14.747","4.558","0.585","15.261","24.859","16.137","23.056","6.404","3.815","140.443"
"84","TCR","Todd Lamb","3","4:32.295","9:40.756","Green","Track","154.361","10.349","15.015","4.567","0.586","16.856","24.365","16.231","19.543","6.545","3.877","140.203"
"89","TCR","Chad Gilsinger","3","4:39.375","9:49.277","Green","Track","154.699","11.540","15.787","4.685","0.601","16.665","24.802","18.579","21.679","6.486","3.852","136.704"
"54","TCR","Michael Johnson","3","3:53.684","9:56.070","Green","Track","107.727","10.953","16.602","4.716","0.595","16.667","27.796","17.900","20.259","6.605","3.864","138.083"
"23","TCR","Jared Salinsky","3","5:03.393","9:57.016","Green","Track","178.292","11.169","15.355","4.751","0.621","16.923","27.486","17.521","20.848","6.588","3.839","132.301"
"5","TCR","Tim Lewis Jr","3","4:52.995","9:57.671","Green","Pit","157.193","10.635","15.425","4.604","0.595","18.534","24.792","16.858","20.301","7.493","16.565","138.083"
"98","TCR","Michael Lewis","3","5:14.335","10:04.443","Green","Track","195.144","10.314","14.896","4.590","0.591","15.896","25.008","16.522","21.133","6.413","3.828","139.017"
"3","TCR","Alex Popow","3","4:39.381","10:05.202","Green","Pit","142.801","10.826","15.663","5.414","0.679","17.093","25.117","16.498","20.310","8.037","16.943","121.000"
"12","TCR","Ryan Nash","3","2:12.966","10:10.216","Green","Track","14.568","10.745","14.909","4.523","0.578","16.788","24.360","16.181","19.852","6.628","3.834","142.144"
"61","TCR","Gavin Ernstone","3","2:22.421","10:22.052","Green","Track","14.594","13.263","20.943","5.022","0.627","16.113","24.700","16.709","19.826","6.686","3.938","131.035"
"73","TCR","Mike LaMarra","4","1:59.364","11:33.835","Green","Track","3.718","9.905","14.537","4.568","0.587","15.653","24.387","16.002","19.717","6.439","3.851","139.964"
"52","TCR","Colin Mullan","4","1:58.154","11:36.246","Green","Track","3.673","9.669","14.385","4.526","0.580","15.111","24.229","16.239","19.495","6.403","3.844","141.654"
"84","TCR","Brian Henderson","4","1:58.336","11:39.092","Green","Track","3.740","9.698","14.511","4.557","0.587","15.169","24.358","16.142","19.335","6.389","3.850","139.964"
"89","TCR","Chad Gilsinger","4","1:58.826","11:48.103","Green","Track","3.709","9.813","14.449","4.544","0.582","15.603","24.287","16.039","19.372","6.533","3.895","141.167"
"54","TCR","Michael Johnson","4","1:57.780","11:53.850","Green","Track","3.678","9.718","14.110","4.381","0.561","15.310","24.151","15.958","19.429","6.576","3.908","146.451"
"23","TCR","Jared Salinsky","4","1:58.557","11:55.573","Green","Track","3.709","9.939","14.290","4.445","0.568","15.262","24.332","16.110","19.558","6.492","3.852","144.646"
"98","TCR","Michael Lewis","4","1:56.984","12:01.427","Green","Track","3.668","9.512","14.394","4.519","0.582","14.712","23.743","15.972","19.565","6.471","3.846","141.167"
"12","TCR","Ryan Nash","4","1:59.905","12:10.121","Green","Track","3.696","9.962","14.328","4.414","0.564","16.604","24.283","16.177","19.594","6.472","3.811","145.672"
"5","TCR","Tim Lewis Jr","4","2:19.672","12:17.343","Green","Track","15.608","10.497","15.173","5.406","0.742","19.372","26.603","16.286","19.686","6.497","3.802","110.727"
"61","TCR","Gavin Ernstone","4","2:00.734","12:22.786","Green","Track","3.733","10.073","14.758","4.541","0.580","15.682","24.434","16.413","19.944","6.648","3.928","141.654"
"3","TCR","Alex Popow","4","2:22.319","12:27.521","Green","Track","21.653","10.350","14.624","4.513","0.577","15.533","26.746","18.023","20.022","6.454","3.824","142.390"
"73","TCR","Mike LaMarra","5","1:59.240","13:33.075","Green","Track","3.710","9.863","14.498","4.541","0.585","15.250","24.412","16.287","19.704","6.522","3.868","140.443"
"52","TCR","Colin Mullan","5","1:58.295","13:34.541","Green","Track","3.703","9.743","14.362","4.509","0.580","14.873","24.466","16.160","19.592","6.447","3.860","141.654"
"84","TCR","Brian Henderson","5","1:58.110","13:37.202","Green","Track","3.727","9.710","14.427","4.530","0.586","15.125","24.413","16.091","19.392","6.279","3.830","140.203"
"89","TCR","Chad Gilsinger","5","1:58.363","13:46.466","Green","Track","3.722","9.742","14.397","4.515","0.581","15.173","24.215","16.249","19.466","6.442","3.861","141.410"
"54","TCR","Michael Johnson","5","1:57.386","13:51.236","Green","Track","3.704","9.683","14.062","4.355","0.559","15.106","24.090","16.033","19.477","6.464","3.853","146.975"
