"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"33","GS","Indy Dontje","1","1:59.124","1:59.124","Green","Track","3.848","10.134","13.982","4.274","0.545","0.000","0.000","15.826","19.667","6.522","3.773","150.751"
"57","GS","Christian Hohenadel","1","1:59.682","1:59.682","Green","Track","3.886","10.252","13.798","4.220","0.548","0.000","0.000","15.929","19.749","6.564","3.790","149.925"
"82","GS","James Clay","1","1:59.855","1:59.855","Green","Track","3.805","10.470","13.935","4.185","0.560","0.000","0.000","15.921","19.707","6.545","3.726","146.713"
"75","GS","Kuno Wittmer","1","2:00.465","2:00.465","Green","Track","3.852","10.435","13.852","4.186","0.579","0.000","0.000","16.035","19.820","6.478","3.725","141.898"
"46","GS","Owen Trinkler","1","2:00.738","2:00.738","Green","Track","3.849","10.374","13.887","4.215","0.567","0.000","0.000","16.124","19.772","6.455","3.739","144.901"
"39","GS","Tyler McQuarrie","1","2:01.024","2:01.024","Green","Track","3.933","10.603","14.035","4.236","0.544","0.000","0.000","16.195","19.879","6.506","3.789","151.028"
"69","GS","Jesse Lazare","1","2:01.361","2:01.361","Green","Track","3.804","10.482","14.049","4.157","0.573","0.000","0.000","16.016","19.846","6.585","3.732","143.384"
"60","GS","Nate Stacy","1","2:01.663","2:01.663","Green","Track","3.892","10.497","14.162","4.291","0.553","0.000","0.000","16.072","19.814","6.561","3.759","148.570"
"7","GS","Trent Hindman","1","2:02.088","2:02.088","Green","Track","3.878","10.716","14.052","4.240","0.545","0.000","0.000","16.272","19.683","6.527","3.812","150.751"
"56","GS","Jeff Mosing","1","2:03.016","2:03.016","Green","Track","3.847","10.624","14.347","4.294","0.552","0.000","0.000","16.619","19.858","6.628","3.820","148.839"
"2","GS","Kenton Koch","1","2:03.124","2:03.124","Green","Track","3.918","11.193","14.780","4.372","0.554","0.000","0.000","16.329","20.141","6.588","3.789","148.302"
"13","GS","Scott Hargrove","1","2:03.699","2:03.699","Green","Track","3.853","10.624","14.165","4.266","0.543","0.000","0.000","16.740","20.133","6.789","3.918","151.306"
"88","GS","Henry Schmitt","1","2:04.044","2:04.044","Green","Track","3.892","10.730","14.577","4.199","0.539","0.000","0.000","16.317","19.927","6.731","3.821","152.429"
"35","GS","James Cox","1","2:04.483","2:04.483","Green","Track","3.900","11.474","15.320","4.289","0.543","0.000","0.000","16.260","20.204","6.674","3.763","151.306"
"59","GS","Billy Johnson","1","2:04.930","2:04.930","Green","Track","3.888","10.562","14.919","4.283","0.594","0.000","0.000","16.021","20.078","6.580","3.752","138.315"
"65","GS","Tim Probert","1","2:05.708","2:05.708","Green","Track","3.881","10.982","15.398","4.325","0.552","0.000","0.000","16.208","20.799","6.760","3.816","148.839"
"97","GS","Rob Ecklin Jr.","1","2:05.765","2:05.765","Green","Track","3.842","10.894","15.347","4.361","0.588","0.000","0.000","15.997","20.481","6.702","3.715","139.726"
