"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"23","LMP3","Anthony Simone","1","2:28.178","2:28.178","Green","Track","0.000","20.943","13.764","25.694","8.712","6.676","6.473","14.271","7.951","6.619","5.531","0.501","3.210","163.310"
"10","LMP3","Stevan McAleer","1","2:32.820","2:32.820","Green","Track","0.000","22.583","15.203","26.199","8.755","6.790","6.975","15.341","8.427","6.772","5.876","0.558","3.548","146.628"
"51","LMP3","Garett Grist","1","2:40.965","2:40.965","Green","Track","0.000","21.026","15.099","27.064","8.807","6.688","7.719","21.538","8.232","6.647","5.535","0.505","3.226","162.016"
"64","LMP3","Alex Barron","1","2:51.948","2:51.948","Green","Track","0.000","21.640","14.339","28.469","9.273","7.595","7.812","15.199","8.113","6.943","6.029","0.603","3.882","135.685"
"25","LMP3","Aaron Povoledo","1","2:52.708","2:52.708","Green","Track","0.000","21.280","14.279","27.207","8.881","7.422","7.401","14.268","8.203","6.711","5.635","0.534","3.516","153.218"
"33","LMP3","Lance Willsey","1","2:57.840","2:57.840","Green","Track","0.000","23.116","14.996","28.094","9.548","7.429","7.583","14.821","8.225","6.991","6.093","0.569","3.764","143.793"
"40","LMP3","Keith Grant","1","2:58.447","2:58.447","Green","Track","0.000","22.442","16.468","28.979","9.715","7.715","8.043","15.630","9.403","7.702","6.531","0.627","4.078","130.492"
"11","LMP3","Maurice Smith","1","3:08.624","3:08.624","Green","Track","0.000","24.690","16.680","32.996","11.524","8.621","10.079","16.276","10.068","8.647","7.344","0.670","4.374","122.117"
"55","LMP3","Nikko Reger","1","3:11.601","3:11.601","Green","Track","0.000","26.531","15.574","29.764","8.622","6.924","6.709","14.757","8.374","6.977","5.734","0.518","3.368","157.950"
"74","LMP3","Benjamin Waddell","1","3:13.493","3:13.493","Green","Track","0.000","28.565","15.428","29.111","9.271","7.372","7.933","15.696","8.451","6.878","5.669","0.515","3.348","158.870"
"75","LMP3","James French","1","3:32.175","3:32.175","Green","Track","0.000","25.539","14.815","29.429","9.040","7.268","8.853","15.990","8.593","6.992","5.825","0.532","3.453","153.794"
"47","LMP3","Austin McCusker","1","3:43.296","3:43.296","Green","Pit","0.000","26.739","13.655","39.497","10.552","8.219","7.602","15.500","9.552","8.751","13.478","0.000","0.000","0.000"
"7","LMP3","Blake Mount","1","3:43.587","3:43.587","Green","Track","0.000","29.234","16.734","32.925","10.627","8.049","7.809","17.273","9.675","7.893","6.561","0.608","3.964","134.569"
"2","LMP3","Jon Brownson","1","3:54.527","3:54.527","Green","Track","0.000","27.316","16.229","34.235","11.128","9.034","8.547","17.776","9.819","8.702","7.686","0.722","4.806","113.322"
"19","LMP3","Bradley Baker","1","3:56.212","3:56.212","Green","Track","0.000","26.661","16.899","33.947","10.743","8.800","8.688","17.716","9.495","8.517","8.299","0.844","5.214","96.941"
"23","LMP3","Anthony Simone","2","2:06.897","4:35.075","Green","Track","14.317","16.517","11.783","24.604","8.509","6.610","6.510","14.155","8.034","6.622","5.529","0.502","3.205","162.984"
