"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"51","LMP3","Garett Grist","1","1:49.366","1:49.366","Green","Track","12.832","14.506","9.732","20.239","7.747","6.357","5.861","9.870","6.992","6.328","5.346","0.484","3.071","169.046"
"10","LMP3","Stevan McAleer","1","1:50.085","1:50.085","Green","Track","12.906","14.546","9.974","20.354","7.780","6.336","5.851","9.697","7.041","6.312","5.321","0.481","3.048","170.100"
"23","LMP3","Anthony Simone","1","1:50.414","1:50.414","Green","Track","12.847","15.242","9.687","20.440","7.742","6.304","5.779","9.818","7.046","6.271","5.276","0.474","3.012","172.612"
"25","LMP3","Aaron Povoledo","1","1:51.710","1:51.710","Green","Track","13.252","14.876","10.108","20.455","7.781","6.343","5.858","10.114","7.082","6.324","5.356","0.484","3.067","169.046"
"55","LMP3","Nikko Reger","1","1:52.687","1:52.687","Green","Track","13.264","14.829","9.998","20.714","7.793","6.405","5.944","10.082","7.143","6.419","5.461","0.494","3.142","165.624"
"64","LMP3","Alex Barron","1","1:53.087","1:53.087","Green","Track","13.857","14.915","10.247","20.642","7.765","6.323","5.959","10.282","7.061","6.299","5.304","0.480","3.040","170.455"
"75","LMP3","James French","1","1:54.450","1:54.450","Green","Track","13.903","15.499","10.443","20.869","7.795","6.394","5.912","10.031","7.071","6.339","5.368","0.484","3.082","169.046"
"33","LMP3","Lance Willsey","1","1:55.350","1:55.350","Green","Track","13.267","15.388","10.322","21.004","7.881","6.475","6.186","10.298","7.188","6.439","5.446","0.493","3.130","165.960"
"74","LMP3","Benjamin Waddell","1","1:55.402","1:55.402","Green","Track","14.249","15.386","10.336","21.154","7.847","6.432","5.945","10.291","7.110","6.372","5.363","0.484","3.099","169.046"
"40","LMP3","Keith Grant","1","1:55.596","1:55.596","Green","Track","13.968","15.751","10.422","21.000","7.857","6.394","5.920","10.144","7.072","6.342","5.339","0.481","3.052","170.100"
"47","LMP3","Rodrigo Pflucker Minaya","1","1:56.252","1:56.252","Green","Track","13.382","15.048","10.248","21.277","7.762","6.336","5.795","10.257","7.082","6.329","5.329","0.482","3.067","169.747"
"7","LMP3","Blake Mount","1","1:56.905","1:56.905","Green","Track","13.885","15.441","10.550","21.164","7.878","6.464","6.003","10.604","7.102","6.346","5.378","0.488","3.106","167.660"
