"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"7","LMP3","Blake Mount","1","2:50.693","2:50.693","Green","Track","437.805","11.984","30.278","17.389","29.096","10.118","19.438","0.574","11.828","1.558","2.889","147.688","110.865"
"19","LMP3","Bradley Baker","1","2:51.388","2:51.388","Green","Track","437.460","12.302","32.757","18.727","31.728","10.411","20.115","0.620","12.250","1.564","2.893","136.730","110.439"
"75","LMP3","Cameron Cassels","1","2:55.867","2:55.867","Green","Track","440.053","12.826","31.861","18.807","31.370","10.825","19.693","0.587","11.828","1.539","2.868","144.417","112.233"
"33","LMP3","Lance Willsey","1","2:58.032","2:58.032","Green","Track","435.781","13.579","31.380","18.103","30.344","10.657","19.795","0.563","12.043","1.577","2.916","150.573","109.529"
"10","LMP3","Joe Robillard","1","3:01.365","3:01.365","Green","Pit","455.315","12.980","33.588","18.897","31.335","10.567","19.590","0.618","13.406","3.612","10.809","137.173","47.820"
"25","LMP3","Ross Chouest","1","3:08.374","3:08.374","Green","Track","266.121","12.573","33.858","19.940","31.133","11.047","21.094","1.030","13.710","1.545","2.881","82.304","111.798"
"2","LMP3","Jon Brownson","1","3:18.278","3:18.278","Green","Pit","23.716","11.931","31.524","17.503","31.133","10.753","21.634","0.985","15.707","4.252","10.929","86.064","40.623"
"26","LMP3","James McGuire","1","3:22.356","3:22.356","Green","Track","518.738","10.630","28.832","17.598","32.459","13.111","19.539","0.566","10.674","1.483","2.813","149.775","116.472"
"4","LMP3","Neil Alberico","1","3:25.180","3:25.180","Green","Track","23.540","10.605","29.432","17.511","29.943","9.420","18.627","0.558","10.474","1.502","2.835","151.922","114.998"
"9","LMP3","Gerry Kraut","1","3:27.366","3:27.366","Green","Track","327.240","10.183","28.421","16.442","29.499","9.597","19.470","0.630","11.486","1.482","2.783","134.560","116.550"
"60","LMP3","Bruce Hamilton","1","3:42.463","3:42.463","Green","Pit","237.035","12.803","30.004","17.423","30.814","10.367","19.272","0.562","13.912","3.730","10.381","150.841","46.308"
"70","LMP3","Joel Janco","1","3:44.002","3:44.002","Green","Track","23.931","11.043","28.305","16.071","28.941","9.541","19.147","0.557","11.053","1.531","2.868","152.195","112.820"
"11","LMP3","Nico Rondet","1","4:04.726","4:04.726","Green","Track","163.703","12.376","32.021","17.680","29.845","9.941","19.080","0.564","11.682","1.516","2.856","150.306","113.936"
"12","LMP3","Tim Moser","1","4:06.137","4:06.137","Green","Pit","526.904","13.789","32.730","17.109","32.396","11.287","20.111","0.642","17.143","4.076","10.394","132.045","42.377"
"51","LMP3","Rob Hodes","2","2:03.734","4:24.403","Green","Track","5.923","5.535","24.921","15.443","27.453","8.987","19.268","0.553","11.361","1.487","2.803","153.296","116.158"
"23","LMP3","Anthony Simone","2","2:06.240","4:24.985","Green","Track","0.000","0.000","25.284","15.597","28.181","8.855","19.626","0.542","12.036","1.488","2.772","156.407","116.080"
"64","LMP3","Alex Barron","2","2:03.251","4:26.802","Green","Track","6.061","5.808","25.237","15.543","27.041","9.077","18.790","0.554","10.830","1.491","2.819","153.019","115.847"
"40","LMP3","Keith Grant","2","2:04.881","4:34.723","Green","Track","6.139","6.205","25.746","16.099","27.000","9.181","18.566","0.553","11.017","1.522","2.853","153.296","113.487"
"52","LMP3","Mike Guasch","2","2:07.303","4:36.912","Green","Track","6.214","6.009","26.037","16.458","27.944","9.412","18.986","0.556","11.225","1.563","2.899","152.469","110.510"
"86","LMP3","Paul LaHaye","2","2:09.493","4:39.347","Green","Track","6.569","6.605","26.685","16.038","28.662","9.516","19.109","0.555","11.269","1.578","2.908","152.744","109.460"
"55","LMP3","Timo Reger","1","4:39.454","4:39.454","Green","Track","23.152","10.996","27.136","16.238","27.769","9.174","18.533","0.542","10.868","1.486","2.777","156.407","116.236"
"43","LMP3","Stevan McAleer","2","2:10.079","4:45.798","Green","Track","0.000","0.000","26.921","0.000","0.000","9.546","19.551","0.568","0.000","0.000","2.767","149.248","0.000"
"7","LMP3","Blake Mount","2","2:04.233","4:54.926","Green","Track","6.136","5.996","26.144","15.780","26.865","9.174","18.670","0.551","10.645","1.480","2.792","153.852","116.708"
"19","LMP3","Bradley Baker","2","2:06.326","4:57.714","Green","Track","6.290","6.056","26.109","15.989","27.584","9.334","18.837","0.557","11.215","1.516","2.839","152.195","113.936"
