"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"26","LMP3","James McGuire","1","2:19.862","2:19.862","Green","Track","0.000","11.648","29.586","17.001","28.427","9.512","19.169","0.564","11.674","1.548","2.868","150.306","111.581"
"47","LMP3","Rodrigo Pflucker","1","2:21.166","2:21.166","Green","Track","0.000","12.086","28.961","16.487","28.084","9.467","18.874","0.544","11.383","1.482","2.756","155.832","116.550"
"23","LMP3","Anthony Simone","1","2:29.690","2:29.690","Green","Track","0.000","12.856","31.884","17.676","28.330","9.355","18.790","0.542","11.183","1.477","2.756","156.407","116.945"
"43","LMP3","Stevan McAleer","1","2:32.151","2:32.151","Green","Track","0.000","13.094","31.583","0.000","0.000","10.131","19.513","0.573","11.824","1.484","2.772","147.945","116.393"
"55","LMP3","Nikko Reger","1","2:35.026","2:35.026","Green","Track","0.000","12.418","32.114","18.873","30.145","10.089","18.951","0.542","10.822","1.490","2.764","156.407","115.924"
"70","LMP3","Joel Janco","1","2:40.748","2:40.748","Green","Track","0.000","12.061","32.251","18.852","31.215","10.507","19.974","0.576","12.224","1.549","2.853","147.175","111.509"
"51","LMP3","Rob Hodes","1","2:46.029","2:46.029","Green","Track","0.000","14.009","32.772","18.459","31.778","10.019","21.635","0.651","12.037","1.485","2.793","130.219","116.315"
"75","LMP3","Cameron Cassels","1","2:49.069","2:49.069","Green","Track","0.000","13.536","32.594","18.789","31.931","10.717","21.103","0.708","12.811","1.544","2.856","119.735","111.870"
"4","LMP3","Neil Alberico","1","2:53.709","2:53.709","Green","Track","0.000","16.675","34.539","19.190","32.732","9.785","19.137","0.564","10.586","1.485","2.796","150.306","116.315"
"40","LMP3","David Grant","1","2:57.066","2:57.066","Green","Track","415.970","13.996","30.807","19.350","33.555","10.111","19.690","0.579","11.651","1.525","2.842","146.412","113.264"
