"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"4","LMP3","Leo Lamelas","1","2:05.423","2:05.423","Green","Track","6.909","5.927","25.804","15.665","27.205","9.355","18.729","0.565","10.909","1.513","2.841","150.040","114.162"
"47","LMP3","Rodrigo Pflucker","1","2:05.633","2:05.633","Green","Track","6.809","6.129","25.502","15.664","27.247","9.276","18.578","0.545","11.102","1.481","2.762","155.546","116.629"
"43","LMP3","Stevan McAleer","1","2:05.974","2:05.974","Green","Track","0.000","0.000","25.902","0.000","0.000","9.033","18.652","0.542","0.000","0.000","2.784","156.407","0.000"
"40","LMP3","David Grant","1","2:07.567","2:07.567","Green","Track","7.033","6.613","25.989","15.901","27.472","9.174","18.818","0.560","10.910","1.522","2.847","151.380","113.487"
"64","LMP3","Naveen Rao","1","2:10.036","2:10.036","Green","Track","6.893","6.597","26.523","16.145","27.683","9.437","19.283","0.566","11.264","1.529","2.857","149.775","112.967"
"51","LMP3","Rob Hodes","1","2:10.430","2:10.430","Green","Track","6.897","6.849","26.752","16.490","27.482","9.246","18.800","0.559","11.485","1.531","2.848","151.651","112.820"
"11","LMP3","Maurice Smith","1","2:11.727","2:11.727","Green","Track","7.027","6.866","27.111","16.466","28.230","9.439","18.825","0.558","11.220","1.519","2.834","151.922","113.711"
"52","LMP3","Mike Guasch","1","2:13.119","2:13.119","Green","Track","7.191","7.066","27.087","16.401","28.290","9.565","19.460","0.566","11.216","1.562","2.890","149.775","110.581"
"23","LMP3","Anthony Simone","1","2:13.286","2:13.286","Green","Track","6.762","6.660","27.176","16.091","27.510","9.647","19.358","0.551","11.387","1.501","2.787","153.852","115.075"
"26","LMP3","James McGuire","1","2:14.011","2:14.011","Green","Track","7.493","7.252","27.953","16.458","28.383","9.388","19.184","0.564","11.620","1.545","2.868","150.306","111.798"
"19","LMP3","Bradley Baker","1","2:14.199","2:14.199","Green","Track","6.931","6.816","27.976","16.833","28.335","9.517","19.007","0.566","11.369","1.533","2.849","149.775","112.673"
"55","LMP3","Nikko Reger","1","2:17.391","2:17.391","Green","Track","6.799","6.797","27.950","16.967","30.851","9.533","18.735","0.547","10.862","1.483","2.768","154.978","116.472"
"75","LMP3","Cameron Cassels","1","2:18.800","2:18.800","Green","Track","7.285","7.367","28.618","16.960","31.085","9.976","19.118","0.566","11.418","1.531","2.854","149.775","112.820"
"33","LMP3","Lance Willsey","1","2:19.200","2:19.200","Green","Track","6.872","7.305","29.194","16.862","30.491","9.599","19.025","0.563","11.422","1.527","2.844","150.573","113.115"
"7","LMP3","Blake Mount","1","2:22.221","2:22.221","Green","Track","7.121","7.621","29.569","17.188","31.004","9.647","18.993","0.557","12.905","1.785","3.097","152.195","96.766"
"74","LMP3","Wyatt Schwab","1","2:22.355","2:22.355","Green","Track","7.436","8.101","29.398","18.621","29.496","9.681","19.144","0.551","12.066","1.654","2.966","153.852","104.430"
"86","LMP3","Paul LaHaye","1","2:23.978","2:23.978","Green","Track","7.362","7.951","29.689","18.553","31.300","9.401","19.234","0.567","12.259","1.649","2.986","149.511","104.747"
"10","LMP3","Joe Robillard","1","2:29.024","2:29.024","Green","Track","7.614","7.656","29.904","19.775","34.053","10.866","19.351","0.555","12.291","1.662","2.973","152.744","103.927"
"60","LMP3","Bruce Hamilton","1","2:30.316","2:30.316","Green","Track","7.378","7.564","30.173","18.639","33.763","11.444","19.389","0.561","12.396","1.650","2.977","151.110","104.683"
"70","LMP3","Joel Janco","1","2:30.389","2:30.389","Green","Track","7.367","7.549","29.369","17.071","31.406","9.578","19.139","0.557","20.946","1.948","3.266","152.195","88.669"
"25","LMP3","Ross Chouest","1","2:30.597","2:30.597","Green","Track","7.011","7.717","30.221","18.904","33.892","11.021","19.937","0.566","11.704","1.682","3.014","149.775","102.692"
