"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"55","DPi","Harry Tincknell","1","1:43.208","1:43.208","Green","Track","0.000","14.291","0.562","15.247","11.228","9.049","0.596","14.326","10.685","10.359","2.191","3.978","140.731","136.135"
"7","DPi","Ricky Taylor","1","1:47.367","1:47.367","Green","Track","0.000","14.538","0.552","15.050","10.989","9.049","0.552","14.133","11.751","9.849","2.153","3.972","143.281","146.986"
"31","DPi","Felipe Nasr","1","1:51.913","1:51.913","Green","Track","0.000","16.245","0.711","15.814","11.203","11.485","0.634","16.054","12.229","13.179","2.736","4.438","111.239","127.975"
"5","DPi","Filipe Albuquerque","1","1:52.414","1:52.414","Green","Track","0.000","16.389","0.628","16.554","11.764","11.074","0.894","15.476","13.568","10.048","2.170","4.011","125.941","90.757"
"10","DPi","Jordan Taylor","1","1:54.493","1:54.493","Green","Track","0.000","17.036","0.721","16.383","10.919","9.172","0.613","14.510","10.900","10.308","2.195","4.107","109.696","132.359"
"50","DPi","Will Owen","1","1:55.888","1:55.888","Green","Track","0.000","16.005","0.702","16.436","11.148","9.026","0.672","14.564","11.138","10.105","2.171","3.990","112.665","120.739"
"44","GTD","Andy Lally","1","2:03.277","2:03.277","Green","Track","320.487","15.802","0.673","16.526","12.261","10.131","0.592","14.279","11.031","11.214","2.467","4.521","117.520","137.055"
"84","DPi","Simon Trummer","1","2:15.056","2:15.056","Green","Track","9.600","14.849","0.642","15.007","11.676","9.194","0.565","14.319","11.294","10.222","2.188","4.024","123.195","143.604"
"63","GTD","Toni Vilander","1","2:18.430","2:18.430","Green","Track","0.000","20.490","1.128","18.030","12.652","10.589","0.738","15.823","11.951","11.848","2.516","5.147","70.116","109.941"
"73","GTD","Zacharie Robichon","1","2:18.504","2:18.504","Green","Track","0.000","17.106","0.761","16.508","11.942","10.214","0.602","15.266","10.919","11.189","2.483","4.889","103.930","134.778"
"14","GTD","Richard Heistand","1","2:19.227","2:19.227","Green","Track","385.928","17.324","0.610","16.062","11.675","10.223","0.594","14.360","10.853","10.644","2.425","4.484","129.657","136.593"
"48","GTD","Bryan Sellers","1","2:24.868","2:24.868","Green","Track","9.892","16.017","0.593","17.015","11.794","10.085","0.588","14.227","11.367","11.204","2.441","4.479","133.374","137.987"
"74","GTD","Gar Robinson V","1","2:27.253","2:27.253","Green","Track","9.550","16.802","0.628","16.156","12.644","10.201","0.592","14.911","11.255","11.001","2.486","4.540","125.941","137.055"
"54","DPi","Colin Braun","1","2:36.125","2:36.125","Green","Track","9.893","15.011","0.592","15.172","10.754","9.435","0.586","13.628","10.502","9.585","2.106","3.870","133.600","138.458"
"57","GTD","Katherine Legge","1","2:40.934","2:40.934","Green","Track","402.822","17.344","0.603","15.631","12.352","10.343","0.623","15.031","11.156","10.814","2.475","4.481","131.162","130.235"
