"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"73","GTD","Zacharie Robichon","1","1:51.690","1:51.690","Green","Track","572.164","15.613","0.759","16.442","11.391","10.112","0.740","15.085","10.835","10.866","2.459","4.543","104.204","109.644"
"12","GTD","Frank Montecalvo","1","1:55.030","1:55.030","Green","Track","570.375","16.610","0.698","15.651","11.844","11.906","0.746","14.851","10.908","10.865","2.427","4.468","113.311","108.762"
"44","GTD","John Potter","1","2:01.195","2:01.195","Green","Track","9.769","17.592","0.733","16.310","13.226","12.349","0.752","16.000","11.129","10.956","2.466","4.495","107.900","107.894"
"8","GTD","Parker Chase","1","2:09.510","2:09.510","Green","Track","9.486","18.049","0.852","17.070","12.894","12.118","1.020","16.738","11.682","12.744","2.644","4.845","92.830","79.545"
"63","GTD","Cooper MacNeil","1","2:21.107","2:21.107","Green","Track","10.142","19.211","0.841","17.675","11.967","11.253","0.648","15.774","11.823","11.724","2.541","4.670","94.044","125.210"
"96","GTD","Robby Foley","1","2:32.117","2:32.117","Green","Track","9.387","19.344","1.201","19.195","12.359","12.872","1.035","17.637","12.472","11.267","2.367","4.348","65.854","78.393"
"48","GTD","Ryan Hardwick","1","2:34.720","2:34.720","Green","Track","10.008","22.114","0.985","18.001","11.887","13.653","1.005","16.478","12.102","11.489","2.463","4.485","80.295","80.733"
"14","GTD","Richard Heistand","1","2:45.120","2:45.120","Green","Track","580.822","17.881","0.652","17.085","12.367","10.575","0.674","17.089","16.883","12.802","2.581","4.587","121.305","120.380"
"76","GTD","Matt Plumb","1","2:47.649","2:47.649","Green","Track","9.845","17.126","0.710","19.694","11.957","11.160","0.754","16.155","15.703","12.428","2.490","4.544","111.396","107.608"
"74","GTD","Gar Robinson V","1","2:53.727","2:53.727","Green","Track","9.526","16.213","0.789","16.604","12.122","10.203","0.592","14.524","11.422","11.898","2.496","4.542","100.242","137.055"
"57","GTD","Christina Nielsen","1","3:04.722","3:04.722","Green","Track","606.613","17.152","0.596","15.816","11.332","10.021","0.580","14.474","12.368","11.198","2.448","4.441","132.703","139.890"
"73","GTD","Zacharie Robichon","2","1:33.312","3:25.002","Green","Track","4.321","12.776","0.570","14.179","10.426","9.826","0.579","13.391","10.378","10.086","2.373","4.407","138.756","140.132"
