"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"6","DPi","Juan Pablo Montoya","1","1:53.802","1:53.802","Yellow","Track","3.413","11.701","0.507","13.689","10.068","11.373","1.028","19.587","14.607","15.251","4.026","8.551","155.998","78.926"
"55","DPi","Jonathan Bomarito","1","1:55.027","1:55.027","Yellow","Track","3.405","11.858","0.515","13.618","10.160","11.311","1.059","20.191","14.472","14.997","4.133","8.977","153.575","76.616"
"31","DPi","Pipo Derani","1","1:55.676","1:55.676","Yellow","Track","3.400","11.922","0.516","13.897","10.099","11.200","1.034","20.297","15.067","14.607","3.988","9.090","153.277","78.468"
"7","DPi","Helio Castroneves","1","1:56.228","1:56.228","Yellow","Track","3.596","12.283","0.514","13.886","10.791","11.345","0.969","20.191","15.284","14.032","3.801","9.140","153.873","83.732"
"5","DPi","Joao Barbosa","1","1:58.154","1:58.154","Yellow","Track","3.623","12.150","0.518","14.231","10.768","13.173","1.032","18.635","16.133","14.499","3.671","8.999","152.685","78.621"
"10","DPi","Renger Van Der Zande","1","1:59.603","1:59.603","Yellow","Track","3.599","12.303","0.513","14.435","10.732","14.002","1.241","20.335","14.157","14.166","3.826","9.483","154.173","65.380"
"84","DPi","Simon Trummer","1","2:00.422","2:00.422","Yellow","Track","3.759","12.285","0.517","14.396","10.696","14.053","1.267","20.475","14.187","14.247","3.788","9.588","152.980","64.038"
"77","DPi","Tristan Nunez","1","2:00.996","2:00.996","Yellow","Track","3.660","12.330","0.516","14.868","10.753","14.305","1.308","20.493","14.273","14.303","3.777","9.516","153.277","62.031"
"50","DPi","Victor Franzoni","1","2:02.005","2:02.005","Yellow","Track","3.583","12.489","0.523","14.412","10.820","14.538","1.300","20.836","14.168","14.529","3.783","9.447","151.225","62.413"
"85","DPi","Misha Goikhberg","1","2:03.048","2:03.048","Yellow","Track","3.899","12.571","0.527","14.644","10.789","14.709","1.328","20.877","14.324","14.234","3.875","9.824","150.078","61.097"
"54","DPi","Jonathan Bennett","1","2:04.900","2:04.900","Yellow","Track","3.839","12.373","0.509","14.817","10.822","15.091","1.244","21.222","14.186","14.915","3.790","10.092","155.385","65.222"
"73","GTD","Zacharie Robichon","1","2:05.873","2:05.873","Yellow","Track","3.858","13.081","0.573","14.217","11.172","15.504","1.254","21.361","14.645","14.276","3.831","9.714","138.030","64.702"
"57","GTD","Christina Nielsen","1","2:06.546","2:06.546","Yellow","Track","3.933","13.211","0.567","14.162","11.128","15.818","1.242","21.551","14.440","14.102","4.140","9.620","139.490","65.327"
"86","GTD","Trent Hindman","1","2:07.365","2:07.365","Yellow","Track","3.923","13.265","0.572","14.469","11.069","15.889","1.288","21.702","14.585","14.040","4.170","9.473","138.271","62.994"
"14","GTD","Richard Heistand","1","2:08.552","2:08.552","Yellow","Track","3.766","13.381","0.575","14.969","11.173","15.898","1.304","21.737","14.692","14.563","3.860","9.290","137.549","62.221"
"12","GTD","Frank Montecalvo","1","2:09.462","2:09.462","Yellow","Track","3.896","13.541","0.578","15.004","11.699","16.899","1.372","20.926","14.537","14.729","3.989","8.979","136.835","59.137"
"76","GTD","Matt Plumb","1","2:10.904","2:10.904","Yellow","Track","4.310","13.490","0.580","14.777","11.524","17.276","1.426","21.364","14.439","14.337","4.187","8.869","136.364","56.898"
"44","GTD","John Potter","1","2:11.593","2:11.593","Yellow","Track","4.348","14.587","0.586","14.668","11.408","17.232","1.480","21.319","15.027","14.109","4.486","8.324","134.967","54.822"
"8","GTD","Parker Chase","1","2:13.276","2:13.276","Yellow","Track","4.465","14.215","0.603","15.094","11.470","17.543","1.640","20.983","14.857","14.206","4.697","8.895","131.162","49.473"
"74","GTD","Gar Robinson V","1","2:14.169","2:14.169","Yellow","Track","4.462","14.065","0.576","15.287","11.658","17.847","1.597","21.065","14.623","14.491","4.944","8.725","137.311","50.805"
"96","GTD","Robby Foley","1","2:15.122","2:15.122","Yellow","Track","4.855","13.864","0.571","15.243","12.241","17.763","1.705","21.208","14.801","14.229","4.966","8.824","138.513","47.587"
"48","GTD","Ryan Hardwick","1","3:29.623","3:29.623","Yellow","Pit","4.265","26.026","0.735","17.620","13.106","12.421","0.846","18.798","14.372","14.360","7.403","76.061","107.607","95.906"
"6","DPi","Juan Pablo Montoya","2","2:29.328","4:23.130","Yellow","Track","6.860","23.431","1.096","20.491","14.206","18.349","1.272","20.404","14.373","14.843","4.092","9.911","72.163","63.786"
"55","DPi","Jonathan Bomarito","2","2:30.014","4:25.041","Yellow","Track","7.177","23.932","1.122","19.928","13.658","18.736","1.315","20.269","14.876","14.597","4.502","9.902","70.491","61.701"
