"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"912","GTLM","Earl Bamber","1","2:03.505","2:03.505","Green","Pit","0.000","0.000","0.000","0.000","16.013","9.752","8.852","5.328","14.219","21.266","4.582","15.168","0.000"
"911","GTLM","Patrick Pilet","1","2:06.449","2:06.449","Green","Pit","0.000","0.000","0.000","0.000","16.030","10.032","8.689","5.349","15.628","23.591","4.407","15.162","0.000"
"7","DPi","Ricky Taylor","1","2:07.387","2:07.387","Green","Pit","0.000","0.000","0.000","0.000","16.047","9.845","8.758","5.612","14.989","22.583","4.482","15.133","0.000"
"10","DPi","Renger Van Der Zande","1","2:08.952","2:08.952","Green","Pit","0.000","0.000","0.000","0.000","15.687","10.737","8.995","7.121","16.317","24.381","4.495","14.980","0.000"
"85","DPi","Misha Goikhberg","1","2:26.811","2:26.811","Green","Track","0.000","0.000","0.000","0.000","16.523","9.713","9.452","5.101","13.497","21.822","1.794","5.216","0.000"
"25","GTLM","Tom Blomqvist","1","2:30.818","2:30.818","Green","Pit","0.000","0.000","0.000","0.000","15.979","10.371","7.826","5.663","14.800","23.255","5.064","15.186","0.000"
"24","GTLM","Jesse Krohn","1","2:31.495","2:31.495","Green","Pit","0.000","0.000","0.000","0.000","15.730","10.402","8.263","5.814","15.750","21.822","4.448","15.152","0.000"
"66","GTLM","Dirk Mueller","1","2:34.953","2:34.953","Green","Pit","0.000","0.000","0.000","0.000","16.483","11.082","7.654","5.568","14.890","23.215","4.469","15.146","0.000"
"84","DPi","Simon Trummer","1","2:38.216","2:38.216","Green","Pit","0.000","0.000","0.000","0.000","16.652","9.970","8.960","5.063","13.680","21.765","3.942","15.100","0.000"
"6","DPi","Juan Pablo Montoya","1","2:40.891","2:40.891","Green","Pit","0.000","0.000","0.000","0.000","16.246","9.961","9.354","4.941","14.352","21.988","4.057","15.126","0.000"
"3","GTLM","Jan Magnussen","1","2:46.599","2:46.599","Green","Pit","0.000","0.000","0.000","0.000","16.843","11.581","9.818","6.063","16.992","23.488","4.968","15.128","0.000"
