"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"4","GTLM","Oliver Gavin","1","2:28.787","2:28.787","Green","Track","0.000","0.000","0.000","0.000","12.702","8.853","6.627","4.776","12.663","18.587","1.760","5.418","0.000"
"3","GTLM","Antonio Garcia","1","2:36.457","2:36.457","Green","Track","0.000","0.000","0.000","0.000","13.693","8.752","6.492","4.904","12.748","17.329","1.736","5.414","0.000"
"66","GTLM","Sebastien Bourdais","1","2:47.594","2:47.594","Green","Pit","0.000","0.000","0.000","0.000","13.677","10.686","7.757","5.274","15.660","19.984","4.238","15.276","0.000"
"911","GTLM","Nick Tandy","1","2:49.632","2:49.632","Green","Track","0.000","0.000","0.000","0.000","12.829","8.532","6.239","4.531","12.250","17.163","1.698","5.398","0.000"
"912","GTLM","Laurens Vanthoor","1","3:05.409","3:05.409","Green","Track","0.000","0.000","0.000","0.000","13.162","8.657","6.352","4.556","12.615","17.439","1.719","5.412","0.000"
"4","GTLM","Oliver Gavin","2","1:20.337","3:49.124","Green","Track","0.630","7.041","3.196","4.465","11.393","8.125","5.877","4.379","12.094","16.135","1.675","5.327","130.952"
"3","GTLM","Antonio Garcia","2","1:20.428","3:56.885","Green","Track","0.631","7.061","3.212","4.424","11.360","8.160","5.885","4.426","11.872","16.377","1.679","5.341","130.745"
"911","GTLM","Nick Tandy","2","1:19.994","4:09.626","Green","Track","0.636","7.069","3.046","4.307","11.489","8.065","5.768","4.370","11.762","16.444","1.675","5.363","129.717"
"912","GTLM","Laurens Vanthoor","2","1:20.045","4:25.454","Green","Track","0.634","7.063","3.042","4.299","11.642","8.048","5.950","4.277","11.826","16.250","1.662","5.352","130.126"
"24","GTLM","John Edwards","1","4:34.703","4:34.703","Green","Track","0.000","0.000","0.000","0.000","13.948","8.757","6.406","4.710","12.436","17.257","1.737","5.419","0.000"
"25","GTLM","Tom Blomqvist","1","4:47.733","4:47.733","Green","Track","0.000","0.000","0.000","0.000","12.832","8.557","6.118","4.773","12.490","17.028","1.724","5.425","0.000"
"4","GTLM","Oliver Gavin","3","1:17.514","5:06.638","Green","Track","0.623","6.966","2.947","4.180","10.922","7.681","5.622","4.263","11.600","15.726","1.672","5.312","132.424"
"3","GTLM","Antonio Garcia","3","1:17.398","5:14.283","Green","Track","0.623","6.977","2.895","4.089","10.837","7.711","5.568","4.391","11.550","15.734","1.692","5.331","132.424"
"911","GTLM","Nick Tandy","3","1:18.180","5:27.806","Green","Track","0.629","6.997","2.933","4.093","10.933","7.792","5.759","4.308","11.667","16.052","1.670","5.347","131.161"
"67","GTLM","Ryan Briscoe","1","5:29.504","5:29.504","Green","Track","0.000","0.000","0.000","0.000","12.422","8.414","6.207","4.612","14.698","17.401","1.734","5.465","0.000"
"912","GTLM","Laurens Vanthoor","3","1:17.909","5:43.363","Green","Track","0.630","7.007","3.009","4.240","10.992","7.762","5.681","4.246","11.596","15.749","1.653","5.344","130.952"
"24","GTLM","John Edwards","2","1:19.310","5:54.013","Green","Track","0.629","7.022","3.062","4.299","11.362","7.784","5.788","4.364","11.745","16.144","1.715","5.396","131.161"
"25","GTLM","Tom Blomqvist","2","1:19.135","6:06.868","Green","Track","0.633","7.019","2.967","4.221","11.263","7.757","5.711","4.419","11.825","16.226","1.696","5.398","130.332"
"4","GTLM","Oliver Gavin","4","1:17.304","6:23.942","Green","Track","0.622","6.949","2.955","4.155","10.882","7.670","5.579","4.252","11.576","15.690","1.662","5.312","132.637"
"3","GTLM","Antonio Garcia","4","1:16.785","6:31.068","Green","Track","0.621","6.975","2.839","4.037","10.760","7.666","5.540","4.289","11.538","15.505","1.688","5.327","132.850"
"911","GTLM","Nick Tandy","4","1:16.862","6:44.668","Green","Track","0.627","6.990","2.907","4.021","10.686","7.642","5.539","4.267","11.505","15.674","1.670","5.334","131.579"
"67","GTLM","Ryan Briscoe","2","1:19.696","6:49.200","Green","Track","0.636","7.105","3.172","4.317","11.428","7.879","5.827","4.309","11.891","16.074","1.673","5.385","129.717"
"66","GTLM","Sebastien Bourdais","2","4:08.376","6:55.970","Green","Track","0.000","0.000","0.000","0.000","17.664","8.814","6.830","4.600","12.228","17.125","1.713","5.432","0.000"
"912","GTLM","Laurens Vanthoor","4","1:16.945","7:00.308","Green","Track","0.628","6.993","2.878","3.956","10.772","7.675","5.573","4.234","11.516","15.712","1.668","5.340","131.369"
"24","GTLM","John Edwards","3","1:17.520","7:11.533","Green","Track","0.627","6.978","2.889","4.009","10.960","7.694","5.606","4.295","11.589","15.764","1.714","5.395","131.579"
"25","GTLM","Tom Blomqvist","3","1:17.638","7:24.506","Green","Track","0.631","6.993","2.996","4.114","10.902","7.726","5.619","4.312","11.472","15.762","1.701","5.410","130.745"
"4","GTLM","Oliver Gavin","5","1:16.698","7:40.640","Green","Track","0.621","6.945","2.905","4.025","10.731","7.700","5.586","4.213","11.448","15.540","1.675","5.309","132.850"
"3","GTLM","Antonio Garcia","5","1:16.861","7:47.929","Green","Track","0.622","6.965","2.882","4.061","10.763","7.662","5.528","4.274","11.531","15.531","1.703","5.339","132.637"
"911","GTLM","Nick Tandy","5","1:16.764","8:01.432","Green","Track","0.626","6.959","2.774","4.130","10.719","7.567","5.511","4.320","11.514","15.564","1.708","5.372","131.789"
"67","GTLM","Ryan Briscoe","3","1:17.953","8:07.153","Green","Track","0.630","7.034","2.893","4.112","10.993","7.901","5.622","4.272","11.768","15.714","1.652","5.362","130.952"
"66","GTLM","Sebastien Bourdais","3","1:20.512","8:16.482","Green","Track","0.634","7.072","3.191","4.274","11.449","8.160","5.874","4.373","11.960","16.394","1.705","5.426","130.126"
"912","GTLM","Laurens Vanthoor","5","1:17.149","8:17.457","Green","Track","0.628","6.965","2.856","3.965","10.690","7.622","5.567","4.359","11.733","15.726","1.683","5.355","131.369"
"24","GTLM","John Edwards","4","1:18.744","8:30.277","Green","Track","0.628","6.980","2.790","4.678","11.271","7.775","5.754","4.299","11.630","15.861","1.695","5.383","131.369"
"25","GTLM","Tom Blomqvist","4","1:17.162","8:41.668","Green","Track","0.631","6.996","2.873","4.050","10.805","7.615","5.538","4.295","11.583","15.647","1.709","5.420","130.745"
"4","GTLM","Oliver Gavin","6","1:16.566","8:57.206","Green","Track","0.620","6.956","2.885","4.002","10.696","7.554","5.532","4.374","11.482","15.534","1.643","5.288","133.065"
"3","GTLM","Antonio Garcia","6","1:16.685","9:04.614","Green","Track","0.621","6.976","2.833","3.989","10.755","7.629","5.486","4.292","11.469","15.580","1.709","5.346","132.850"
"911","GTLM","Nick Tandy","6","1:16.403","9:17.835","Green","Track","0.628","6.985","2.835","3.989","10.572","7.597","5.487","4.289","11.524","15.480","1.676","5.341","131.369"
"67","GTLM","Ryan Briscoe","4","1:17.165","9:24.318","Green","Track","0.628","7.026","2.854","3.974","10.816","7.695","5.549","4.464","11.622","15.489","1.668","5.380","131.369"
"66","GTLM","Sebastien Bourdais","4","1:17.624","9:34.106","Green","Track","0.633","7.082","2.972","4.109","10.925","7.715","5.546","4.309","11.595","15.644","1.696","5.398","130.332"
"912","GTLM","Laurens Vanthoor","6","1:24.426","9:41.883","Green","Track","0.627","7.113","3.537","5.096","13.344","8.692","6.237","4.571","12.314","15.915","1.651","5.329","131.579"
"24","GTLM","John Edwards","5","1:17.236","9:47.513","Green","Track","0.628","6.990","2.908","4.064","10.775","7.636","5.597","4.270","11.531","15.729","1.713","5.395","131.369"
