"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"7","DPi","Helio Castroneves","1","1:16.775","1:16.775","Green","Track","0.639","6.812","2.994","4.519","11.071","7.615","5.545","4.029","11.141","15.877","1.611","4.921","129.108"
"31","DPi","Felipe Nasr","1","1:16.968","1:16.968","Green","Track","0.646","6.836","2.986","4.616","11.099","7.635","5.619","4.001","11.010","15.884","1.554","4.909","127.709"
"77","DPi","Tristan Nunez","1","1:17.913","1:17.913","Green","Track","0.632","6.675","3.044","5.357","11.250","7.534","5.666","3.983","10.994","15.793","1.611","4.887","130.538"
"6","DPi","Juan Pablo Montoya","1","1:19.496","1:19.496","Green","Track","0.640","6.846","3.044","5.560","12.127","7.774","5.523","4.058","11.072","16.027","1.626","4.939","128.906"
"10","DPi","Jordan Taylor","1","1:19.818","1:19.818","Green","Track","0.640","6.764","3.372","5.093","12.386","7.625","5.725","4.055","11.128","15.749","1.577","4.941","128.906"
"55","DPi","Jonathan Bomarito","1","1:20.547","1:20.547","Green","Track","0.601","6.660","3.303","4.837","12.373","7.743","5.729","4.042","11.097","16.119","1.625","4.889","137.271"
"84","DPi","Simon Trummer","1","1:20.998","1:20.998","Green","Track","0.640","6.812","3.371","4.947","13.335","7.688","5.697","4.016","11.257","15.889","1.546","4.939","128.906"
"5","DPi","Joao Barbosa","1","1:22.066","1:22.066","Green","Track","0.650","6.841","3.313","5.007","13.900","7.940","5.897","4.149","11.284","15.966","1.570","4.957","126.923"
"85","DPi","Misha Goikhberg","1","1:22.676","1:22.676","Green","Track","0.643","6.836","3.253","5.270","13.529","7.856","6.137","4.170","11.174","16.102","1.581","4.973","128.305"
"50","DPi","Kyle Kaiser","1","1:23.852","1:23.852","Green","Track","0.643","6.971","3.485","5.266","13.913","7.891","6.018","4.168","11.301","16.161","1.627","5.009","128.305"
"911","GTLM","Nick Tandy","1","1:26.631","1:26.631","Green","Track","0.661","7.087","3.144","5.226","13.855","8.226","6.073","4.396","12.007","16.687","1.725","5.419","124.811"
"912","GTLM","Laurens Vanthoor","1","1:26.997","1:26.997","Green","Track","0.665","7.131","3.190","5.324","13.820","8.162","6.178","4.315","12.023","16.880","1.689","5.398","124.060"
"4","GTLM","Oliver Gavin","1","1:27.456","1:27.456","Green","Track","0.656","7.118","3.313","5.304","14.378","8.109","6.060","4.390","11.993","16.670","1.699","5.371","125.762"
"66","GTLM","Sebastien Bourdais","1","1:28.249","1:28.249","Green","Track","0.649","7.097","3.401","5.435","14.563","8.243","6.027","4.430","12.031","16.621","1.725","5.481","127.119"
"3","GTLM","Antonio Garcia","1","1:28.828","1:28.828","Green","Track","0.628","6.984","3.373","5.567","14.732","8.216","6.169","4.374","12.145","16.756","1.688","5.363","131.369"
"25","GTLM","Tom Blomqvist","1","1:29.631","1:29.631","Green","Track","0.633","7.037","3.272","4.597","14.927","8.069","6.207","4.420","12.137","16.962","1.725","5.435","130.332"
"24","GTLM","John Edwards","1","1:30.075","1:30.075","Green","Track","0.627","6.921","3.291","4.491","15.227","8.160","6.345","4.452","11.940","16.923","1.701","5.393","131.579"
"67","GTLM","Ryan Briscoe","1","1:30.995","1:30.995","Green","Track","0.635","7.028","3.416","4.909","15.541","8.462","6.389","4.696","12.402","16.930","1.753","5.498","129.921"
"7","DPi","Helio Castroneves","2","1:20.456","2:37.231","Yellow","Track","0.572","6.441","2.804","4.222","10.859","7.513","5.999","4.043","11.354","16.478","2.188","7.983","144.231"
"31","DPi","Felipe Nasr","2","1:21.219","2:38.187","Yellow","Track","0.576","6.442","2.824","4.300","10.974","7.493","5.873","3.945","11.317","17.109","2.239","8.127","143.229"
"77","DPi","Tristan Nunez","2","1:20.848","2:38.761","Yellow","Track","0.569","6.410","2.918","4.224","10.978","7.606","6.219","3.963","11.031","16.738","2.320","7.872","144.991"
