"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"7","DPi","Ricky Taylor","1","1:56.781","1:56.781","Green","Track","884.670","11.728","6.165","11.623","8.203","2.433","0.765","10.597","20.737","20.179","8.114","6.526","106.952"
"85","DPi","Tristan Vautier","1","2:03.069","2:03.069","Green","Track","545.662","12.240","6.695","11.732","8.937","2.422","0.715","10.673","21.768","21.547","8.016","6.104","114.431"
"77","DPi","Oliver Jarvis","1","2:08.102","2:08.102","Green","Track","522.192","13.569","6.751","12.462","8.319","2.425","0.745","11.129","21.929","20.863","7.919","6.008","109.823"
"19","GTD","Will Hardeman","1","2:11.501","2:11.501","Green","Track","468.357","13.711","6.414","12.611","8.757","2.430","0.663","10.792","22.584","21.537","8.102","6.310","123.406"
"912","GTLM","Earl Bamber","1","2:11.876","2:11.876","Green","Track","874.092","10.328","5.622","10.919","8.501","2.524","0.690","10.952","21.630","20.547","7.678","6.103","118.577"
"63","GTD","Toni Vilander","1","2:13.691","2:13.691","Green","Track","451.191","12.700","6.663","12.065","9.434","2.738","0.735","11.017","21.783","22.100","8.027","6.333","111.317"
"96","GTD","Bill Auberlen","1","2:14.560","2:14.560","Green","Track","315.382","12.329","6.755","11.853","9.404","2.681","0.742","11.305","22.011","21.718","8.052","6.626","110.267"
"911","GTLM","Patrick Pilet","1","2:16.727","2:16.727","Green","Track","843.838","10.907","6.228","11.755","8.766","2.688","0.792","11.204","21.392","21.381","8.289","6.215","103.306"
"12","GTD","Townsend Bell","1","2:17.381","2:17.381","Green","Track","500.141","10.703","6.304","11.824","8.855","2.903","0.793","10.932","21.276","20.981","8.012","6.260","103.176"
"4","GTLM","Oliver Gavin","1","2:18.621","2:18.621","Green","Track","901.768","11.485","6.257","11.768","8.364","2.401","0.741","10.267","20.548","21.508","7.766","6.167","110.416"
"86","GTD","Trent Hindman","1","2:23.860","2:23.860","Green","Track","916.311","11.615","6.671","11.711","8.930","2.611","0.796","11.055","21.125","20.959","7.928","6.102","102.787"
"6","DPi","Dane Cameron","1","2:25.993","2:25.993","Green","Track","919.852","11.637","6.906","11.755","8.743","2.714","0.755","10.923","21.504","21.045","7.766","5.893","108.368"
"25","GTLM","Tom Blomqvist","1","2:28.177","2:28.177","Green","Track","15.548","11.158","7.169","12.132","9.016","2.679","0.807","11.088","20.762","22.168","7.991","5.831","101.386"
"24","GTLM","Jesse Krohn","1","2:29.203","2:29.203","Green","Track","14.925","11.095","6.877","12.002","9.369","2.797","0.834","10.793","21.163","22.065","7.917","5.944","98.103"
"3","GTLM","Antonio Garcia","1","2:29.667","2:29.667","Green","Pit","907.631","11.970","6.563","12.576","9.666","2.826","0.840","11.531","21.664","22.091","9.383","10.785","97.403"
"57","GTD","Katherine Legge","1","2:30.682","2:30.682","Green","Track","883.334","12.053","6.747","11.872","9.687","2.783","0.743","10.872","22.203","23.965","8.079","6.603","110.119"
"9","GTD","Zacharie Robichon","1","2:31.014","2:31.014","Green","Track","14.159","12.333","7.163","11.789","9.155","2.621","0.774","10.489","20.676","21.287","7.550","6.286","105.708"
"14","GTD","Richard Heistand","1","2:35.663","2:35.663","Green","Track","893.727","11.691","6.566","12.124","8.962","2.465","0.744","11.269","23.543","27.341","9.951","7.483","109.971"
"74","GTD","Lawson Aschenbach","1","2:39.011","2:39.011","Green","Track","15.664","14.242","7.514","12.235","9.405","2.648","0.761","10.723","21.332","21.676","8.004","6.311","107.514"
"73","GTD","Marco Seefried","1","2:42.440","2:42.440","Green","Track","14.289","12.554","6.614","12.843","10.073","2.998","0.889","11.696","24.539","25.435","8.806","6.863","92.034"
"54","DPi","Jonathan Bennett","1","2:50.194","2:50.194","Green","Track","933.285","11.629","6.089","11.882","8.872","3.013","0.869","11.794","24.390","22.490","8.167","7.063","94.152"
"67","GTLM","Richard Westbrook","1","3:06.995","3:06.995","Green","Pit","713.109","15.022","7.198","13.243","9.882","2.985","0.887","11.985","22.515","23.966","10.637","11.138","92.241"
"38","LMP2","Kyle Masson","1","3:12.629","3:12.629","Green","Pit","16.063","16.541","7.744","12.774","10.619","2.937","1.029","12.659","22.571","24.391","10.283","11.356","79.512"
"66","GTLM","Sebastien Bourdais","1","3:13.390","3:13.390","Green","Track","621.405","16.142","10.229","12.854","8.447","2.659","0.871","11.602","22.718","22.364","8.406","6.693","93.936"
"7","DPi","Ricky Taylor","2","1:45.102","3:41.883","Green","Track","5.359","9.355","5.388","10.811","7.903","1.940","0.617","9.623","20.234","19.694","7.783","6.395","132.606"
"85","DPi","Tristan Vautier","2","1:44.278","3:47.347","Green","Track","5.439","9.688","5.434","11.087","7.979","2.067","0.614","9.755","20.097","18.896","7.498","5.724","133.254"
"77","DPi","Oliver Jarvis","2","1:44.419","3:52.521","Green","Track","5.393","9.587","5.976","11.096","7.370","1.940","0.623","10.111","19.689","19.493","7.537","5.604","131.329"
"912","GTLM","Earl Bamber","2","1:47.608","3:59.484","Green","Track","5.401","9.865","5.874","11.996","8.256","2.367","0.693","10.681","19.749","19.362","7.450","5.914","118.064"
"76","GTD","Paul Holton","1","4:04.131","4:04.131","Green","Track","14.605","13.608","6.453","11.752","8.706","2.473","0.681","11.726","20.943","21.185","7.875","6.567","120.144"
"96","GTD","Bill Auberlen","2","1:51.651","4:06.211","Green","Track","5.466","10.002","5.823","11.672","8.837","2.403","0.693","10.053","21.163","21.358","7.751","6.430","118.064"
