"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"86","GTD","Trent Hindman","1","1:54.243","1:54.243","Green","Track","0.000","12.404","6.082","10.607","8.476","2.120","0.586","8.912","19.023","17.398","6.615","5.207","139.621"
"57","GTD","Christina Nielsen","1","1:57.684","1:57.684","Green","Track","0.000","12.027","6.004","10.972","8.513","2.150","0.594","9.424","19.554","18.404","6.901","5.337","137.741"
"33","GTD","Ben Keating","1","2:17.450","2:17.450","Green","Track","0.000","14.441","7.429","14.205","10.472","2.537","0.754","11.887","23.707","22.137","7.917","6.689","108.512"
"63","GTD","Cooper MacNeil","1","2:17.533","2:17.533","Green","Track","13.996","13.380","6.804","12.407","9.286","2.654","0.791","11.408","22.413","21.493","7.834","6.457","103.436"
"9","GTD","Zacharie Robichon","1","2:17.683","2:17.683","Green","Track","14.486","13.348","8.050","12.586","11.194","2.844","0.861","10.573","20.825","19.615","7.880","6.107","95.027"
"44","GTD","John Potter","1","2:19.861","2:19.861","Green","Track","0.000","13.077","8.468","12.914","10.043","2.509","0.743","12.374","22.409","21.179","7.873","6.200","110.119"
"8","GTD","Parker Chase","1","2:33.011","2:33.011","Green","Track","16.826","13.688","8.525","13.271","13.932","3.985","1.013","12.352","22.357","22.937","7.642","6.022","80.768"
"14","GTD","Richard Heistand","1","2:33.463","2:33.463","Green","Track","311.537","15.416","6.500","12.466","10.248","2.793","0.917","11.490","21.752","20.722","7.222","5.688","89.224"
"96","GTD","Robby Foley","1","2:45.525","2:45.525","Green","Track","15.525","13.199","8.569","12.467","10.793","3.172","0.800","11.417","21.142","21.756","7.170","5.555","102.273"
"19","GTD","Will Hardeman","1","2:50.560","2:50.560","Green","Track","14.124","13.106","7.358","12.577","10.413","3.204","0.918","11.763","22.905","21.662","7.915","5.651","89.127"
"48","GTD","Ryan Hardwick","1","3:00.448","3:00.448","Green","Track","14.102","13.076","6.987","12.992","8.685","2.131","0.659","10.950","23.830","20.100","7.526","5.894","124.155"
"76","GTD","Matt Plumb","1","3:18.815","3:18.815","Green","Track","14.324","13.661","6.331","12.706","9.552","2.449","0.735","10.573","20.933","19.707","7.565","5.746","111.317"
"86","GTD","Trent Hindman","2","1:34.001","3:28.244","Green","Track","4.591","8.131","4.677","9.655","8.328","2.063","0.553","8.443","18.589","17.123","6.642","5.206","147.953"
"57","GTD","Christina Nielsen","2","1:38.480","3:36.164","Green","Track","4.672","8.608","4.841","10.295","8.137","2.048","0.553","9.006","19.446","18.432","7.154","5.288","147.953"
"74","GTD","Gar Robinson V","1","3:37.289","3:37.289","Green","Track","14.007","12.489","6.003","12.831","8.655","2.134","0.622","9.967","20.820","18.780","7.118","5.367","131.540"
"9","GTD","Zacharie Robichon","2","1:37.069","3:54.752","Green","Track","5.266","9.372","5.133","10.306","8.245","2.086","0.562","8.834","18.495","17.210","6.556","5.004","145.584"
"63","GTD","Cooper MacNeil","2","1:44.351","4:01.884","Green","Track","5.429","10.040","5.309","10.866","8.379","2.067","0.591","9.841","19.825","19.526","7.062","5.416","138.440"
"44","GTD","John Potter","2","1:45.538","4:05.399","Green","Track","5.360","9.602","5.692","11.822","8.846","2.156","0.593","10.132","19.688","19.087","7.262","5.298","137.973"
"14","GTD","Richard Heistand","2","1:44.093","4:17.556","Green","Track","5.344","9.292","4.780","10.744","9.336","2.442","0.666","10.116","20.500","18.825","6.969","5.079","122.850"
"73","GTD","Marco Seefried","1","4:23.420","4:23.420","Green","Track","14.179","12.397","6.582","11.821","8.890","2.251","0.740","10.854","19.381","19.128","7.238","5.244","110.565"
"8","GTD","Parker Chase","2","1:51.320","4:24.331","Green","Track","6.198","10.414","5.916","11.387","9.401","2.839","0.868","11.072","20.307","20.018","7.341","5.559","94.261"
"96","GTD","Robby Foley","2","1:46.541","4:32.066","Green","Track","4.852","8.498","4.914","10.302","8.336","2.036","0.546","8.785","18.585","26.782","7.739","5.166","149.850"
"12","GTD","Frank Montecalvo","1","4:35.191","4:35.191","Green","Track","399.828","13.874","6.887","12.725","9.656","2.641","0.695","9.768","20.780","18.788","7.300","5.444","117.724"
"19","GTD","Will Hardeman","2","1:46.947","4:37.507","Green","Track","5.934","9.595","5.987","10.895","8.959","2.502","0.669","10.888","20.317","19.039","6.899","5.263","122.299"
"48","GTD","Ryan Hardwick","2","1:43.561","4:44.009","Green","Track","5.106","9.265","4.948","11.860","8.676","2.089","0.558","9.412","20.260","18.840","7.021","5.526","146.628"
"33","GTD","Ben Keating","2","2:32.669","4:50.119","Green","Track","6.249","10.293","5.420","50.624","11.277","2.394","0.693","10.520","21.743","19.897","7.696","5.863","118.064"
"76","GTD","Matt Plumb","2","1:37.769","4:56.584","Green","Track","5.010","8.826","5.231","10.515","8.372","2.108","0.565","9.150","18.634","17.765","6.614","4.979","144.811"
"86","GTD","Trent Hindman","3","1:32.689","5:00.933","Green","Track","4.482","8.082","4.659","9.433","7.951","2.033","0.545","8.354","18.387","17.004","6.602","5.157","150.125"
"57","GTD","Christina Nielsen","3","1:36.195","5:12.359","Green","Track","4.775","8.424","4.709","10.152","8.073","2.046","0.550","8.903","18.442","18.041","7.000","5.080","148.760"
"74","GTD","Gar Robinson V","2","1:38.161","5:15.450","Green","Track","4.985","8.956","4.990","11.088","8.368","2.088","0.559","9.028","18.704","17.849","6.460","5.086","146.365"
"9","GTD","Zacharie Robichon","3","1:30.748","5:25.500","Green","Track","4.630","8.192","4.616","9.526","8.108","2.057","0.555","8.159","17.539","16.471","6.232","4.663","147.420"
"63","GTD","Cooper MacNeil","3","1:37.459","5:39.343","Green","Track","4.997","8.853","4.861","10.395","8.457","2.061","0.554","9.172","18.293","18.001","6.673","5.142","147.686"
"44","GTD","John Potter","3","1:35.938","5:41.337","Green","Track","4.661","8.359","4.895","10.306","8.228","2.060","0.553","9.186","18.126","17.608","6.867","5.089","147.953"
"14","GTD","Richard Heistand","3","1:32.963","5:50.519","Green","Track","4.601","8.495","4.656","9.990","8.133","2.052","0.552","8.354","17.956","16.916","6.447","4.811","148.221"
"8","GTD","Parker Chase","3","1:39.720","6:04.051","Green","Track","5.180","9.025","5.062","10.219","8.537","2.489","0.762","9.787","18.951","17.790","6.750","5.168","107.373"
"96","GTD","Robby Foley","3","1:32.159","6:04.225","Green","Track","4.563","8.017","4.623","9.580","7.980","1.993","0.535","8.264","17.484","17.350","6.656","5.114","152.931"
"12","GTD","Frank Montecalvo","2","1:33.019","6:08.210","Green","Track","4.768","8.537","4.741","10.207","8.212","2.081","0.557","8.252","17.417","16.789","6.616","4.842","146.891"
"19","GTD","Will Hardeman","3","1:33.785","6:11.292","Green","Track","4.685","8.405","4.631","10.067","8.046","2.026","0.542","8.876","18.352","16.924","6.338","4.893","150.956"
"48","GTD","Ryan Hardwick","3","1:36.206","6:20.215","Green","Track","4.764","8.265","4.561","10.750","8.377","2.065","0.551","8.677","18.625","17.737","6.650","5.184","148.490"
"76","GTD","Matt Plumb","3","1:32.755","6:29.339","Green","Track","4.649","8.202","4.873","9.723","8.153","2.081","0.559","8.346","17.481","17.343","6.367","4.978","146.365"
"33","GTD","Ben Keating","3","1:40.926","6:31.045","Green","Track","5.083","9.129","5.083","10.940","8.347","2.078","0.559","8.925","19.415","18.706","7.195","5.466","146.365"
"86","GTD","Trent Hindman","4","1:32.013","6:32.946","Green","Track","4.426","7.914","4.597","9.466","7.959","2.028","0.544","8.248","18.472","16.880","6.561","4.918","150.401"
"57","GTD","Christina Nielsen","4","1:34.231","6:46.590","Green","Track","4.573","8.370","4.741","9.911","7.895","2.035","0.546","8.604","17.997","17.577","6.895","5.087","149.850"
"74","GTD","Gar Robinson V","3","1:32.951","6:48.401","Green","Track","4.773","8.334","4.853","10.262","8.154","2.068","0.554","8.284","17.356","17.028","6.365","4.920","147.686"
"9","GTD","Zacharie Robichon","4","1:29.880","6:55.380","Green","Track","4.362","8.040","4.671","9.749","8.544","2.083","0.559","8.214","16.784","16.114","6.124","4.636","146.365"
"63","GTD","Cooper MacNeil","4","1:33.744","7:13.087","Red","Track","4.685","8.260","4.637","10.132","8.278","2.052","0.549","8.639","17.659","17.275","6.572","5.006","149.031"
"44","GTD","John Potter","4","1:33.826","7:15.163","Red","Track","4.692","8.271","4.913","10.161","8.251","2.062","0.000","8.690","17.420","17.259","6.660","4.895","0.000"
"14","GTD","Richard Heistand","4","1:29.069","7:19.588","Red","Track","4.419","7.820","4.497","9.611","7.965","2.037","0.547","7.738","17.104","16.316","6.256","4.759","149.576"
"96","GTD","Robby Foley","4","1:37.244","7:41.469","Red","Pit","4.537","7.806","4.532","9.186","7.865","1.985","0.537","7.976","16.719","16.782","8.447","10.872","152.362"
"12","GTD","Frank Montecalvo","3","1:43.319","7:51.529","Red","Pit","4.408","7.957","4.511","9.573","8.235","2.055","0.554","7.626","17.015","20.797","8.995","11.593","147.686"
"86","GTD","Trent Hindman","5","1:42.720","8:15.666","Red","Pit","4.388","7.852","4.622","9.382","8.198","2.037","0.546","8.965","18.948","18.522","7.904","11.356","149.850"
"33","GTD","Ben Keating","4","1:47.096","8:18.141","Red","Pit","4.657","8.335","4.806","10.111","8.323","2.068","0.555","9.435","20.396","19.068","8.191","11.151","147.420"
"76","GTD","Matt Plumb","4","1:51.679","8:21.018","Red","Pit","4.569","7.832","4.750","9.256","8.062","2.074","0.557","7.997","18.313","18.863","10.018","19.388","146.891"
"57","GTD","Christina Nielsen","5","1:47.204","8:33.794","Red","Pit","4.530","8.245","4.614","9.565","8.083","2.061","0.554","8.923","19.938","18.956","9.453","12.282","147.686"
"74","GTD","Gar Robinson V","4","1:46.589","8:34.990","Red","Pit","4.626","8.133","4.805","9.930","8.192","2.112","0.629","9.370","18.135","19.319","9.769","11.569","130.077"
"9","GTD","Zacharie Robichon","5","1:44.935","8:40.315","Red","Pit","4.374","7.972","4.533","9.824","8.959","2.329","0.675","9.135","18.963","18.826","7.986","11.359","121.212"
"44","GTD","John Potter","5","1:57.015","9:12.178","Red","Pit","4.697","8.872","5.242","11.260","8.408","2.214","0.691","11.250","21.666","20.854","9.433","12.428","118.405"
