"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"85","DPi","Misha Goikhberg","1","1:54.168","1:54.168","Green","Track","0.000","12.271","6.767","12.504","9.466","2.268","0.756","10.359","18.937","17.411","6.552","5.238","108.225"
"31","DPi","Pipo Derani","1","1:57.624","1:57.624","Green","Pit","0.000","12.037","5.924","12.022","9.016","2.385","0.688","9.667","18.850","17.493","7.820","11.030","118.922"
"5","DPi","Joao Barbosa","1","2:00.514","2:00.514","Green","Pit","0.000","13.159","6.919","12.949","9.092","2.345","0.752","10.590","18.917","17.823","7.987","11.065","108.801"
"96","GTD","Bill Auberlen","1","2:02.996","2:02.996","Green","Track","0.000","12.108","6.249","12.798","9.470","2.283","0.658","9.520","19.797","18.680","6.900","5.574","124.344"
"912","GTLM","Laurens Vanthoor","1","2:05.444","2:05.444","Green","Track","0.000","12.457","6.514","11.831","8.727","2.262","0.706","9.803","18.976","18.156","6.841","5.068","115.890"
"52","LMP2","Matthew McMurry","1","2:08.149","2:08.149","Green","Pit","0.000","12.890","6.155","13.106","9.202","2.204","0.675","10.188","19.019","17.825","8.399","11.175","121.212"
"911","GTLM","Nick Tandy","1","2:09.113","2:09.113","Green","Track","0.000","12.525","6.148","12.218","8.874","2.310","0.754","10.754","20.033","18.390","6.836","5.279","108.512"
"3","GTLM","Antonio Garcia","1","2:10.228","2:10.228","Green","Track","0.000","11.992","6.248","12.253","8.695","2.309","0.741","10.378","19.255","18.569","6.825","5.497","110.416"
"12","GTD","Frank Montecalvo","1","2:12.139","2:12.139","Green","Track","0.000","12.580","6.275","12.728","9.852","2.439","0.756","11.083","19.514","18.609","6.893","5.326","108.225"
"14","GTD","Richard Heistand","1","2:13.216","2:13.216","Green","Track","0.000","12.804","6.580","12.294","9.643","2.345","0.736","10.213","19.451","17.999","6.824","5.333","111.166"
"86","GTD","Mario Farnbacher","1","2:13.376","2:13.376","Green","Track","0.000","12.998","5.871","11.921","8.861","2.191","0.663","9.341","18.342","17.252","6.537","5.128","123.406"
"4","GTLM","Oliver Gavin","1","2:15.796","2:15.796","Green","Track","0.000","13.336","6.560","12.057","8.828","2.368","0.742","10.470","19.922","18.890","6.925","5.611","110.267"
"57","GTD","Christina Nielsen","1","2:22.388","2:22.388","Green","Track","0.000","13.546","5.841","12.487","9.714","2.430","0.677","9.940","20.421","19.141","7.239","5.683","120.854"
"44","GTD","Andy Lally","1","2:23.746","2:23.746","Green","Pit","0.000","12.834","6.944","11.834","8.717","2.530","0.898","10.582","20.322","18.951","8.733","10.141","91.112"
"25","GTLM","Tom Blomqvist","1","2:23.788","2:23.788","Green","Track","18.809","13.203","6.681","11.875","9.555","2.350","0.687","9.793","19.498","18.823","7.029","5.901","119.095"
"24","GTLM","John Edwards","1","2:26.010","2:26.010","Green","Track","17.460","13.148","6.506","11.920","9.124","2.483","0.730","10.166","19.254","20.691","7.445","5.383","112.080"
