"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"62","GTLM","Davide Rigon","1","2:20.893","2:20.893","Green","Track","0.000","19.746","11.161","23.036","7.916","6.432","6.022","10.288","7.118","6.262","5.219","0.473","3.022","172.977"
"66","GTLM","Joey Hand","1","2:53.837","2:53.837","Green","Track","32.263","19.596","11.475","22.424","7.954","6.522","6.123","10.683","7.250","6.396","5.222","0.472","3.025","173.344"
"67","GTLM","Richard Westbrook","1","3:03.191","3:03.191","Green","Track","35.807","20.071","11.377","22.089","7.862","6.419","6.603","10.742","7.136","6.263","5.203","0.471","3.004","173.712"
"4","GTLM","Oliver Gavin","1","3:38.957","3:38.957","Green","Track","32.814","23.764","18.186","25.563","8.073","6.493","6.256","11.229","7.188","6.307","5.258","0.476","3.033","171.887"
"3","GTLM","Jan Magnussen","1","3:46.449","3:46.449","Green","Track","31.820","19.073","11.457","21.382","7.840","6.453","6.003","10.185","7.096","6.272","5.250","0.474","3.026","172.612"
"62","GTLM","Davide Rigon","2","1:46.219","4:07.112","Green","Track","11.376","14.080","9.722","19.962","7.682","6.313","5.828","9.438","6.964","6.202","5.184","0.469","2.999","174.452"
"24","GTLM","John Edwards","1","4:21.877","4:21.877","Green","Track","0.000","18.633","10.344","20.918","7.773","6.381","9.685","11.151","7.046","6.246","5.231","0.472","3.011","173.344"
"25","GTLM","Connor De Phillippi","1","4:34.954","4:34.954","Green","Track","0.000","18.321","11.025","21.468","7.819","6.405","6.003","10.518","7.145","6.303","5.248","0.472","3.026","173.344"
"66","GTLM","Joey Hand","2","1:47.445","4:41.282","Green","Track","11.618","14.282","9.817","19.955","7.750","6.370","5.833","9.865","7.066","6.271","5.168","0.467","2.983","175.200"
"67","GTLM","Richard Westbrook","2","1:46.169","4:49.360","Green","Track","11.416","14.013","9.717","19.803","7.669","6.309","5.811","9.663","6.980","6.184","5.157","0.467","2.980","175.200"
"4","GTLM","Oliver Gavin","2","1:49.716","5:28.673","Green","Track","12.327","14.937","9.623","20.054","7.674","6.325","5.897","10.084","7.422","6.361","5.408","0.491","3.113","166.636"
"3","GTLM","Jan Magnussen","2","1:45.753","5:32.202","Green","Track","11.275","14.028","9.772","19.718","7.683","6.285","5.817","9.475","6.946","6.159","5.155","0.465","2.975","175.953"
"62","GTLM","Davide Rigon","3","1:44.326","5:51.438","Green","Track","10.884","13.655","9.463","19.307","7.636","6.276","5.794","9.442","7.022","6.194","5.185","0.469","2.999","174.452"
"24","GTLM","John Edwards","2","1:45.447","6:07.324","Green","Track","11.066","13.929","9.520","19.568","7.646","6.290","5.838","9.810","6.944","6.187","5.189","0.470","2.990","174.081"
"25","GTLM","Connor De Phillippi","2","1:45.223","6:20.177","Green","Track","11.254","14.032","9.585","19.487","7.631","6.298","5.824","9.362","6.947","6.199","5.157","0.465","2.982","175.953"
"66","GTLM","Joey Hand","3","1:44.897","6:26.179","Green","Track","11.091","13.766","9.550","19.524","7.668","6.309","5.804","9.454","6.960","6.176","5.155","0.466","2.974","175.575"
"67","GTLM","Richard Westbrook","3","1:43.993","6:33.353","Green","Track","10.871","13.668","9.468","19.330","7.638","6.273","5.785","9.306","6.933","6.156","5.136","0.466","2.963","175.575"
"4","GTLM","Oliver Gavin","3","1:44.882","7:13.555","Green","Track","11.701","13.848","9.412","19.187","7.585","6.287","5.827","9.266","6.952","6.193","5.170","0.467","2.987","175.200"
"3","GTLM","Jan Magnussen","3","1:42.932","7:15.134","Green","Track","10.745","13.585","9.313","19.233","7.531","6.220","5.723","9.127","6.872","6.095","5.089","0.460","2.939","177.866"
"62","GTLM","Davide Rigon","4","1:43.334","7:34.772","Green","Track","10.835","13.582","9.438","19.143","7.601","6.257","5.790","9.083","6.856","6.138","5.154","0.467","2.990","175.200"
"24","GTLM","John Edwards","3","1:43.763","7:51.087","Green","Track","10.852","13.734","9.433","19.508","7.620","6.284","5.800","8.986","6.827","6.131","5.151","0.466","2.971","175.575"
"912","GTLM","Earl Bamber","1","7:58.588","7:58.588","Green","Track","32.335","19.827","11.179","21.733","7.779","6.365","6.350","10.332","7.098","6.204","5.151","0.465","3.058","175.953"
"25","GTLM","Connor De Phillippi","3","1:43.539","8:03.716","Green","Track","10.827","13.592","9.397","19.197","7.607","6.289","5.790","9.152","6.944","6.165","5.147","0.465","2.967","175.953"
"66","GTLM","Joey Hand","4","1:43.739","8:09.918","Green","Track","10.750","13.634","9.537","19.133","7.612","6.296","5.805","9.304","6.934","6.159","5.141","0.466","2.968","175.575"
"67","GTLM","Richard Westbrook","4","1:43.139","8:16.492","Green","Track","10.651","13.513","9.447","19.063","7.612","6.278","5.799","9.206","6.893","6.124","5.125","0.465","2.963","175.953"
"4","GTLM","Oliver Gavin","4","1:44.227","8:57.782","Green","Track","10.744","13.644","9.389","19.146","7.617","6.280","5.825","9.213","7.040","6.401","5.382","0.481","3.065","170.100"
"3","GTLM","Jan Magnussen","4","1:42.651","8:57.785","Green","Track","10.618","13.578","9.325","19.191","7.565","6.196","5.713","9.114","6.836","6.094","5.055","0.456","2.910","179.426"
"911","GTLM","Nick Tandy","1","9:06.142","9:06.142","Green","Track","32.596","20.288","10.882","21.629","7.807","6.369","5.962","10.479","7.122","6.222","5.177","0.466","2.980","175.575"
"62","GTLM","Davide Rigon","5","1:43.249","9:18.021","Green","Track","10.754","13.532","9.449","19.210","7.592","6.263","5.791","9.072","6.846","6.136","5.150","0.467","2.987","175.200"
"24","GTLM","John Edwards","4","1:43.110","9:34.197","Green","Track","10.749","13.670","9.397","19.377","7.597","6.275","5.793","8.808","6.770","6.113","5.135","0.465","2.961","175.953"
"912","GTLM","Earl Bamber","2","1:45.705","9:44.293","Green","Track","11.135","14.472","9.653","19.682","7.613","6.256","5.801","9.526","6.905","6.115","5.129","0.462","2.956","177.096"
"25","GTLM","Connor De Phillippi","4","1:43.315","9:47.031","Green","Track","10.805","13.593","9.377","19.288","7.612","6.267","5.771","9.050","6.876","6.121","5.126","0.463","2.966","176.713"
