"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"9","GTD","Zacharie Robichon","1","2:06.909","2:06.909","Green","Track","0.000","16.394","10.047","20.320","7.847","6.454","6.018","9.858","7.109","6.415","5.421","0.489","3.138","167.317"
"19","GTD","Andrew Davis","1","2:23.844","2:23.844","Green","Track","0.000","18.875","10.744","21.886","8.207","6.580","6.049","11.132","7.374","6.513","5.411","0.487","3.102","168.004"
"14","GTD","Richard Heistand","1","2:26.402","2:26.402","Green","Track","0.000","19.757","10.996","23.314","8.243","6.618","7.210","11.595","7.348","6.483","5.390","0.485","3.103","168.697"
"63","GTD","Jeff Westphal","1","2:28.714","2:28.714","Green","Track","0.000","20.546","11.221","22.001","7.955","6.426","6.208","11.502","7.327","6.614","5.431","0.487","3.103","168.004"
"73","GTD","Patrick Lindsey","1","2:31.065","2:31.065","Green","Track","0.000","19.872","11.376","22.096","7.995","6.503","6.274","11.336","7.249","6.453","5.370","0.483","3.087","169.396"
"57","GTD","Ana Figueiredo","1","2:32.935","2:32.935","Green","Track","33.839","19.520","11.530","22.237","7.970","6.394","6.419","11.523","7.232","6.369","5.275","0.475","3.030","172.249"
"46","GTD","Emanuele Busnelli","1","2:44.141","2:44.141","Green","Track","0.000","19.349","11.319","23.254","8.289","6.550","6.141","11.860","7.498","6.491","5.347","0.482","3.078","169.747"
"33","GTD","Ben Keating","1","2:52.975","2:52.975","Green","Track","33.435","20.332","12.387","24.386","8.303","6.785","9.457","11.285","7.274","6.427","5.338","0.483","3.083","169.396"
"99","GTD","Juergen Haering","1","3:02.948","3:02.948","Green","Track","0.000","23.148","12.801","24.279","9.203","6.991","6.551","11.635","7.491","6.519","5.421","0.488","3.209","167.660"
"44","GTD","John Potter","1","3:06.856","3:06.856","Green","Track","0.000","20.817","11.762","22.216","8.103","6.606","7.873","12.232","7.976","7.007","5.755","0.517","3.267","158.256"
"71","GTD","Dominik Baumann","1","3:20.761","3:20.761","Green","Track","0.000","22.305","12.692","23.282","8.127","6.500","6.099","11.045","7.262","6.427","5.367","0.484","3.093","169.046"
"12","GTD","Frank Montecalvo","1","3:35.440","3:35.440","Green","Track","0.000","19.656","11.984","22.391","8.078","6.498","6.019","10.864","7.182","6.394","5.322","0.480","3.062","170.455"
"88","GTD","Ian James","1","3:37.571","3:37.571","Green","Track","0.000","21.881","12.623","23.065","8.178","6.618","6.148","11.327","7.394","6.549","5.421","0.488","3.110","167.660"
"13","GTD","Victor Franzoni","1","3:43.467","3:43.467","Green","Track","0.000","19.225","11.894","22.806","8.069","6.509","6.163","12.183","7.381","6.461","5.376","0.486","3.106","168.350"
"9","GTD","Zacharie Robichon","2","1:47.270","3:54.179","Green","Track","11.086","13.959","9.760","20.135","7.827","6.423","5.958","9.769","7.059","6.374","5.355","0.482","3.083","169.747"
"29","GTD","Daniel Morad","1","4:07.138","4:07.138","Green","Track","0.000","20.051","10.928","21.396","8.078","6.561","6.010","10.581","7.278","6.490","5.369","0.484","3.080","169.046"
"19","GTD","Andrew Davis","2","1:48.479","4:12.323","Green","Track","11.777","14.171","9.850","20.071","7.928","6.444","5.900","9.858","7.214","6.405","5.325","0.479","3.057","170.810"
"14","GTD","Richard Heistand","2","1:47.893","4:14.295","Green","Track","11.488","14.203","9.696","20.128","7.776","6.400","5.899","9.880","7.144","6.397","5.336","0.480","3.066","170.455"
"63","GTD","Jeff Westphal","2","1:50.152","4:18.866","Green","Track","11.953","14.510","10.030","20.542","7.846","6.353","5.969","10.593","7.185","6.331","5.299","0.478","3.063","171.168"
"73","GTD","Patrick Lindsey","2","1:51.416","4:22.481","Green","Track","11.893","14.623","10.462","21.372","7.895","6.427","5.966","10.392","7.154","6.383","5.313","0.478","3.058","171.168"
"57","GTD","Ana Figueiredo","2","1:54.178","4:27.113","Green","Track","12.389","15.338","10.066","23.257","8.177","6.439","5.964","10.346","7.129","6.354","5.232","0.472","3.015","173.344"
"46","GTD","Emanuele Busnelli","2","1:49.818","4:33.959","Green","Track","12.026","14.553","10.096","20.380","7.880","6.405","5.864","10.167","7.266","6.367","5.281","0.477","3.056","171.527"
"8","GTD","Ezequiel Perez Companc","1","4:39.627","4:39.627","Green","Track","0.000","20.221","12.116","24.805","8.469","6.657","6.181","11.750","7.465","6.568","5.430","0.487","3.116","168.004"
"33","GTD","Ben Keating","2","1:49.697","4:42.672","Green","Track","12.056","14.612","9.942","20.642","7.821","6.391","5.871","10.199","7.085","6.314","5.259","0.474","3.031","172.612"
"86","GTD","Mario Farnbacher","1","4:49.705","4:49.705","Green","Track","32.076","17.010","10.851","20.871","7.847","6.400","6.028","10.377","7.156","6.338","5.300","0.477","3.044","171.527"
"99","GTD","Juergen Haering","2","1:51.305","4:54.253","Green","Track","12.122","14.661","10.263","20.813","8.005","6.417","5.937","10.473","7.329","6.391","5.336","0.481","3.077","170.100"
"44","GTD","John Potter","2","1:55.329","5:02.185","Green","Track","11.995","14.354","12.222","23.088","8.042","6.530","6.007","10.412","7.291","6.454","5.354","0.484","3.096","169.046"
"71","GTD","Dominik Baumann","2","1:49.526","5:10.287","Green","Track","12.356","14.623","10.175","20.368","7.759","6.373","5.907","9.725","7.057","6.330","5.306","0.479","3.068","170.810"
"12","GTD","Frank Montecalvo","2","1:47.707","5:23.147","Green","Track","11.729","14.224","9.657","20.187","7.851","6.388","5.869","9.720","7.020","6.307","5.256","0.474","3.025","172.612"
"88","GTD","Ian James","2","1:48.986","5:26.557","Green","Track","11.627","14.123","10.082","20.048","7.879","6.466","5.961","10.181","7.248","6.457","5.353","0.484","3.077","169.046"
"11","GTD","Rolf Ineichen","1","5:32.054","5:32.054","Green","Track","0.000","19.560","10.920","21.585","8.139","6.780","6.146","10.707","7.311","6.471","5.341","0.481","3.086","170.100"
"13","GTD","Victor Franzoni","2","1:55.935","5:39.402","Green","Track","11.762","14.355","10.066","24.413","9.218","6.857","6.309","10.430","7.210","6.397","5.343","0.483","3.092","169.396"
"9","GTD","Zacharie Robichon","3","1:46.954","5:41.133","Green","Track","11.118","14.007","9.721","19.942","7.782","6.405","5.959","9.726","7.076","6.347","5.325","0.480","3.066","170.455"
"29","GTD","Daniel Morad","2","1:47.509","5:54.647","Green","Track","11.120","14.390","9.801","19.858","7.845","6.444","5.917","9.703","7.143","6.416","5.332","0.479","3.061","170.810"
"19","GTD","Andrew Davis","3","1:46.606","5:58.929","Green","Track","11.204","14.040","9.663","19.713","7.891","6.409","5.879","9.516","7.136","6.354","5.292","0.476","3.033","171.887"
"14","GTD","Richard Heistand","3","1:46.448","6:00.743","Green","Track","11.247","13.975","9.593","19.726","7.726","6.365","5.884","9.644","7.099","6.364","5.311","0.478","3.036","171.168"
"63","GTD","Jeff Westphal","3","1:47.627","6:06.493","Green","Track","11.431","14.225","9.731","20.113","7.788","6.305","5.899","9.960","7.092","6.284","5.277","0.476","3.046","171.887"
"73","GTD","Patrick Lindsey","3","1:47.175","6:09.656","Green","Track","11.180","14.014","9.769","19.851","7.773","6.371","5.897","9.943","7.197","6.351","5.305","0.476","3.048","171.887"
"57","GTD","Ana Figueiredo","3","1:46.098","6:13.211","Green","Track","11.097","14.021","9.686","19.765","7.722","6.315","5.856","9.696","6.994","6.255","5.225","0.471","2.995","173.712"
"540","GTD","Marco Seefried","1","6:18.483","6:18.483","Green","Track","0.000","17.715","12.146","23.282","7.949","6.523","6.061","10.236","7.236","6.444","5.402","0.487","3.130","168.004"
"46","GTD","Emanuele Busnelli","3","1:47.787","6:21.746","Green","Track","11.269","14.136","9.648","19.988","7.836","6.382","5.896","10.299","7.212","6.340","5.267","0.476","3.038","171.887"
"33","GTD","Ben Keating","3","1:45.662","6:28.334","Green","Track","11.135","13.993","9.543","19.682","7.685","6.326","5.836","9.555","6.958","6.246","5.223","0.473","3.007","172.977"
"8","GTD","Ezequiel Perez Companc","2","1:52.044","6:31.671","Green","Track","11.903","14.374","9.967","20.198","7.939","6.720","7.239","11.030","7.302","6.452","5.363","0.479","3.078","170.810"
"86","GTD","Trent Hindman","2","1:46.324","6:36.029","Green","Track","11.138","14.043","9.607","19.723","7.745","6.354","5.876","9.694","7.065","6.301","5.272","0.476","3.030","171.887"
"99","GTD","Juergen Haering","3","1:50.588","6:44.841","Green","Track","11.877","14.862","9.806","20.781","7.941","6.382","5.959","10.409","7.272","6.379","5.349","0.483","3.088","169.396"
"44","GTD","John Potter","3","1:48.072","6:50.257","Green","Track","11.382","14.073","9.849","19.888","7.911","6.460","5.963","10.019","7.205","6.422","5.348","0.483","3.069","169.396"
"71","GTD","Dominik Baumann","3","1:45.705","6:55.992","Green","Track","11.144","13.788","9.621","19.685","7.686","6.344","5.870","9.423","7.019","6.306","5.293","0.477","3.049","171.527"
"12","GTD","Frank Montecalvo","3","1:46.089","7:09.236","Green","Track","11.003","13.961","9.587","19.764","7.752","6.362","5.873","9.724","7.013","6.300","5.251","0.474","3.025","172.612"
"88","GTD","Ian James","3","1:47.388","7:13.945","Green","Track","11.150","14.062","9.736","19.810","7.826","6.460","5.953","9.799","7.221","6.450","5.359","0.483","3.079","169.396"
