"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"31","DPi","Felipe Nasr","1","2:08.120","2:08.120","Green","Track","0.000","19.080","10.692","21.451","7.187","5.802","5.842","10.019","6.546","5.776","4.823","0.435","2.768","188.088"
"5","DPi","Christian Fittipaldi","1","2:09.781","2:09.781","Green","Track","0.000","18.046","10.434","21.587","7.217","5.879","5.762","9.960","6.520","5.856","4.835","0.437","2.798","187.227"
"77","DPi","Rene Rast","1","2:12.901","2:12.901","Green","Track","0.000","18.620","10.584","21.600","7.001","5.699","6.192","9.947","6.287","5.661","4.757","0.430","2.748","190.275"
"38","LMP2","Kyle Masson","1","2:21.630","2:21.630","Green","Track","0.000","18.805","11.937","21.918","7.260","5.883","5.790","10.428","6.611","5.862","4.933","0.447","2.844","183.038"
"911","GTLM","Frederic Makowiecki","1","2:23.150","2:23.150","Green","Track","0.000","21.171","11.518","24.177","8.014","6.367","6.218","11.715","7.303","6.329","5.211","0.468","2.980","174.825"
"63","GTD","Toni Vilander","1","2:25.462","2:25.462","Green","Track","0.000","19.121","11.867","22.785","8.179","6.468","6.299","11.126","7.360","6.407","5.317","0.480","3.043","170.455"
"52","LMP2","Matthew McMurry","1","2:25.563","2:25.563","Green","Track","0.000","19.872","10.664","22.677","7.616","6.050","5.859","10.500","6.767","5.990","4.979","0.450","2.874","181.818"
"73","GTD","Patrick Long","1","2:28.703","2:28.703","Green","Track","0.000","18.702","11.095","21.881","7.970","6.562","6.193","10.435","7.252","6.488","5.424","0.490","3.126","166.976"
"9","GTD","Dennis Olsen","1","2:41.580","2:41.580","Green","Track","0.000","19.825","13.838","25.247","10.131","8.860","8.411","13.013","8.188","7.766","6.431","0.588","3.736","139.147"
"88","GTD","Roman DeAngelis","1","2:51.997","2:51.997","Green","Track","562.079","22.675","15.997","25.892","8.476","6.733","7.084","11.958","7.500","6.611","5.485","0.494","3.137","165.624"
"51","GTD","Daniel Serra","1","2:53.170","2:53.170","Green","Track","348.509","20.257","12.136","23.631","8.195","6.487","6.782","11.811","7.356","6.423","5.317","0.481","3.059","170.100"
"71","GTD","Maximilian Buhk","1","2:54.432","2:54.432","Green","Track","382.689","19.696","11.985","23.419","8.326","6.737","6.746","11.824","7.292","6.455","5.376","0.485","3.087","168.697"
"99","GTD","Juergen Haering","1","3:01.282","3:01.282","Green","Track","199.547","21.944","12.976","24.212","8.107","6.999","6.500","11.570","7.448","6.490","5.409","0.487","3.094","168.004"
"55","DPi","Harry Tincknell","1","3:02.755","3:02.755","Green","Track","592.381","20.847","11.367","22.513","7.489","5.770","5.771","11.650","6.444","5.746","4.758","0.430","2.759","190.275"
"62","GTLM","Miguel Molina","1","3:04.310","3:04.310","Green","Track","0.000","20.956","13.573","23.852","7.820","6.535","6.601","11.439","7.149","6.451","5.526","0.490","3.089","166.976"
"8","GTD","Ezequiel Perez Companc","1","3:04.749","3:04.749","Green","Track","0.000","22.094","13.632","24.425","8.474","6.685","6.316","12.056","7.536","6.795","5.857","0.520","3.263","157.343"
"24","GTLM","Chaz Mostert","1","3:05.430","3:05.430","Green","Track","0.000","21.499","12.419","24.189","8.151","6.455","6.204","11.370","7.168","6.267","5.182","0.465","2.995","175.953"
"96","GTD","Jens Klingmann","1","3:05.489","3:05.489","Green","Track","151.981","20.485","13.101","24.331","7.986","6.416","6.578","12.207","7.252","6.316","5.255","0.481","3.065","170.100"
"25","GTLM","Philipp Eng","1","3:06.325","3:06.325","Green","Track","0.000","21.603","12.481","24.337","8.095","6.361","6.149","11.168","7.063","6.209","5.114","0.460","2.954","177.866"
"46","GTD","Emanuele Busnelli","1","3:06.510","3:06.510","Green","Track","373.777","22.211","13.568","26.042","9.546","7.317","7.022","12.558","7.634","6.735","5.514","0.491","3.154","166.636"
"50","DPi","Will Owen","1","3:07.191","3:07.191","Green","Track","0.000","21.147","12.357","23.797","7.141","5.823","6.436","11.634","6.541","5.777","4.795","0.434","2.772","188.521"
"33","GTD","Jeroen Bleekemolen","1","3:07.407","3:07.407","Green","Track","37.551","21.243","12.315","22.823","8.192","6.508","6.118","11.487","7.162","6.304","5.225","0.470","3.006","174.081"
"912","GTLM","Mathieu Jaminet","1","3:09.604","3:09.604","Green","Track","36.447","22.279","12.778","24.427","7.942","6.359","6.685","11.802","7.232","6.302","5.160","0.464","2.952","176.332"
"13","GTD","Chico Longo","1","3:10.224","3:10.224","Green","Track","197.492","22.913","13.563","27.389","8.840","6.906","6.951","12.465","7.478","6.571","5.425","0.489","3.122","167.317"
"66","GTLM","Dirk Mueller","1","3:13.297","3:13.297","Green","Track","38.593","23.054","12.107","23.432","7.907","6.446","6.236","11.185","7.268","6.329","5.208","0.469","2.995","174.452"
"67","GTLM","Richard Westbrook","1","3:13.918","3:13.918","Green","Track","36.919","20.950","12.202","23.879","8.065","6.423","6.319","11.907","7.176","6.275","5.170","0.467","2.979","175.200"
"4","GTLM","Tommy Milner","1","3:14.492","3:14.492","Green","Track","36.406","20.684","12.297","23.645","7.944","6.418","6.365","11.521","7.182","6.306","5.223","0.470","3.000","174.081"
"14","GTD","Richard Heistand","1","3:14.512","3:14.512","Green","Track","0.000","23.844","16.090","28.489","8.395","6.629","6.287","11.474","7.472","6.616","5.585","0.520","3.432","157.343"
"57","GTD","Christina Nielsen","1","3:16.864","3:16.864","Green","Track","38.995","22.862","13.282","25.087","8.292","6.476","6.334","12.209","7.475","6.426","5.287","0.475","3.028","172.249"
"48","GTD","Andrea Caldarelli","1","3:18.059","3:18.059","Green","Track","37.831","21.025","13.573","22.786","8.067","6.561","6.228","11.471","7.436","6.522","5.386","0.487","3.098","168.004"
"54","DPi","Loic Duval","1","3:25.044","3:25.044","Green","Track","32.749","21.898","11.695","24.151","7.271","5.849","6.301","11.484","6.631","6.029","4.952","0.455","2.867","179.820"
"29","GTD","Daniel Morad","1","3:25.900","3:25.900","Green","Track","0.000","23.932","12.631","24.448","8.452","6.724","6.437","11.875","7.586","6.766","5.469","0.495","3.102","165.289"
"47","GTD","Don Yount","1","3:27.517","3:27.517","Green","Track","184.749","20.771","12.648","24.742","8.448","6.714","6.662","12.186","7.641","6.645","5.463","0.493","3.141","165.960"
"3","GTLM","Antonio Garcia","1","3:37.152","3:37.152","Green","Track","32.574","22.066","12.459","23.463","8.084","6.479","6.366","11.289","7.312","6.399","5.305","0.480","3.053","170.455"
"44","GTD","Spencer Pumpelly","1","3:40.892","3:40.892","Green","Track","245.725","19.308","11.423","22.167","8.251","6.639","6.160","10.525","7.384","6.534","5.377","0.484","3.095","169.046"
"7","DPi","Ricky Taylor","1","3:44.848","3:44.848","Green","Pit","0.000","19.779","10.611","22.656","7.356","5.873","5.889","10.860","9.213","9.311","12.950","0.000","0.000","0.000"
"11","GTD","Rolf Ineichen","1","3:46.482","3:46.482","Green","Track","406.308","20.572","11.629","22.907","8.131","6.547","6.165","11.018","7.347","6.467","5.359","0.483","3.090","169.396"
"31","DPi","Felipe Nasr","2","1:41.913","3:50.033","Green","Track","11.125","13.460","8.827","19.382","6.937","5.700","5.533","10.758","6.505","5.731","4.781","0.428","2.746","191.164"
"5","DPi","Christian Fittipaldi","2","1:41.625","3:51.406","Green","Track","11.109","13.638","9.419","19.584","7.042","5.766","5.420","9.496","6.420","5.789","4.763","0.429","2.750","190.718"
"77","DPi","Rene Rast","2","1:38.557","3:51.458","Green","Track","10.712","13.293","8.947","19.141","6.809","5.639","5.337","9.080","6.192","5.622","4.665","0.422","2.698","193.882"
"6","DPi","Simon Pagenaud","1","3:51.924","3:51.924","Green","Track","32.283","19.094","11.001","22.431","7.172","5.788","5.705","9.933","6.464","5.920","5.139","0.460","2.950","177.866"
"86","GTD","Justin Marks","1","3:52.558","3:52.558","Green","Track","33.211","19.711","12.203","22.464","8.146","6.473","6.135","11.355","7.317","6.433","5.328","0.480","3.039","170.455"
"38","LMP2","Kyle Masson","2","1:39.592","4:01.222","Green","Track","10.814","13.315","8.849","18.996","6.995","5.790","5.453","9.125","6.401","5.765","4.853","0.439","2.797","186.374"
"12","GTD","Jeff Segal","1","4:01.852","4:01.852","Green","Track","0.000","20.130","11.815","23.291","8.109","6.551","6.205","11.103","7.276","6.456","5.375","0.485","3.089","168.697"
"52","LMP2","Matthew McMurry","2","1:43.354","4:08.917","Green","Track","11.270","13.783","9.333","20.257","7.144","5.897","5.575","9.513","6.492","5.838","4.938","0.449","2.865","182.223"
"911","GTLM","Frederic Makowiecki","2","1:48.051","4:11.201","Green","Track","11.763","14.341","9.934","20.323","7.642","6.226","5.902","10.206","7.006","6.176","5.128","0.462","2.942","177.096"
"63","GTD","Toni Vilander","2","1:48.751","4:14.213","Green","Track","12.102","14.627","9.871","20.212","7.792","6.350","5.877","9.807","7.097","6.286","5.245","0.473","3.012","172.977"
"73","GTD","Patrick Long","2","1:48.760","4:17.463","Green","Track","11.566","14.330","9.938","20.138","7.848","6.450","6.008","9.922","7.188","6.431","5.363","0.484","3.094","169.046"
"9","GTD","Dennis Olsen","2","2:01.369","4:42.949","Green","Track","13.913","15.538","11.837","22.580","8.013","6.656","6.995","11.570","7.660","7.063","5.676","0.517","3.351","158.256"
"55","DPi","Harry Tincknell","2","1:41.195","4:43.950","Green","Track","11.111","14.220","8.730","18.913","6.802","5.631","5.591","10.223","6.341","5.704","4.751","0.430","2.748","190.275"
"51","GTD","Daniel Serra","2","1:51.869","4:45.039","Green","Track","12.600","14.870","10.055","20.635","7.836","6.372","7.107","10.281","7.057","6.277","5.263","0.477","3.039","171.527"
"71","GTD","Maximilian Buhk","2","1:52.000","4:46.432","Green","Track","12.262","14.968","10.482","20.913","7.746","6.390","6.297","10.551","7.130","6.377","5.337","0.481","3.066","170.100"
"81","LMP2","Henrik Hedman","1","4:50.964","4:50.964","Green","Pit","0.000","71.026","15.975","25.216","8.049","6.394","6.459","12.036","7.750","7.034","13.000","0.000","0.000","0.000"
"62","GTLM","Miguel Molina","2","1:48.750","4:53.060","Green","Track","12.065","14.454","10.096","20.298","7.683","6.307","5.940","10.090","7.011","6.206","5.156","0.465","2.979","175.953"
"24","GTLM","Chaz Mostert","2","1:47.680","4:53.110","Green","Track","11.988","14.263","9.722","20.140","7.688","6.232","5.856","10.228","6.959","6.125","5.084","0.459","2.936","178.253"
