"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"5","DPi","Joao Barbosa","1","2:08.087","2:08.087","Green","Track","0.000","18.307","10.767","23.038","7.483","6.030","6.137","10.915","6.586","5.854","4.974","0.450","2.871","181.818"
"31","DPi","Felipe Nasr","1","2:09.660","2:09.660","Green","Track","0.000","18.563","10.931","22.140","7.347","5.921","6.113","10.969","6.646","5.860","4.933","0.447","2.871","183.038"
"13","GTD","Chico Longo","1","2:35.244","2:35.244","Green","Track","0.000","21.185","13.402","25.833","8.880","7.013","7.547","14.205","8.809","7.520","6.394","0.581","3.698","140.823"
"99","GTD","Juergen Haering","1","2:36.307","2:36.307","Green","Track","294.349","21.886","12.774","23.849","8.528","6.948","6.810","13.190","7.603","6.583","5.528","0.500","3.186","163.636"
"10","DPi","Renger Van Der Zande","1","2:41.860","2:41.860","Green","Pit","0.000","21.272","12.912","25.134","8.994","6.709","6.482","12.076","7.629","6.686","11.047","0.000","0.000","0.000"
"8","GTD","Parker Chase","1","2:47.458","2:47.458","Green","Track","91.849","21.178","12.430","24.192","8.800","6.818","7.285","12.511","7.614","6.757","5.633","0.504","3.223","162.338"
"85","DPi","Misha Goikhberg","1","2:53.940","2:53.940","Green","Track","0.000","20.344","11.333","24.378","7.417","6.010","6.223","12.068","6.986","5.990","4.932","0.444","2.845","184.275"
"9","GTD","Scott Hargrove","1","2:55.708","2:55.708","Green","Track","0.000","20.285","12.279","25.148","8.362","6.639","7.469","13.542","7.608","6.644","5.517","0.498","3.195","164.294"
"51","GTD","Paul Dalla Lana","1","2:56.359","2:56.359","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"912","GTLM","Earl Bamber","1","2:56.790","2:56.790","Green","Track","0.000","20.832","12.236","24.092","8.105","6.667","6.649","11.899","7.309","6.727","5.550","0.494","3.146","165.624"
"81","LMP2","Henrik Hedman","1","2:57.802","2:57.802","Green","Track","33.434","20.735","11.420","23.895","8.076","6.173","6.663","12.327","6.885","6.041","5.079","0.459","2.971","178.253"
"50","DPi","Will Owen","1","2:58.383","2:58.383","Green","Track","0.000","21.417","11.969","23.363","7.336","5.893","7.225","11.881","6.529","5.863","4.847","0.445","2.996","183.861"
"19","GTD","Andrew Davis","1","2:58.631","2:58.631","Green","Track","232.812","22.225","15.122","27.408","10.314","8.484","8.839","13.806","8.974","8.237","7.177","0.659","4.193","124.155"
"33","GTD","Ben Keating","1","3:02.555","3:02.555","Green","Track","32.703","19.174","11.821","26.053","8.555","6.560","9.246","12.472","7.268","6.423","5.393","0.487","3.119","168.004"
"73","GTD","Patrick Lindsey","1","3:03.822","3:03.822","Green","Pit","138.663","21.782","12.338","24.093","8.474","6.974","6.994","12.598","7.763","7.919","11.321","0.000","0.000","0.000"
"96","GTD","Bill Auberlen","1","3:06.195","3:06.195","Green","Pit","298.068","23.356","14.660","29.163","9.963","8.073","7.798","15.695","8.190","7.284","10.662","0.000","0.000","0.000"
"44","GTD","John Potter","1","3:08.092","3:08.092","Green","Pit","305.520","19.599","11.983","24.762","8.375","6.749","6.997","13.939","7.744","6.696","11.887","0.000","0.000","0.000"
"88","GTD","Frederic Vervisch","1","3:08.805","3:08.805","Green","Pit","0.000","19.574","12.052","24.691","8.486","6.668","6.641","13.837","7.623","6.654","12.439","0.000","0.000","0.000"
"911","GTLM","Patrick Pilet","1","3:09.859","3:09.859","Green","Track","0.000","22.194","12.886","24.678","8.143","6.472","6.701","12.568","7.394","6.410","5.317","0.480","3.068","170.455"
"4","GTLM","Oliver Gavin","1","3:12.376","3:12.376","Green","Track","34.764","22.037","12.643","24.071","8.289","6.792","7.443","13.388","7.663","6.556","5.460","0.495","3.160","165.289"
"25","GTLM","Augusto Farfus","1","3:14.048","3:14.048","Green","Pit","0.000","21.095","12.316","24.725","8.186","6.835","8.393","13.054","7.321","6.943","11.641","0.000","0.000","0.000"
"24","GTLM","Jesse Krohn","1","3:15.350","3:15.350","Green","Pit","0.000","20.908","12.079","24.768","8.242","6.591","8.622","13.169","7.427","6.740","12.219","0.000","0.000","0.000"
"29","GTD","Daniel Morad","1","3:16.681","3:16.681","Green","Pit","335.942","20.962","12.179","24.556","8.360","6.672","7.707","13.630","7.536","6.626","12.554","0.000","0.000","0.000"
"540","GTD","Timothy Pappas","1","3:22.501","3:22.501","Green","Track","0.000","22.300","14.770","27.629","9.494","7.506","7.666","14.445","8.458","7.436","6.271","0.564","3.598","145.068"
"63","GTD","Cooper MacNeil","1","3:41.708","3:41.708","Green","Track","0.000","20.548","12.596","24.923","8.453","6.927","7.211","13.388","7.885","6.812","5.653","0.520","3.437","157.343"
"11","GTD","Rolf Ineichen","1","3:48.473","3:48.473","Green","Track","0.000","20.001","11.496","23.518","8.261","6.577","6.185","11.669","7.360","6.452","5.373","0.486","3.106","168.350"
"47","GTD","Steve Dunn","1","3:49.286","3:49.286","Green","Pit","353.817","19.950","12.237","24.441","8.433","6.731","6.458","12.083","7.485","6.585","9.632","0.000","0.000","0.000"
"31","DPi","Felipe Nasr","2","1:48.005","3:57.665","Green","Track","12.117","14.761","9.663","21.617","7.247","5.862","5.581","10.572","6.596","5.798","4.910","0.445","2.836","183.861"
"5","DPi","Joao Barbosa","2","1:54.871","4:02.958","Green","Track","12.113","15.256","10.010","23.270","7.581","6.066","8.456","11.521","6.554","5.816","4.930","0.446","2.852","183.449"
"12","GTD","Frank Montecalvo","1","4:21.175","4:21.175","Green","Pit","33.395","21.734","12.607","25.855","9.018","7.290","7.448","13.579","8.179","7.008","11.782","0.000","0.000","0.000"
"99","GTD","Sven Muller","2","1:59.929","4:36.236","Green","Track","13.417","16.152","11.459","23.003","8.193","6.592","6.174","11.884","7.373","6.494","5.500","0.499","3.189","163.964"
"54","DPi","Jonathan Bennett","1","4:38.945","4:38.945","Green","Pit","0.000","23.280","15.791","27.363","9.456","8.725","8.765","14.010","8.464","9.254","11.829","0.000","0.000","0.000"
