"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"48","GTD","Corey Lewis","1","2:08.551","2:08.551","Green","Track","419.893","18.687","11.152","23.031","8.023","6.478","5.980","10.697","7.139","6.373","5.357","0.485","3.094","168.697"
"96","GTD","Robby Foley","1","2:13.919","2:13.919","Green","Track","0.000","20.738","12.836","22.988","7.966","6.466","6.124","10.696","7.090","6.319","5.369","0.490","3.133","166.976"
"8","GTD","Ezequiel Perez Companc","1","2:19.945","2:19.945","Green","Track","226.491","19.380","12.333","22.529","8.205","6.586","6.174","11.482","7.288","6.452","5.418","0.491","3.131","166.636"
"63","GTD","Cooper MacNeil","1","2:22.776","2:22.776","Green","Track","416.066","18.058","11.717","22.398","7.961","6.461","6.215","12.038","7.262","6.375","5.368","0.485","3.112","168.697"
"99","GTD","Alfred Renauer","1","2:27.860","2:27.860","Green","Track","367.857","19.544","12.073","23.517","8.147","6.501","6.619","11.695","7.245","6.423","5.432","0.492","3.145","166.297"
"19","GTD","Andrew Davis","1","2:30.561","2:30.561","Green","Track","371.921","19.105","11.700","22.161","8.378","6.616","5.997","10.910","7.262","6.469","5.432","0.491","3.129","166.636"
"71","GTD","JC Perez","1","2:31.736","2:31.736","Green","Track","116.180","19.400","11.194","22.170","8.108","6.512","6.313","11.529","7.260","6.428","5.421","0.493","3.141","165.960"
"44","GTD","Spencer Pumpelly","1","2:34.000","2:34.000","Green","Track","414.232","19.826","11.477","21.318","8.037","6.521","6.626","11.227","7.267","6.460","5.349","0.484","3.085","169.046"
"88","GTD","Roman DeAngelis","1","2:35.220","2:35.220","Green","Track","0.000","19.590","11.762","21.474","8.074","6.540","6.253","11.271","7.285","6.494","5.384","0.489","3.108","167.317"
"46","GTD","Giacomo Altoe","1","2:39.451","2:39.451","Green","Track","0.000","19.038","11.812","21.492","7.981","6.472","7.207","12.525","8.478","6.757","5.497","0.495","3.144","165.289"
"57","GTD","Ana Figueiredo","1","2:46.330","2:46.330","Green","Track","35.035","19.965","11.611","23.282","8.080","6.434","6.109","11.692","7.199","6.347","5.343","0.484","3.089","169.046"
"33","GTD","Ben Keating","1","3:07.357","3:07.357","Green","Track","33.093","20.345","13.146","23.142","7.985","6.432","6.062","11.346","7.186","6.349","5.325","0.483","3.076","169.396"
"51","GTD","Mathias Lauda","1","3:09.777","3:09.777","Green","Track","0.000","19.431","11.297","23.114","8.048","6.463","6.026","11.441","7.228","6.353","5.332","0.483","3.079","169.396"
"73","GTD","Patrick Lindsey","1","3:11.037","3:11.037","Green","Track","0.000","19.416","12.358","24.004","8.554","6.777","6.309","11.385","7.344","6.473","5.462","0.495","3.147","165.289"
"13","GTD","Marcos Gomes","1","3:24.474","3:24.474","Green","Track","494.013","24.016","11.515","21.904","7.927","6.377","5.952","10.674","7.139","6.296","5.327","0.482","3.072","169.747"
"12","GTD","Frank Montecalvo","1","3:35.806","3:35.806","Green","Track","35.913","20.220","12.840","22.806","8.146","7.265","6.310","10.969","7.178","6.363","5.367","0.487","3.108","168.004"
"86","GTD","Trent Hindman","1","3:42.100","3:42.100","Green","Track","32.877","19.863","14.589","22.521","7.947","6.421","6.044","10.850","7.165","6.330","5.352","0.483","3.069","169.396"
"47","GTD","Don Yount","1","3:48.134","3:48.134","Green","Track","303.242","19.965","12.341","23.933","8.309","6.596","6.101","11.695","7.425","6.478","5.423","0.493","3.132","165.960"
"14","GTD","Richard Heistand","1","3:55.919","3:55.919","Green","Track","43.812","36.363","20.670","31.572","9.035","6.994","6.669","11.268","7.473","6.721","5.599","0.508","3.235","161.059"
"48","GTD","Corey Lewis","2","1:51.401","3:59.952","Green","Track","11.791","14.166","9.803","20.125","7.857","6.401","8.046","10.968","7.050","6.326","5.316","0.480","3.072","170.455"
"8","GTD","Ezequiel Perez Companc","2","1:49.192","4:09.137","Green","Track","12.023","14.284","9.967","20.134","7.947","6.452","5.880","9.940","7.161","6.452","5.354","0.489","3.109","167.317"
"63","GTD","Cooper MacNeil","2","1:49.827","4:12.603","Green","Track","11.999","14.586","10.121","20.782","7.872","6.381","5.886","10.027","7.019","6.269","5.313","0.482","3.090","169.747"
"99","GTD","Alfred Renauer","2","1:50.065","4:17.925","Green","Track","11.489","15.272","10.204","20.466","7.866","6.412","5.895","9.991","7.104","6.359","5.392","0.488","3.127","167.660"
"96","GTD","Robby Foley","2","2:04.972","4:18.891","Green","Pit","11.506","14.514","10.033","20.420","7.839","6.547","6.008","10.699","7.072","7.038","9.823","0.000","0.000","0.000"
"19","GTD","Andrew Davis","2","1:48.653","4:19.214","Green","Track","11.795","14.352","9.882","20.011","7.991","6.475","5.875","9.735","7.175","6.405","5.371","0.486","3.100","168.350"
"44","GTD","Spencer Pumpelly","2","1:47.282","4:21.282","Green","Track","11.406","14.131","9.859","19.776","7.846","6.370","5.789","9.826","7.107","6.340","5.290","0.479","3.063","170.810"
"71","GTD","JC Perez","2","1:50.357","4:22.093","Green","Track","11.859","14.202","9.916","20.272","7.869","6.416","5.918","10.295","7.737","6.757","5.486","0.492","3.138","166.297"
"88","GTD","Roman DeAngelis","2","1:49.866","4:25.086","Green","Track","0.000","0.000","10.465","20.279","7.920","6.485","5.960","10.258","7.166","6.401","5.374","0.487","3.102","168.004"
"46","GTD","Giacomo Altoe","2","1:52.125","4:31.576","Green","Track","11.837","14.124","10.438","23.450","7.857","6.406","5.861","9.819","7.099","6.319","5.335","0.485","3.095","168.697"
"57","GTD","Ana Beatriz","2","1:50.764","4:37.094","Green","Track","11.643","14.878","10.087","20.884","7.956","6.429","5.898","10.707","7.112","6.324","5.295","0.480","3.071","170.455"
"29","GTD","Daniel Morad","1","4:54.560","4:54.560","Green","Track","506.916","18.545","11.995","23.363","8.788","7.968","6.892","11.489","7.671","6.584","5.522","0.498","3.162","164.294"
"9","GTD","Lars Kern","1","4:55.393","4:55.393","Green","Track","491.151","17.651","11.502","22.148","8.755","8.281","6.769","11.206","7.626","6.582","5.664","0.509","3.231","160.743"
"33","GTD","Ben Keating","2","1:49.948","4:57.305","Green","Track","11.750","14.660","10.410","21.015","7.742","6.345","5.822","10.190","6.979","6.245","5.266","0.478","3.046","171.168"
"51","GTD","Mathias Lauda","2","1:50.162","4:59.939","Green","Track","11.575","14.513","10.118","21.120","7.763","6.338","6.164","10.540","7.004","6.245","5.265","0.477","3.040","171.527"
"73","GTD","Patrick Lindsey","2","1:51.471","5:02.508","Green","Track","11.948","14.587","9.970","20.983","7.935","6.439","6.444","10.857","7.080","6.310","5.346","0.484","3.088","169.046"
"13","GTD","Marcos Gomes","2","1:48.006","5:12.480","Green","Track","12.385","14.227","9.882","20.001","7.733","6.312","5.798","9.690","6.949","6.197","5.290","0.480","3.062","170.455"
"12","GTD","Frank Montecalvo","2","1:47.419","5:23.225","Green","Track","11.527","14.371","9.814","19.861","7.795","6.368","5.799","9.747","6.981","6.267","5.329","0.483","3.077","169.396"
"11","GTD","Rolf Ineichen","1","5:28.995","5:28.995","Green","Track","0.000","18.910","13.122","22.116","7.998","6.470","5.951","10.569","7.118","6.341","5.337","0.482","3.087","169.747"
"86","GTD","Trent Hindman","2","1:50.480","5:32.580","Green","Track","11.529","14.369","9.984","20.134","7.803","6.379","7.088","11.001","7.031","6.283","5.335","0.482","3.062","169.747"
"47","GTD","Don Yount","2","1:50.553","5:38.687","Green","Track","12.125","14.493","10.065","20.736","7.930","6.465","5.919","10.372","7.118","6.365","5.368","0.486","3.111","168.350"
"14","GTD","Richard Heistand","2","1:50.077","5:45.996","Green","Track","12.078","14.780","9.854","20.151","7.826","6.399","5.839","10.637","7.189","6.361","5.379","0.487","3.097","168.004"
"48","GTD","Corey Lewis","3","1:47.096","5:47.048","Green","Track","11.281","13.988","9.726","20.043","7.813","6.363","5.800","9.922","6.975","6.335","5.313","0.480","3.057","170.455"
"8","GTD","Ezequiel Perez Companc","3","1:48.246","5:57.383","Green","Track","11.179","14.066","9.728","19.724","7.909","6.452","5.862","10.458","7.347","6.468","5.432","0.491","3.130","166.636"
"63","GTD","Cooper MacNeil","3","1:46.470","5:59.073","Green","Track","11.133","13.977","9.685","19.738","7.733","6.335","5.813","9.864","7.046","6.275","5.315","0.481","3.075","170.100"
"99","GTD","Alfred Renauer","3","1:46.932","6:04.857","Green","Track","11.209","14.069","9.685","19.716","7.834","6.380","5.828","9.776","7.083","6.364","5.388","0.487","3.113","168.004"
