"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"31","DPi","Felipe Nasr","1","2:14.414","2:14.414","Green","Track","0.000","10.609","30.007","16.378","27.539","9.113","19.278","0.549","10.331","1.324","2.495","154.413","130.459"
"38","LMP2","Kyle Masson","1","2:15.868","2:15.868","Green","Track","691.161","10.102","28.301","15.932","27.242","8.899","18.230","0.570","10.840","1.401","2.596","148.724","123.289"
"10","DPi","Matthieu Vaxiviere","1","2:19.267","2:19.267","Green","Track","586.123","10.517","27.725","16.967","27.991","8.836","17.739","0.559","11.342","1.376","2.547","151.651","125.529"
"52","LMP2","Gabriel Aubry","1","2:26.142","2:26.142","Green","Track","485.963","10.668","27.053","16.494","28.251","9.065","18.015","0.511","11.646","1.454","2.663","165.896","118.795"
"96","GTD","Robby Foley","1","2:31.499","2:31.499","Green","Track","528.939","11.112","29.240","17.207","30.807","10.208","19.799","0.561","11.891","1.533","2.849","151.110","112.673"
"24","GTLM","John Edwards","1","2:34.544","2:34.544","Green","Track","0.000","10.462","26.541","16.411","27.723","9.191","18.485","0.533","11.022","1.455","2.722","159.048","118.713"
"85","DPi","Juan Piedrahita","1","2:36.115","2:36.115","Green","Pit","0.000","10.969","30.460","17.660","30.281","10.117","19.200","0.607","13.244","3.435","10.050","139.659","50.285"
"5","DPi","Brendon Hartley","1","2:36.783","2:36.783","Green","Track","0.000","10.635","28.641","16.090","28.098","9.009","17.279","0.495","10.327","1.350","2.516","171.258","127.946"
"911","GTLM","Patrick Pilet","1","2:38.439","2:38.439","Green","Track","0.000","9.890","27.287","16.053","27.789","9.195","18.525","0.540","11.367","1.472","2.736","156.987","117.342"
"25","GTLM","Colton Herta","1","2:42.090","2:42.090","Green","Track","0.000","10.939","28.341","16.360","29.319","9.877","18.978","0.583","12.379","1.516","2.790","145.408","113.936"
"86","GTD","Justin Marks","1","2:43.455","2:43.455","Green","Track","0.000","10.629","27.856","16.735","28.224","9.701","19.065","0.549","11.353","1.509","2.812","154.413","114.465"
"6","DPi","Simon Pagenaud","1","2:43.701","2:43.701","Green","Track","0.000","9.618","26.681","14.890","25.925","9.111","17.547","0.493","10.162","1.336","2.486","171.953","129.287"
"4","GTLM","Oliver Gavin","1","2:45.057","2:45.057","Green","Track","0.000","10.136","27.669","16.274","27.439","9.403","18.503","0.534","10.612","1.435","2.691","158.750","120.367"
"77","DPi","Timo Bernhard","1","2:47.873","2:47.873","Green","Track","22.625","10.416","25.902","15.127","26.356","8.419","17.033","0.486","10.947","1.378","2.525","174.429","125.346"
"33","GTD","Ben Keating","1","2:48.237","2:48.237","Green","Track","0.000","10.920","28.545","16.831","29.072","10.328","19.629","0.553","11.823","1.543","2.864","153.296","111.942"
"73","GTD","Nicholas Boulle","1","2:55.864","2:55.864","Green","Track","23.974","10.715","28.366","16.817","30.046","9.978","19.795","0.555","11.851","1.546","2.858","152.744","111.725"
"71","GTD","Fabian Schiller","1","2:58.564","2:58.564","Green","Track","22.959","10.277","27.956","16.533","28.796","9.503","19.243","0.565","10.960","1.496","2.821","150.040","115.459"
"9","GTD","Lars Kern","1","3:02.881","3:02.881","Green","Track","23.083","11.505","29.978","16.699","30.666","9.827","19.580","0.557","11.278","1.516","2.816","152.195","113.936"
