"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"86","GTD","Trent Hindman","1","2:31.060","2:31.060","Green","Track","0.000","9.961","28.615","17.239","29.978","10.543","18.889","0.555","10.711","1.488","2.784","152.744","116.080"
"57","GTD","Christina Nielsen","1","2:32.666","2:32.666","Green","Track","0.000","11.949","27.453","16.287","28.539","10.410","19.364","0.551","11.041","1.511","2.814","153.852","114.313"
"12","GTD","Frank Montecalvo","1","2:41.471","2:41.471","Green","Track","0.000","11.422","30.739","17.037","35.626","10.731","19.043","0.550","10.667","1.489","2.786","154.132","116.002"
"33","GTD","Ben Keating","1","2:46.630","2:46.630","Green","Track","0.000","12.120","29.778","18.642","34.317","10.434","22.098","0.822","11.840","1.499","2.802","103.130","115.228"
"73","GTD","Nicholas Boulle","1","2:48.029","2:48.029","Green","Track","25.839","11.462","30.288","16.547","30.716","10.236","21.333","0.824","12.012","1.492","2.791","102.880","115.769"
"14","GTD","Richard Heistand","1","2:55.855","2:55.855","Green","Track","0.000","12.074","30.823","20.798","31.889","12.758","21.287","0.569","12.204","1.516","2.816","148.985","113.936"
"19","GTD","Will Hardeman","1","2:56.621","2:56.621","Green","Track","22.933","10.638","28.764","17.106","30.411","12.314","21.406","0.553","11.905","1.545","2.860","153.296","111.798"
"63","GTD","Cooper MacNeil","1","2:59.320","2:59.320","Green","Track","22.794","11.091","30.283","17.704","34.639","12.182","20.673","0.569","13.226","1.756","3.229","148.985","98.364"
"71","GTD","JC Perez","1","3:19.924","3:19.924","Green","Track","23.490","21.114","28.968","16.369","29.755","14.076","31.434","0.710","12.263","1.553","2.876","119.398","111.222"
"96","GTD","Robby Foley","1","3:32.991","3:32.991","Green","Track","22.664","13.971","32.247","16.786","32.852","12.703","29.444","1.009","14.238","1.451","2.725","84.017","119.040"
"44","GTD","John Potter","1","3:43.084","3:43.084","Green","Track","24.091","12.619","31.839","17.931","35.086","14.150","32.531","0.787","12.285","1.539","2.847","107.716","112.233"
"48","GTD","Ryan Hardwick","1","3:49.705","3:49.705","Green","Track","27.564","12.410","30.409","16.800","30.336","11.001","22.550","0.863","13.348","1.552","2.841","98.230","111.293"
"29","GTD","Daniel Morad","1","3:56.785","3:56.785","Green","Track","22.887","11.661","30.314","17.997","29.976","10.081","20.682","0.609","11.971","1.549","2.857","139.200","111.509"
