"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"6","DPi","Dane Cameron","1","3:58.699","3:58.699","Yellow","Track","14.692","11.521","45.568","26.604","48.045","17.459","42.773","1.614","21.750","3.056","5.615","52.523","56.521"
"77","DPi","Tristan Nunez","1","3:59.394","3:59.394","Yellow","Track","14.466","11.380","45.973","26.399","47.879","17.377","42.945","1.644","21.512","2.907","5.856","51.565","59.418"
"7","DPi","Helio Castroneves","1","4:00.563","4:00.563","Yellow","Track","14.386","12.010","46.209","25.252","47.876","17.793","42.443","1.615","21.740","2.852","6.196","52.491","60.564"
"5","DPi","Filipe Albuquerque","1","4:01.857","4:01.857","Yellow","Track","14.257","12.224","46.291","25.576","47.948","16.783","43.522","1.589","20.830","3.082","6.505","53.350","56.044"
"31","DPi","Pipo Derani","1","4:03.075","4:03.075","Yellow","Track","14.322","12.107","46.963","25.009","48.137","17.007","42.839","1.646","20.623","3.234","6.439","51.502","53.410"
"10","DPi","Jordan Taylor","1","4:08.852","4:08.852","Yellow","Track","13.849","10.798","48.026","23.892","48.657","16.474","43.710","1.274","21.348","3.494","7.173","66.541","49.435"
"55","DPi","Jonathan Bomarito","1","4:09.454","4:09.454","Yellow","Track","13.696","10.858","48.203","24.062","48.713","16.660","44.505","1.514","19.595","3.139","7.318","55.993","55.026"
"84","DPi","Simon Trummer","1","4:10.292","4:10.292","Yellow","Track","266.323","10.995","47.660","24.777","48.396","17.152","43.575","1.550","21.110","2.553","6.581","54.692","67.657"
"85","DPi","Tristan Vautier","1","4:12.699","4:12.699","Yellow","Track","13.511","10.320","47.686","26.066","46.442","17.317","44.343","1.618","22.217","2.707","5.408","52.394","63.808"
"50","DPi","Will Owen","1","4:13.891","4:13.891","Yellow","Track","14.234","9.838","47.448","26.026","46.491","17.271","44.861","1.867","21.393","2.574","5.855","45.406","67.105"
"54","DPi","Jonathan Bennett","1","4:18.409","4:18.409","Yellow","Track","14.748","10.371","44.914","27.501","45.101","17.691","45.602","1.676","21.899","3.282","6.500","50.580","52.629"
"52","LMP2","Matthew McMurry","1","4:19.902","4:19.902","Yellow","Track","14.676","11.194","44.409","27.263","45.628","17.380","45.903","1.689","21.053","3.444","6.860","50.191","50.153"
"38","LMP2","Kyle Masson","1","4:21.010","4:21.010","Yellow","Track","14.529","11.367","44.817","27.294","45.137","17.362","46.184","1.862","20.629","3.358","7.084","45.528","51.438"
"911","GTLM","Patrick Pilet","1","4:22.733","4:22.733","Yellow","Track","13.560","11.272","46.520","25.605","46.453","17.534","46.435","1.718","19.727","3.137","7.601","49.344","55.061"
"3","GTLM","Antonio Garcia","1","4:24.074","4:24.074","Yellow","Track","13.264","10.022","45.689","27.254","45.164","17.350","47.675","1.471","19.394","2.933","6.741","57.629","58.891"
"67","GTLM","Richard Westbrook","1","4:26.096","4:26.096","Yellow","Track","13.326","9.992","45.726","27.513","44.985","17.519","48.065","1.548","19.174","2.867","6.765","54.763","60.247"
"4","GTLM","Tommy Milner","1","4:28.042","4:28.042","Yellow","Track","13.458","10.013","45.538","27.417","45.251","17.195","48.574","1.589","18.965","2.890","7.258","53.350","59.767"
"24","GTLM","Jesse Krohn","1","4:29.426","4:29.426","Yellow","Track","13.235","9.803","45.510","27.664","45.113","16.929","49.475","1.645","18.276","2.899","7.760","51.534","59.582"
"25","GTLM","Tom Blomqvist","1","4:31.069","4:31.069","Yellow","Track","13.267","9.504","46.165","27.311","44.915","16.886","51.918","1.533","16.011","3.017","8.275","55.299","57.251"
"66","GTLM","Dirk Mueller","1","4:32.360","4:32.360","Yellow","Track","12.395","9.845","46.241","26.640","45.058","16.794","51.903","1.461","16.633","3.194","7.790","58.024","54.079"
"912","GTLM","Laurens Vanthoor","1","4:33.239","4:33.239","Yellow","Track","12.203","9.711","46.565","26.868","44.065","17.426","51.671","1.607","18.127","2.558","6.417","52.752","67.524"
"86","GTD","Trent Hindman","1","4:34.213","4:34.213","Yellow","Track","11.945","9.605","45.987","27.341","44.174","17.480","51.966","1.668","18.339","2.366","5.847","50.823","73.004"
"96","GTD","Robby Foley","1","4:35.763","4:35.763","Yellow","Track","11.876","9.898","45.356","27.190","44.324","17.492","52.057","1.576","19.309","2.479","5.376","53.790","69.676"
"9","GTD","Zacharie Robichon","1","4:36.900","4:36.900","Yellow","Track","11.658","9.120","46.259","26.816","44.332","16.986","53.061","1.517","18.416","2.723","5.593","55.882","63.433"
"11","GTD","Rolf Ineichen","1","4:38.793","4:38.793","Yellow","Track","11.516","9.386","46.378","26.798","43.886","17.228","53.842","1.497","19.533","2.587","4.719","56.628","66.767"
