"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"7","DPi","Helio Castroneves","1","3:03.583","3:03.583","Green","Track","774.450","13.762","33.108","20.033","38.109","14.795","29.055","0.952","18.283","2.359","4.092","89.047","73.221"
"6","DPi","Dane Cameron","1","3:11.613","3:11.613","Green","Track","775.005","14.608","38.332","20.749","40.784","14.219","28.568","1.051","18.626","2.497","4.786","80.659","69.174"
"38","LMP2","Kyle Masson","1","3:21.622","3:21.622","Green","Track","319.792","14.724","34.949","22.479","42.286","14.569","28.615","0.978","17.835","2.315","4.437","86.680","74.612"
"86","GTD","Trent Hindman","1","3:34.221","3:34.221","Green","Track","731.387","26.255","36.939","20.750","39.895","15.927","31.722","1.158","20.968","2.423","4.240","73.206","71.287"
"8","GTD","Ezequiel Perez Companc","1","3:47.672","3:47.672","Green","Track","276.075","15.044","38.159","23.007","46.743","18.312","33.710","1.208","22.072","3.168","5.981","70.176","54.522"
"31","DPi","Felipe Nasr","1","3:56.806","3:56.806","Green","Pit","156.578","14.359","36.549","21.586","44.344","18.076","32.640","1.260","22.954","4.470","10.307","67.280","38.641"
"9","GTD","Scott Hargrove","1","3:58.093","3:58.093","Green","Track","23.679","13.998","34.166","20.580","38.646","16.131","27.725","0.881","20.393","2.543","4.200","96.223","67.923"
"12","GTD","Townsend Bell","1","3:58.294","3:58.294","Green","Track","594.281","13.763","36.038","21.173","42.542","17.820","34.366","1.274","23.118","2.766","4.749","66.541","62.447"
"11","GTD","Mirko Bortolotti","1","3:59.315","3:59.315","Green","Track","309.693","13.873","37.144","21.657","43.108","17.647","35.081","1.323","24.365","2.981","5.087","64.076","57.943"
"25","GTLM","Tom Blomqvist","1","4:03.450","4:03.450","Green","Pit","815.631","14.604","34.841","21.690","42.934","17.771","32.267","1.278","23.738","4.410","10.400","66.332","39.167"
"24","GTLM","Jesse Krohn","1","4:05.177","4:05.177","Green","Pit","819.455","13.962","35.488","20.736","42.922","18.039","35.217","1.357","24.861","4.210","10.322","62.471","41.028"
