"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"911","GTLM","Patrick Pilet","1","2:24.163","2:24.163","Green","Track","628.426","12.532","18.203","4.762","0.738","19.126","27.370","17.131","21.216","7.220","3.680","111.327"
"4","GTLM","Tommy Milner","1","2:29.827","2:29.827","Green","Track","956.376","12.317","16.704","4.802","0.704","18.636","27.637","16.716","21.368","7.120","3.668","116.703"
"12","GTD","Townsend Bell","1","2:31.588","2:31.588","Green","Track","443.180","12.229","16.727","4.883","0.796","19.278","26.757","17.186","21.348","7.384","3.755","103.215"
"55","DPi","Harry Tincknell","1","2:34.682","2:34.682","Green","Track","17.408","12.776","16.498","4.079","0.579","17.734","25.577","14.880","20.118","6.652","3.282","141.898"
"24","GTLM","Jesse Krohn","1","2:40.269","2:40.269","Green","Track","503.586","13.663","16.888","4.632","0.737","18.890","28.198","16.365","21.064","7.139","3.597","111.478"
"77","DPi","Oliver Jarvis","1","2:41.128","2:41.128","Green","Track","16.389","13.950","18.153","4.630","0.647","19.547","26.373","16.847","20.260","7.005","3.320","126.985"
"85","DPi","Misha Goikhberg","1","2:42.973","2:42.973","Green","Track","876.239","13.926","18.813","5.117","0.779","18.892","29.437","18.181","21.900","7.295","3.435","105.467"
"84","DPi","Chris Miller","1","2:46.115","2:46.115","Green","Track","668.277","14.029","18.307","4.983","0.756","19.788","31.269","18.590","22.977","7.595","3.514","108.676"
"14","GTD","Richard Heistand","1","2:47.000","2:47.000","Green","Track","187.815","14.303","18.985","4.759","0.714","21.674","27.409","17.333","22.515","7.568","3.798","115.069"
"29","GTD","Christopher Mies","1","2:47.762","2:47.762","Green","Track","17.685","12.180","17.563","4.770","0.729","19.411","27.851","16.628","21.478","7.266","3.708","112.701"
"48","GTD","Bryan Sellers","1","2:49.151","2:49.151","Green","Track","16.880","13.652","19.177","5.064","0.696","19.576","29.470","16.972","21.832","7.496","3.730","118.045"
"96","GTD","Robby Foley","1","2:50.709","2:50.709","Green","Track","17.580","13.203","18.165","5.347","0.831","20.489","28.582","17.314","21.610","7.551","3.742","98.868"
"540","GTD","Dirk Werner","1","2:56.034","2:56.034","Green","Track","19.930","12.574","18.549","5.003","0.732","20.703","28.126","16.629","21.413","7.942","3.793","112.239"
