"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"86","GTD","Trent Hindman","1","2:14.079","2:14.079","Green","Track","0.000","10.654","18.471","5.952","0.796","17.054","23.703","14.882","22.681","6.151","3.503","103.215"
"57","GTD","Christina Nielsen","1","2:15.229","2:15.229","Green","Track","0.000","10.611","17.973","5.994","0.779","17.309","23.715","15.123","22.770","6.249","3.502","105.467"
"14","GTD","Richard Heistand","1","2:23.331","2:23.331","Green","Track","0.000","11.048","13.487","4.401","0.627","17.168","23.528","20.979","23.806","6.060","3.487","131.035"
"63","GTD","Jeff Westphal","1","2:25.590","2:25.590","Green","Track","14.625","10.544","14.352","4.609","0.615","17.226","24.449","15.588","23.351","6.317","3.513","133.592"
"33","GTD","Ben Keating","1","2:28.053","2:28.053","Green","Track","14.572","11.111","15.874","4.289","0.612","19.277","27.701","16.519","20.899","6.399","3.528","134.247"
"8","GTD","Parker Chase","1","2:39.636","2:39.636","Green","Track","14.542","11.136","17.322","6.628","0.894","18.251","28.719","18.602","19.960","6.344","3.619","91.901"
"73","GTD","Nicholas Boulle","1","2:45.893","2:45.893","Green","Track","0.000","11.503","15.676","4.275","0.654","18.976","25.844","16.318","20.561","6.519","3.556","125.626"
"44","GTD","John Potter","1","2:48.975","2:48.975","Green","Track","14.792","12.836","18.054","8.020","0.897","18.966","28.428","19.612","21.028","6.468","3.585","91.593"
"29","GTD","Ricky Feller","1","2:55.473","2:55.473","Green","Track","14.869","10.374","14.145","4.145","0.550","17.634","24.300","15.784","19.338","6.244","3.577","149.380"
"96","GTD","Dillon Machavern","1","2:57.643","2:57.643","Green","Track","14.473","11.338","14.840","4.127","0.526","16.161","25.084","15.124","19.793","6.118","3.433","156.196"
"48","GTD","Ryan Hardwick","1","3:05.654","3:05.654","Green","Pit","14.784","10.620","15.514","4.552","0.614","19.129","25.624","15.082","19.903","11.737","12.562","133.810"
"47","GTD","Brandon Gdovic","1","3:24.504","3:24.504","Green","Track","14.763","12.311","16.453","4.485","0.634","17.809","24.081","15.571","19.081","6.315","3.583","129.588"
"540","GTD","Marco Seefried","1","3:33.309","3:33.309","Green","Track","14.805","10.157","14.336","4.397","0.564","16.441","23.506","15.158","18.757","6.114","3.534","145.672"
"9","GTD","Zacharie Robichon","1","3:41.227","3:41.227","Green","Track","14.819","10.232","13.458","4.123","0.613","16.014","23.156","14.947","18.547","6.031","3.491","134.028"
"86","GTD","Trent Hindman","2","1:47.160","4:01.239","Green","Track","3.361","9.021","12.537","3.938","0.508","14.212","21.864","14.377","18.019","5.880","3.443","161.730"
"57","GTD","Christina Nielsen","2","1:48.291","4:03.520","Green","Track","3.347","9.213","12.619","3.935","0.508","14.532","22.207","14.558","18.031","5.891","3.450","161.730"
"14","GTD","Richard Heistand","2","1:47.211","4:10.542","Green","Track","3.335","8.982","12.686","3.954","0.509","13.862","22.090","14.563","17.986","5.799","3.445","161.413"
"63","GTD","Jeff Westphal","2","1:47.736","4:13.326","Green","Track","3.371","9.133","12.665","3.975","0.512","13.985","22.116","14.563","18.026","5.945","3.445","160.467"
"33","GTD","Ben Keating","2","1:51.528","4:19.581","Green","Track","3.388","9.361","12.797","3.985","0.516","15.559","22.950","14.772","18.571","6.139","3.490","159.223"
"8","GTD","Parker Chase","2","1:56.719","4:36.355","Green","Track","3.535","9.495","13.135","4.113","0.532","15.906","25.050","15.707","19.250","6.375","3.621","154.434"
"73","GTD","Nicholas Boulle","2","1:53.246","4:39.139","Green","Track","3.439","9.625","12.932","4.047","0.519","15.565","23.374","15.032","18.940","6.249","3.524","158.303"
"44","GTD","John Potter","2","1:55.002","4:43.977","Green","Track","3.420","9.269","12.856","4.013","0.518","14.853","25.604","16.561","18.388","6.014","3.506","158.608"
"96","GTD","Dillon Machavern","2","1:47.960","4:45.603","Green","Track","3.305","9.139","12.348","3.888","0.503","14.328","22.234","14.418","18.281","6.077","3.439","163.338"
"29","GTD","Ricky Feller","2","1:53.693","4:49.166","Green","Track","3.501","9.379","12.772","4.009","0.519","14.454","22.097","14.631","22.723","6.122","3.486","158.303"
"48","GTD","Ryan Hardwick","2","2:06.376","5:12.030","Green","Track","17.789","9.590","13.193","3.971","0.511","14.886","24.074","14.611","18.252","6.023","3.476","160.781"
"47","GTD","Brandon Gdovic","2","1:53.665","5:18.169","Green","Track","3.442","9.542","12.784","3.987","0.514","14.848","22.669","14.699","21.678","6.000","3.502","159.843"
