"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"77","DPi","Oliver Jarvis","1","2:08.813","2:08.813","Yellow","Track","3.351","8.710","10.959","3.461","0.448","12.575","29.237","22.037","25.501","7.899","4.634","183.391"
"7","DPi","Ricky Taylor","1","2:10.674","2:10.674","Yellow","Track","3.274","8.857","11.034","3.436","0.444","12.903","29.684","21.345","26.707","7.899","4.749","185.043"
"55","DPi","Harry Tincknell","1","2:11.466","2:11.466","Yellow","Track","3.279","9.099","10.931","3.382","0.439","13.273","29.701","21.692","27.061","7.539","4.786","187.151"
"10","DPi","Renger Van Der Zande","1","2:12.228","2:12.228","Yellow","Track","3.316","8.948","11.187","3.446","0.443","13.195","30.979","22.856","25.630","7.088","4.629","185.461"
"31","DPi","Felipe Nasr","1","2:15.740","2:15.740","Yellow","Track","3.308","8.683","11.075","3.411","0.444","13.505","32.222","22.163","27.682","7.293","4.958","185.043"
"5","DPi","Filipe Albuquerque","1","2:16.816","2:16.816","Yellow","Track","3.299","8.914","11.130","3.445","0.445","13.455","32.687","22.515","27.433","8.008","4.411","184.627"
"84","DPi","Simon Trummer","1","2:17.678","2:17.678","Yellow","Track","3.302","9.003","11.207","3.479","0.448","13.339","33.152","22.390","27.251","8.222","4.537","183.391"
"85","DPi","Misha Goikhberg","1","2:19.433","2:19.433","Yellow","Track","3.377","9.125","11.234","3.483","0.476","13.376","33.758","22.869","27.394","7.983","4.979","172.603"
"54","DPi","Jonathan Bennett","1","2:21.729","2:21.729","Yellow","Track","3.266","9.007","11.314","3.507","0.505","14.024","34.030","23.693","27.501","7.907","5.126","162.691"
"50","DPi","Rene Binder","1","2:23.048","2:23.048","Yellow","Track","3.397","9.274","11.425","3.492","0.490","14.533","33.839","23.950","27.106","8.619","5.212","167.672"
"52","LMP2","Gabriel Aubry","1","2:23.641","2:23.641","Yellow","Track","3.420","9.308","11.409","3.558","0.489","14.636","34.190","24.224","26.566","8.566","5.242","168.015"
"38","LMP2","Kyle Masson","1","2:24.294","2:24.294","Yellow","Track","3.396","9.060","11.362","3.531","0.513","14.202","35.057","24.324","26.587","8.302","5.402","160.154"
"67","GTLM","Richard Westbrook","1","2:31.604","2:31.604","Yellow","Track","3.505","9.322","12.300","3.836","0.499","14.824","35.763","24.742","25.845","11.193","6.684","164.647"
