"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"31","DPi","Felipe Nasr","1","1:52.210","1:52.210","Green","Track","0.000","10.218","13.852","4.123","0.544","13.948","20.565","13.633","16.976","5.237","3.069","151.028"
"5","DPi","Filipe Albuquerque","1","1:56.661","1:56.661","Green","Track","0.000","10.342","12.933","4.035","0.557","14.950","22.138","14.014","17.302","5.327","3.070","147.503"
"63","GTD","Toni Vilander","1","2:05.136","2:05.136","Green","Track","0.000","11.116","15.651","4.430","0.617","17.300","24.215","14.982","18.910","6.187","3.499","133.159"
"33","GTD","Felipe Fraga","1","2:06.791","2:06.791","Green","Track","0.000","10.539","13.507","4.052","0.527","15.821","23.626","14.960","19.942","6.461","3.485","155.900"
"96","GTD","Robby Foley","1","2:14.802","2:14.802","Green","Track","0.000","12.362","15.920","4.346","0.737","16.942","24.658","15.270","19.048","6.045","3.426","111.478"
"912","GTLM","Laurens Vanthoor","1","2:16.987","2:16.987","Green","Track","0.000","10.758","14.744","4.130","0.570","16.666","23.338","14.840","18.329","6.076","3.421","144.139"
"911","GTLM","Nick Tandy","1","2:20.461","2:20.461","Green","Track","0.000","11.403","14.301","4.093","0.579","17.959","23.877","14.893","18.613","6.056","3.460","141.898"
"3","GTLM","Jan Magnussen","1","2:24.335","2:24.335","Green","Track","0.000","11.005","14.968","4.198","0.621","16.873","24.188","14.993","19.249","6.100","3.423","132.301"
"57","GTD","Bia Figueiredo","1","2:25.300","2:25.300","Green","Track","0.000","10.976","14.617","4.320","0.651","17.974","25.006","15.573","20.075","6.482","3.547","126.204"
"4","GTLM","Tommy Milner","1","2:25.357","2:25.357","Green","Track","0.000","11.187","14.640","4.369","0.672","17.130","23.796","15.205","19.196","6.076","3.433","122.261"
"54","DPi","Colin Braun","1","2:25.780","2:25.780","Green","Track","15.493","12.037","15.102","3.993","0.663","16.401","21.406","13.431","17.450","5.603","3.036","123.920"
"25","GTLM","Connor De Phillippi","1","2:28.207","2:28.207","Green","Track","0.000","11.836","15.113","4.347","0.622","16.737","24.261","15.092","19.247","6.275","3.442","132.089"
"24","GTLM","John Edwards","1","2:29.688","2:29.688","Green","Track","0.000","11.962","15.011","4.378","0.680","17.312","24.731","15.314","18.790","6.210","3.477","120.822"
"6","DPi","Dane Cameron","1","2:30.213","2:30.213","Green","Pit","0.000","11.151","13.380","3.949","0.586","17.391","22.569","13.736","17.708","10.091","12.274","140.203"
"85","DPi","Tristan Vautier","1","2:30.587","2:30.587","Green","Track","0.000","12.314","16.492","4.304","0.605","16.350","22.878","14.257","18.005","6.131","3.216","135.800"
"9","GTD","Zacharie Robichon","1","2:39.091","2:39.091","Green","Track","14.973","10.985","15.174","4.733","0.721","18.432","24.869","15.259","19.287","6.414","3.552","113.952"
"50","DPi","Rene Binder","1","2:40.140","2:40.140","Green","Track","16.187","11.663","14.738","4.447","0.698","18.713","24.151","15.053","19.231","6.517","3.274","117.706"
"48","GTD","Bryan Sellers","1","2:41.534","2:41.534","Green","Track","15.306","11.006","15.139","4.388","0.684","18.830","24.536","16.117","20.310","6.402","3.560","120.116"
"84","DPi","Simon Trummer","1","2:42.943","2:42.943","Green","Pit","0.000","12.769","16.840","4.476","0.644","17.735","22.897","14.036","18.409","9.899","12.306","127.576"
"8","GTD","Ryan Dalziel","1","2:43.099","2:43.099","Green","Track","15.584","11.920","15.170","4.364","0.636","17.759","25.367","15.344","19.562","6.496","3.622","129.181"
"14","GTD","Philipp Frommenwiler","1","2:44.023","2:44.023","Green","Track","0.000","11.910","15.530","4.406","0.647","17.784","25.635","15.419","19.013","6.298","3.539","126.985"
"540","GTD","Marco Seefried","1","2:46.225","2:46.225","Green","Track","14.741","11.736","15.137","4.296","0.646","18.346","25.012","15.819","19.700","6.555","3.611","127.181"
"10","DPi","Renger Van Der Zande","1","2:47.877","2:47.877","Green","Pit","0.000","13.064","16.576","4.393","0.667","17.303","23.322","14.658","19.176","11.650","12.134","123.177"
"7","DPi","Helio Castroneves","1","2:53.252","2:53.252","Green","Pit","0.000","12.156","20.918","5.817","0.795","19.098","24.559","14.950","20.348","11.826","12.251","103.345"
"12","GTD","Aaron Telitz","1","3:02.710","3:02.710","Green","Pit","0.000","13.165","17.434","5.830","0.799","21.038","27.493","18.357","21.064","11.380","12.274","102.827"
"47","GTD","Jacob Eidson","1","3:04.684","3:04.684","Green","Track","15.664","13.518","15.689","4.292","0.608","18.602","24.849","15.449","19.924","7.677","3.983","135.130"
"66","GTLM","Joey Hand","1","3:09.907","3:09.907","Green","Track","14.789","10.961","16.166","4.601","0.706","17.670","25.305","15.278","19.042","6.101","3.483","116.373"
"52","LMP2","Gabriel Aubry","1","3:13.214","3:13.214","Green","Pit","0.000","13.400","15.105","4.108","0.530","16.965","23.675","14.987","19.149","11.867","12.268","155.017"
"73","GTD","Patrick Long","1","3:14.712","3:14.712","Green","Track","0.000","12.328","17.723","4.626","0.670","19.359","26.418","16.624","19.998","6.688","3.597","122.626"
"38","LMP2","Andrew Evans","1","3:16.504","3:16.504","Green","Track","0.000","12.198","16.320","4.047","0.556","38.515","27.837","16.981","21.707","7.158","3.458","147.768"
"29","GTD","Ricky Feller","1","3:19.166","3:19.166","Green","Track","14.672","10.899","14.328","4.148","0.578","16.829","23.638","15.055","18.777","6.204","3.531","142.144"
"31","DPi","Felipe Nasr","2","1:35.175","3:27.385","Green","Track","2.967","8.152","11.164","3.492","0.452","12.121","19.767","12.997","16.038","5.027","2.998","181.768"
"44","GTD","Andy Lally","1","3:31.611","3:31.611","Green","Pit","16.216","11.418","15.075","4.602","0.673","18.545","26.968","16.126","20.402","10.113","64.640","122.079"
