"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"29","Pro","Corey Lewis","1","2:19.697","2:19.697","Green","Track","233.627","14.058","16.877","4.361","0.601","18.289","25.817","15.648","20.358","6.798","3.516","136.704"
"53","ProAm","Bruno Junqueira","1","2:24.438","2:24.438","Green","Track","205.553","13.462","19.507","4.871","0.646","19.704","25.404","15.620","20.417","6.378","3.451","127.181"
"33","Am","Cameron Cassels","1","2:26.957","2:26.957","Green","Track","212.296","14.425","16.362","4.842","0.784","20.430","29.137","17.158","22.784","7.109","3.616","104.795"
"63","Am","McKay Snow","1","2:29.774","2:29.774","Green","Track","0.000","13.471","18.511","4.635","0.619","19.885","27.129","16.053","19.421","6.633","3.489","132.729"
"7","Am","Sheena Monk","1","2:36.377","2:36.377","Green","Track","209.347","15.380","20.355","5.489","0.733","22.370","30.171","16.696","21.868","7.485","3.641","112.086"
"27","Pro","Cedric Sbirrazzuoli","1","2:37.773","2:37.773","Green","Track","283.376","10.922","15.036","4.427","0.569","19.061","24.407","14.642","19.415","6.585","3.486","144.392"
"08","LB Cup","Mel Melsom","1","2:43.106","2:43.106","Green","Track","203.549","14.475","19.156","5.000","0.723","20.919","29.388","18.207","24.650","8.691","3.800","113.636"
"09","ProAm","Jacob Eidson","1","2:43.201","2:43.201","Green","Track","15.162","11.399","15.750","4.153","0.545","17.126","25.327","14.718","19.418","6.502","3.502","150.751"
"34","Pro","Patrick Liddy","1","2:45.776","2:45.776","Green","Track","15.039","11.523","16.501","4.297","0.569","17.418","24.567","15.553","19.332","6.965","3.507","144.392"
"69","ProAm","Paul Tracy","1","2:50.307","2:50.307","Green","Pit","235.793","13.249","19.631","4.708","0.593","18.604","25.977","16.706","20.884","7.483","16.189","138.548"
"36","LB Cup","Matt Dicken","1","2:56.138","2:56.138","Green","Track","0.000","15.363","21.375","6.316","0.876","24.211","32.156","17.776","23.748","7.711","3.658","93.789"
"1","Pro","Sandy Mitchell","1","2:59.962","2:59.962","Green","Pit","219.406","14.317","21.127","5.722","0.757","19.974","28.545","15.808","22.267","10.289","16.334","108.532"
"3","LB Cup","Randy Sellari","1","3:02.627","3:02.627","Green","Track","247.916","13.554","19.846","4.847","0.632","21.503","28.965","17.693","22.906","7.886","3.730","129.999"
