"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"09","ProAm","Jacob Eidson","1","2:27.615","2:27.615","Green","Track","0.000","21.919","16.070","4.179","0.623","18.492","26.345","15.399","21.937","6.697","3.410","131.877"
"34","Pro","Patrick Liddy","1","2:28.345","2:28.345","Green","Track","0.000","20.983","16.090","4.204","0.592","17.613","25.761","15.540","21.863","6.932","3.394","138.782"
"6","Am","Steven Aghakhani","1","2:29.497","2:29.497","Green","Track","0.000","21.579","16.806","4.409","0.679","18.732","25.233","15.257","23.008","6.477","3.427","121.000"
"22","ProAm","Ryan Hardwick","1","2:32.817","2:32.817","Green","Track","0.000","18.253","16.725","4.684","0.621","19.581","27.101","15.092","21.161","6.720","3.439","132.301"
"33","Am","Cameron Cassels","1","2:33.251","2:33.251","Green","Track","0.000","17.713","17.108","4.442","0.658","19.823","26.908","15.600","20.294","6.374","3.426","124.862"
"24","LB Cup","Ron Atapattu","1","2:36.445","2:36.445","Green","Track","0.000","19.069","18.138","4.799","0.708","20.318","27.192","16.601","20.939","6.858","3.536","116.044"
"69","ProAm","William Hubbell","1","2:42.451","2:42.451","Green","Track","0.000","17.035","17.972","4.617","0.711","20.720","28.344","16.758","21.907","7.421","3.597","115.554"
"43","LB Cup","Ashton Harrison","1","2:42.728","2:42.728","Green","Track","0.000","16.713","18.223","4.927","0.727","20.101","28.718","16.492","21.808","6.999","3.538","113.011"
"3","LB Cup","Randy Sellari","1","2:46.501","2:46.501","Green","Track","0.000","15.995","18.910","4.914","0.751","21.384","28.572","17.381","21.761","7.337","3.646","109.400"
"7","Am","Sheena Monk","1","3:01.543","3:01.543","Green","Track","0.000","15.367","20.982","5.943","1.103","24.468","30.873","19.369","24.762","7.408","3.620","74.487"
"29","Pro","Corey Lewis","1","3:26.143","3:26.143","Green","Track","0.000","29.364","24.319","5.991","0.786","26.706","30.396","19.853","22.016","7.237","3.594","104.528"
"53","ProAm","Bradley Baker","1","3:27.587","3:27.587","Green","Track","0.000","28.356","24.121","6.001","0.967","26.446","31.678","19.389","21.916","7.260","3.631","84.963"
"63","Am","McKay Snow","1","3:30.419","3:30.419","Green","Track","0.000","27.560","23.873","6.017","0.999","28.069","34.649","19.461","20.571","6.343","3.557","82.241"
"36","LB Cup","Matt Dicken","1","3:34.420","3:34.420","Green","Track","0.000","26.067","24.497","5.989","0.839","27.222","34.863","19.294","22.854","6.883","3.530","97.925"
