"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"27","Pro","Cedric Sbirrazzuoli","1","1:49.066","1:49.066","Green","Track","3.435","9.988","12.595","3.856","0.495","14.674","22.203","14.449","18.041","5.953","3.376","165.978"
"1","Pro","Sandy Mitchell","1","1:49.577","1:49.577","Green","Track","3.473","9.875","12.842","3.878","0.495","14.924","22.122","14.415","18.034","5.956","3.354","165.978"
"29","Pro","Corey Lewis","1","1:50.701","1:50.701","Green","Track","3.426","10.140","13.251","3.880","0.497","15.009","22.532","14.489","18.076","6.000","3.390","165.310"
"53","ProAm","Bruno Junqueira","1","1:51.524","1:51.524","Green","Track","3.471","10.094","13.419","3.922","0.498","15.177","22.450","14.572","18.272","6.030","3.376","164.978"
"46","Pro","Brandon Gdovic","1","1:52.391","1:52.391","Green","Track","3.448","10.050","13.470","3.897","0.501","15.361","22.764","14.831","18.223","6.067","3.397","163.990"
"63","Am","McKay Snow","1","1:52.789","1:52.789","Green","Track","3.477","9.990","13.677","3.945","0.507","15.423","22.814","14.737","18.273","6.078","3.411","162.049"
"34","Pro","D. Bryce Miller","1","1:53.228","1:53.228","Green","Track","3.437","9.931","13.638","3.951","0.499","15.616","22.871","14.564","18.430","5.983","3.402","164.647"
"69","ProAm","Paul Tracy","1","1:54.732","1:54.732","Green","Track","3.484","9.956","13.271","3.887","0.495","15.958","23.210","14.947","18.446","6.238","3.453","165.978"
"6","Am","Steven Aghakhani","1","1:54.825","1:54.825","Green","Track","3.423","10.044","13.560","4.000","0.506","16.510","23.281","14.631","18.478","6.029","3.376","162.370"
"33","Am","Cameron Cassels","1","1:55.942","1:55.942","Green","Track","3.538","10.270","13.396","3.932","0.553","16.263","23.568","14.751","18.742","6.105","3.403","148.570"
"09","ProAm","Damon Ockey","1","1:56.388","1:56.388","Green","Track","3.490","10.150","13.416","3.870","0.539","16.333","23.733","14.839","18.659","6.134","3.405","152.429"
"22","ProAm","Chad Reed","1","1:57.543","1:57.543","Green","Track","3.633","10.089","13.555","3.874","0.564","16.271","23.635","14.972","18.977","6.299","3.433","145.672"
"7","Am","Sheena Monk","1","1:58.062","1:58.062","Green","Track","3.513","10.776","14.050","3.961","0.555","16.249","23.480","14.971","18.869","6.259","3.442","148.034"
"08","LB Cup","Mel Johnson","1","1:59.526","1:59.526","Green","Track","3.721","10.489","13.979","4.005","0.568","16.768","23.491","15.036","19.227","6.304","3.461","144.646"
"88","LB Cup","Jonathan Hirshberg","1","2:02.791","2:02.791","Green","Track","3.648","10.353","14.149","4.046","0.583","16.975","24.412","15.387","20.036","6.566","3.505","140.925"
"43","LB Cup","Stephanie Cemo","1","2:03.843","2:03.843","Green","Track","3.600","11.192","14.478","4.049","0.551","16.852","24.580","15.709","19.902","6.624","3.501","149.109"
"36","LB Cup","Matt Dicken","1","2:04.376","2:04.376","Green","Track","3.724","10.962","14.575","4.105","0.551","16.732","24.621","15.540","20.288","6.494","3.509","149.109"
"3","LB Cup","Randy Sellari","1","2:05.006","2:05.006","Green","Track","3.781","11.142","14.513","4.111","0.592","17.235","24.479","15.409","19.777","6.595","3.532","138.782"
"24","LB Cup","Ron Atapattu","1","2:05.509","2:05.509","Green","Track","3.738","10.589","14.372","4.198","0.612","16.802","24.964","16.195","19.802","6.601","3.517","134.247"
"27","Pro","Cedric Sbirrazzuoli","2","1:46.272","3:35.338","Green","Track","3.211","8.867","12.308","3.808","0.488","14.059","22.072","14.392","17.827","5.887","3.353","168.359"
"1","Pro","Sandy Mitchell","2","1:46.436","3:36.013","Green","Track","3.196","8.885","12.209","3.774","0.483","14.169","22.152","14.383","17.951","5.888","3.346","170.102"
"29","Pro","Corey Lewis","2","1:46.671","3:37.372","Green","Track","3.219","8.993","12.299","3.803","0.488","14.233","22.212","14.286","17.844","5.926","3.368","168.359"
"53","ProAm","Bruno Junqueira","2","1:47.673","3:39.197","Green","Track","3.246","9.013","12.281","3.792","0.487","14.600","22.252","14.447","18.203","5.981","3.371","168.704"
"46","Pro","Brandon Gdovic","2","1:48.096","3:40.487","Green","Track","3.247","9.159","12.244","3.781","0.485","14.519","22.459","14.620","18.092","6.076","3.414","169.400"
"63","Am","McKay Snow","2","1:48.397","3:41.186","Green","Track","3.245","9.123","12.559","3.847","0.491","14.522","22.335","14.565","18.100","6.145","3.465","167.330"
"34","Pro","D. Bryce Miller","2","1:48.648","3:41.876","Green","Track","3.237","9.017","12.508","3.847","0.494","14.637","22.684","14.495","18.199","6.077","3.453","166.314"
"33","Am","Cameron Cassels","2","1:50.362","3:46.304","Green","Track","3.252","9.113","12.503","3.839","0.492","14.949","22.667","15.388","18.662","6.087","3.410","166.990"
"09","ProAm","Damon Ockey","2","1:50.256","3:46.644","Green","Track","3.238","9.057","12.516","3.798","0.488","15.191","22.842","14.829","18.714","6.168","3.415","168.359"
"22","ProAm","Chad Reed","2","1:50.992","3:48.535","Green","Track","3.283","9.305","12.398","3.796","0.503","15.360","23.357","14.836","18.493","6.241","3.420","163.338"
"7","Am","Sheena Monk","2","1:51.637","3:49.699","Green","Track","3.269","9.287","12.537","3.839","0.493","15.332","23.253","14.964","18.918","6.295","3.450","166.651"
"08","LB Cup","Mel Johnson","2","1:51.191","3:50.717","Green","Track","3.333","9.272","12.574","3.889","0.499","15.304","22.901","14.849","18.907","6.218","3.445","164.647"
"69","ProAm","Paul Tracy","2","2:02.091","3:56.823","Green","Track","3.319","9.342","12.433","3.841","0.492","14.689","22.411","26.402","19.184","6.471","3.507","166.990"
"88","LB Cup","Jonathan Hirshberg","2","1:57.542","4:00.333","Green","Track","3.531","10.031","13.151","3.935","0.520","16.020","24.505","15.479","20.284","6.593","3.493","157.998"
"43","LB Cup","Stephanie Cemo","2","1:57.009","4:00.852","Green","Track","3.446","9.813","13.582","3.954","0.548","15.998","24.215","15.502","19.670","6.737","3.544","149.925"
"3","LB Cup","Randy Sellari","2","1:56.056","4:01.062","Green","Track","3.347","9.796","13.236","3.963","0.503","16.209","23.939","15.458","19.414","6.651","3.540","163.338"
"36","LB Cup","Matt Dicken","2","1:57.608","4:01.984","Green","Track","3.366","9.722","13.712","4.020","0.551","17.000","24.012","15.288","20.131","6.337","3.469","149.109"
"24","LB Cup","Ron Atapattu","2","1:56.962","4:02.471","Green","Track","3.403","9.924","13.732","3.992","0.551","16.277","23.951","15.396","19.782","6.468","3.486","149.109"
"6","Am","Steven Aghakhani","2","2:16.581","4:11.406","Green","Track","3.232","9.503","12.647","3.821","0.491","14.613","22.472","39.131","21.170","6.103","3.398","167.330"
"27","Pro","Cedric Sbirrazzuoli","3","1:46.805","5:22.143","Green","Track","3.196","8.939","12.340","3.811","0.490","14.175","22.124","14.523","17.910","5.929","3.368","167.672"
"1","Pro","Sandy Mitchell","3","1:46.584","5:22.597","Green","Track","3.195","8.843","12.186","3.775","0.484","14.180","22.182","14.453","18.024","5.900","3.362","169.750"
"29","Pro","Corey Lewis","3","1:46.689","5:24.061","Green","Track","3.213","8.977","12.200","3.790","0.487","14.177","22.179","14.342","17.937","6.002","3.385","168.704"
"53","ProAm","Bruno Junqueira","3","1:47.024","5:26.221","Green","Track","3.207","8.893","12.205","3.794","0.487","14.585","22.007","14.430","18.074","5.975","3.367","168.704"
"46","Pro","Brandon Gdovic","3","1:47.425","5:27.912","Green","Track","3.241","9.182","12.266","3.783","0.486","14.311","22.217","14.599","17.920","6.047","3.373","169.052"
"63","Am","McKay Snow","3","1:48.128","5:29.314","Green","Track","3.252","9.144","12.539","3.836","0.491","14.487","22.335","14.508","18.114","6.026","3.396","167.330"
"34","Pro","D. Bryce Miller","3","1:48.594","5:30.470","Green","Track","3.255","9.027","12.297","3.797","0.487","14.594","22.570","14.653","18.400","6.080","3.434","168.704"
"33","Am","Cameron Cassels","3","1:48.561","5:34.865","Green","Track","3.252","9.157","12.318","3.817","0.490","14.823","22.624","14.458","18.198","6.035","3.389","167.672"
"09","ProAm","Damon Ockey","3","1:50.200","5:36.844","Green","Track","3.250","9.117","12.470","3.830","0.493","15.099","22.957","14.454","18.852","6.252","3.426","166.651"
"22","ProAm","Chad Reed","3","1:51.478","5:40.013","Green","Track","3.275","9.360","12.416","3.817","0.498","15.449","23.516","14.906","18.573","6.233","3.435","164.978"
"7","Am","Sheena Monk","3","1:51.504","5:41.203","Green","Track","3.261","9.183","12.659","3.858","0.494","15.185","23.324","14.759","18.827","6.444","3.510","166.314"
"08","LB Cup","Mel Johnson","3","1:51.282","5:41.999","Green","Track","3.310","9.273","12.660","3.913","0.502","15.134","22.966","14.798","18.993","6.292","3.441","163.664"
"69","ProAm","Paul Tracy","3","1:50.270","5:47.093","Green","Track","3.334","9.134","12.505","3.886","0.500","14.759","23.075","14.775","18.661","6.198","3.443","164.318"
