"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"46","GS","Owen Trinkler","1","2:19.944","2:19.944","Green","Track","0.000","20.006","13.291","24.343","8.699","6.956","6.891","12.034","7.848","6.824","5.595","0.500","3.199","163.636"
"22","GS","Billy Johnson","1","2:21.561","2:21.561","Green","Track","0.000","20.540","11.843","23.070","8.696","7.061","6.576","11.203","7.902","6.959","5.655","0.509","3.254","160.743"
"2","GS","Rodrigo Sales","1","2:23.002","2:23.002","Green","Track","0.000","21.172","12.688","24.092","8.655","6.955","6.503","11.426","7.831","6.825","5.584","0.500","3.178","163.636"
"82","GS","James Clay","1","2:24.963","2:24.963","Green","Track","0.000","22.085","13.262","24.444","8.846","7.020","6.640","11.609","7.904","6.893","5.715","0.512","3.266","159.801"
"60","GS","Nate Stacy","1","2:26.471","2:26.471","Green","Track","0.000","20.658","13.175","23.465","8.667","6.992","6.713","12.065","7.884","6.872","5.623","0.506","3.236","161.696"
"33","GS","Indy Dontje","1","2:26.666","2:26.666","Green","Track","0.000","20.575","12.860","24.106","8.784","6.897","6.457","12.544","7.972","6.909","5.629","0.504","3.374","162.338"
"10","TCR","Lee Carpentier","1","2:30.487","2:30.487","Green","Track","0.000","20.950","13.547","27.145","9.599","7.630","7.214","13.105","8.469","7.373","6.007","0.540","3.455","151.515"
"71","GS","Frank DePew","1","2:34.385","2:34.385","Green","Track","0.000","21.224","13.448","24.350","9.067","7.107","6.643","12.428","8.068","6.964","5.695","0.510","3.328","160.428"
"4","GS","Ted Giovanis","1","2:42.543","2:42.543","Green","Track","0.000","21.845","14.871","26.243","9.513","7.828","7.126","13.279","8.370","7.034","5.698","0.509","3.239","160.743"
"57","GS","Bryce Ward","1","2:51.280","2:51.280","Green","Track","0.000","24.864","14.598","23.899","8.788","6.977","6.800","12.170","7.875","6.848","5.686","0.520","3.302","157.343"
"44","GS","Mike Vess","1","2:52.070","2:52.070","Green","Track","0.000","25.656","14.254","24.074","8.605","6.813","6.520","11.883","7.963","6.811","5.764","0.524","3.396","156.142"
"13","GS","Scott Hargrove","1","2:57.180","2:57.180","Green","Track","0.000","20.752","12.725","24.259","8.574","6.968","6.355","11.329","7.819","6.810","5.639","0.505","3.228","162.016"
"56","GS","Jeff Mosing","1","2:58.266","2:58.266","Green","Track","0.000","24.310","14.678","26.283","8.984","7.178","6.613","12.052","7.995","6.905","5.645","0.506","3.227","161.696"
"89","TCR","Ryan Eversley","1","3:02.098","3:02.098","Green","Track","0.000","23.348","13.842","26.119","9.265","7.649","7.213","12.088","8.485","7.575","6.249","0.568","3.620","144.046"
