"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"23","LMP3","Henry Gilbert","1","2:12.604","2:12.604","Green","Track","0.000","20.350","11.416","22.741","8.136","6.562","6.146","11.207","7.283","6.331","5.313","0.481","3.079","170.100"
"25","LMP3","Kenton Koch","1","2:13.044","2:13.044","Green","Track","0.000","20.773","2.746","23.909","8.155","6.590","7.071","12.897","7.544","6.514","5.645","0.544","3.418","150.401"
"47","LMP3","David Droux","1","2:35.410","2:35.410","Green","Track","0.000","22.322","12.995","24.259","8.256","6.625","7.068","11.905","7.301","6.443","5.486","0.500","3.196","163.636"
"4","LMP3","Roman DeAngelis","1","2:36.196","2:36.196","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","6.483","11.153","7.287","6.423","9.597","0.000","0.000","0.000"
"86","LMP3","Dave House","1","2:40.020","2:40.020","Green","Track","0.000","0.000","0.000","0.000","8.547","7.063","7.033","12.698","7.679","6.874","5.918","0.548","3.514","149.303"
"33","LMP3","Lance Willsey","1","2:44.165","2:44.165","Green","Track","0.000","22.377","13.294","24.863","8.584","6.756","6.607","12.492","7.627","6.581","5.501","0.500","3.194","163.636"
"51","LMP3","Rob Hodes","1","2:59.865","2:59.865","Green","Track","0.000","25.014","15.366","25.817","8.340","6.580","7.824","13.045","7.397","6.565","5.603","0.558","3.541","146.628"
"23","LMP3","Henry Gilbert","2","1:49.967","4:02.571","Green","Track","12.032","14.612","9.966","20.925","7.936","6.419","5.911","9.951","7.116","6.254","5.297","0.482","3.066","169.747"
"25","LMP3","Kenton Koch","2","1:51.016","4:04.060","Green","Track","12.743","14.481","10.485","20.393","7.948","6.465","6.002","10.151","7.113","6.300","5.341","0.484","3.110","169.046"
"75","LMP3","Cameron Cassels","1","4:27.425","4:27.425","Green","Pit","0.000","0.000","0.000","0.000","8.507","6.881","6.629","11.520","7.354","6.489","10.809","0.000","0.000","0.000"
